Distance (mm),T (C),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),ONOOJ(35),N2O2(46),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),O2X2(47),HNX(49),NX(59),NOX2(76),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],ONOOJ(35) ROP [kmol/m^3 s],N2O2(46) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],ONOOJ(35) surface ROP [kmol/m^2 s],N2O2(46) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],N2X(26) ROP [kmol/m^2 s],NOX(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],O2X2(47) ROP [kmol/m^2 s],HNX(49) ROP [kmol/m^2 s],NX(59) ROP [kmol/m^2 s],NOX2(76) ROP [kmol/m^2 s],2 NO(5) <=> N2O2(46) ROP [kmol/m^3 s],NO(5) + O2(2) <=> ONOOJ(35) ROP [kmol/m^3 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HNX(49) + HX(9) ROP [kmol/m^2 s],H3NX(29) + HNX(49) <=> 2 H2NX(28) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HNX(49) + HOX(13) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2OX(14) + HNX(49) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],HNX(49) + X(1) <=> HX(9) + NX(59) ROP [kmol/m^2 s],HNX(49) + OX(10) <=> HOX(13) + NX(59) ROP [kmol/m^2 s],H3NX(29) + NX(59) <=> H2NX(28) + HNX(49) ROP [kmol/m^2 s],H2NX(28) + NX(59) <=> 2 HNX(49) ROP [kmol/m^2 s],H2OX(14) + NX(59) <=> HNX(49) + HOX(13) ROP [kmol/m^2 s],NOX2(76) <=> NX(59) + OX(10) ROP [kmol/m^2 s],NO(5) + X(1) <=> NOX(27) ROP [kmol/m^2 s],NOX(27) + X(1) <=> NOX2(76) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],N2X2(25) <=> 2 NX(59) ROP [kmol/m^2 s],NOX2(76) + NX(59) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2(4) + X(1) <=> N2X(26) ROP [kmol/m^2 s],N2X(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],N2O2(46) + 2 X(1) <=> 2 NOX(27) ROP [kmol/m^2 s],O2X2(47) <=> 2 OX(10) ROP [kmol/m^2 s],NX(59) + O2X2(47) <=> NOX2(76) + OX(10) ROP [kmol/m^2 s]
0,400,101325.0,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26750000000000007,0.0,0.0,0.6,0.0,0.0,0.0,0.1325,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0597628651738036,0.0,0.0,0.0,-0.051952192156324586,0.0,0.0,0.0,-0.20563826803137808,0.034160345527446304,0.1195257303476072,0.0,0.0,0.0,0.0,0.0,0.034160345527446304,0.017791846628878283,0.0,0.0,0.0,0.0,0.0,0.0,0.0597628651738036,0.034160345527446304,0.017791846628878283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,400,101325.00000000001,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26748351060041703,0.0,0.0,0.5997780865850512,0.0003698556915806972,0.00012328523052681993,2.224188297421078e-19,0.13224526189242425,0.0,5.998692314593716e-32,7.57949692290362e-45,0.030102419567401773,3.645603766264299e-08,0.5881403900741753,1.3629491626034016e-08,3.202108391846447e-07,0.013071347557144357,0.0003764473733071619,0.11976060645451529,1.9310320974355984e-05,0.24649070680302307,5.993422443594461e-23,0.0018255733853565098,0.0001638118341956766,4.901633353797007e-05,0.0,0.0,0.0,-2.444036625245496e-28,0.0,0.0,-2.444036625244721e-28,0.0,0.0,2.444036625245496e-28,-3.874309994165254e-41,0.0,0.0,0.0,-5.27413781715622e-05,0.00010548275634431262,3.516091878212749e-05,6.343379799097916e-20,-7.032183756554412e-05,0.0,0.0,4.851365573028128e-45,-4.735878098645514e-15,1.2071385226148483e-18,4.584772503053031e-15,3.8075369693402474e-19,1.134165863023968e-15,3.138900814617096e-16,-1.9290667153948338e-16,-4.440955532298617e-15,-9.134982457892289e-19,1.9083686182957277e-15,-1.7333594680749484e-33,1.3952326707172835e-17,6.033296302479652e-15,-2.466631698978493e-15,-3.874309994165254e-41,2.444036625245496e-28,5.27413781715622e-05,2.9754527099246022e-05,4.05673104662981e-05,6.125973257366412e-11,1.7011983030352592e-16,-7.032183756311948e-05,2.975314770068074e-05,-1.4406605606506024e-09,3.664047890788942e-19,0.00012530322729721306,-0.00010548131568375197,-0.00010548131568446894,7.696342542267089e-20,-3.4669998008321846e-16,2.0939595091694406e-15,5.5907697032021916e-05,-1.441414052943642e-05,-1.2893829367028176e-22,-7.041522364030512e-17,-9.646439202981583e-11,-6.343379799097916e-20,4.440892098500626e-15,-6.7731945625821795e-06,-3.5160822310948916e-05,9.64712995536133e-11,-2.8387724219545307e-05,-2.83877242193524e-05,-4.851365573028128e-45,1.7333369499485123e-33,2.2518126436110647e-38
9.0,400,101324.99999999999,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26746706435075007,0.0,0.0,0.5995567538792532,0.0007387435345771556,0.00024624784485898177,4.431834961455913e-19,0.13199119039056034,0.0,1.1948361132773778e-31,3.00929273458427e-44,0.030074292954855565,3.628935964107972e-08,0.5886859901105569,1.361427241175026e-08,4.120540389784052e-07,0.013202283239590254,0.0003806400752876251,0.1198495847820144,1.9288171388043693e-05,0.24575425376990656,6.003771600350833e-23,0.0018205757784669678,0.00016362857433707754,4.9000585925607564e-05,0.0,0.0,0.0,-2.4243624120308115e-28,0.0,0.0,-2.424362412031285e-28,0.0,0.0,2.4243624120308115e-28,2.367633885323211e-41,0.0,0.0,0.0,-5.260984060946524e-05,0.00010521968121894735,3.507322707298471e-05,6.296980293132865e-20,-7.014645414597829e-05,0.0,0.0,4.8564146657303484e-45,9.85438130835653e-18,-5.3554360891290385e-21,3.226924478495763e-16,-9.52031059220766e-20,-1.5571226222531223e-20,-9.351243737687476e-19,1.765216662077962e-18,-6.296980293132865e-20,-3.969873431888158e-20,1.3405143423246557e-17,-3.852084880359073e-34,1.3552527156068805e-19,3.331581893660063e-16,-3.3945392344735894e-16,2.367633885323211e-41,2.4243624120308115e-28,5.260984060946524e-05,2.9634898598719626e-05,4.051155554725866e-05,6.100525230044531e-11,1.6972223764907762e-16,-7.014645414544899e-05,2.9633527504292812e-05,-1.4321019345015355e-09,3.662293834834477e-19,0.00012501245443686564,-0.00010521824911701285,-0.0001052182491165968,7.650620365849027e-20,-3.458262248943898e-16,2.0857373021641933e-15,5.5791948394385216e-05,-1.4354505749423698e-05,-1.2787336335735511e-22,-7.012591988060752e-17,-9.63071844495289e-11,-6.296980293132865e-20,0.0,-6.750521809304056e-06,-3.507313076546163e-05,9.630752390345235e-11,-2.8322705263680655e-05,-2.832270526368242e-05,-4.8564146657303484e-45,3.851859888774472e-34,2.2499158460097546e-38
18.0,400,101325.0,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26745066113498867,0.0,0.0,0.5993360003213418,0.0011066661310966473,0.00036888871036550215,6.623111098535589e-19,0.13173778370220746,0.0,1.7849533416116556e-31,6.720805842867061e-44,0.030046147215019057,3.6123474537010925e-08,0.5892306401549852,1.3599055334027134e-08,5.03483384815011e-07,0.013332188897995676,0.0003848116189525025,0.11993838260020243,1.9266028183463553e-05,0.2450199896792658,6.014115116913995e-23,0.001815590539926181,0.00016344534032124863,4.898471923378883e-05,0.0,0.0,0.0,-3.419445899735224e-28,0.0,0.0,-3.4194512274777465e-28,0.0,0.0,3.419445899735224e-28,2.6638712613027044e-34,0.0,0.0,0.0,-5.2478624489713184e-05,0.00010495724897937182,3.498574965974619e-05,6.251056978819878e-20,-6.997149931941925e-05,0.0,0.0,4.8608773368094645e-45,-1.5367041135676968e-16,1.9161057425597034e-19,4.248059965860501e-15,6.459988110859653e-20,-8.045751054086039e-17,-2.0803129184565616e-18,-5.597193715456417e-18,-1.6659596426356168e-16,-2.797550917019072e-19,-1.0812883791469496e-16,-9.629874503213907e-34,-2.439454888092385e-19,4.163982634234582e-15,-3.946569676525122e-15,2.6638712613027044e-34,3.419445899735224e-28,5.2478624489713184e-05,2.951576060647193e-05,4.045573871294732e-05,6.075185647289743e-11,1.6932550000358927e-16,-6.997149931901301e-05,2.951439776382119e-05,-1.4235967538212044e-09,3.6605355215326966e-19,0.00012472229999679362,-0.000104955825382618,-0.00010495582538212266,7.605183707638856e-20,-3.449546670711857e-16,2.077547030770179e-15,5.567637660079889e-05,-1.4295122716581625e-05,-1.2681549704054923e-22,-6.983782225217629e-17,-9.613976281741543e-11,-6.251056978819878e-20,1.6653345369377348e-16,-6.727920363758598e-06,-3.498565351586259e-05,9.614387592054565e-11,-2.825782929598759e-05,-2.8257829295981994e-05,-4.8608773368094645e-45,9.62964972193618e-34,2.247812777274496e-38
26.999999999999996,400,101325.00000000001,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26743430083740954,0.0,0.0,0.5991158243539225,0.0014736260767968523,0.000491208692265787,8.798185668087774e-19,0.13148504003960515,0.0,2.370273087178876e-31,1.1859968171941318e-43,0.030017982673814916,3.5958378865522404e-08,0.5897743392309261,1.358384051341765e-08,5.945000341372748e-07,0.013461069409023583,0.00038896206883698886,0.12002699983902518,1.9243891516572112e-05,0.24428791031453828,6.02445292428262e-23,0.0018106176626009741,0.00016326213359858565,4.896873386527822e-05,0.0,0.0,0.0,-2.3856416732537084e-28,0.0,0.0,-2.3856416732563487e-28,0.0,0.0,2.3856416732537084e-28,1.3201352572711237e-40,0.0,0.0,0.0,-5.234772919075178e-05,0.00010469545838190982,3.489848612735785e-05,6.205604696712863e-20,-6.979697225493606e-05,0.0,0.0,4.8647703441143184e-45,1.7682659806880774e-17,-7.83767188389057e-21,-3.848578899144639e-16,-1.3970711556176557e-20,-6.821589877561431e-20,2.3046072428895004e-17,-1.7448878713438587e-18,-1.665955097407406e-16,7.734033470241666e-20,3.28736874961183e-16,9.629425138858107e-34,2.3513634615779377e-18,-1.321046330082389e-16,1.4523480016672508e-16,1.3201352572711237e-40,2.3856416732537084e-28,5.234772919075178e-05,2.939711124682946e-05,4.03998610081066e-05,6.049954074675222e-11,1.6892961626706448e-16,-6.979697225409386e-05,2.9395756603927014e-05,-1.4151446814448855e-09,3.65877295855871e-19,0.00012443276320409235,-0.00010469404323722837,-0.00010469404323681458,7.56003076642346e-20,-3.440853019263414e-16,2.0693885884882007e-15,5.556098181070458e-05,-1.423599044176137e-05,-1.2576465286908446e-22,-6.955092614103936e-17,-9.598033479107926e-11,-6.205604696712863e-20,1.6653345369377348e-16,-6.705390047931161e-06,-3.4898390147023056e-05,9.598035608973279e-11,-2.8193096079426685e-05,-2.819309607942494e-05,-4.8647703441143184e-45,-9.62964972193618e-34,2.245830780726555e-38
36.0,400,101325.00000000001,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26741798334257594,0.0,0.0,0.5988962244234509,0.0018396259609162963,0.0006132086536389189,1.0957226057983787e-18,0.131232957619418,0.0,2.950846856561674e-31,1.839494618074652e-43,0.02998979965653608,3.5794069153935104e-08,0.5903170863782341,1.3568628070079292e-08,6.851051452217492e-07,0.013588929639452208,0.000393091489501219,0.12011543643033107,1.9221761542805197e-05,0.24355801145153158,6.034784953671245e-23,0.0018056571391899018,0.00016307895561432502,4.895263022440034e-05,0.0,0.0,0.0,-2.3665904795681237e-28,0.0,0.0,-2.366590479571912e-28,0.0,0.0,2.3665904795681237e-28,1.8941071082585687e-40,0.0,0.0,0.0,-5.22171540937974e-05,0.00010443430818727977,3.4811436062196825e-05,6.160618340539964e-20,-6.962287212400767e-05,0.0,0.0,4.868110046271573e-45,-1.792057442110556e-15,1.925108138079245e-19,3.210160002403706e-15,-2.3604257820070125e-19,-3.9746988121431065e-16,-4.743384504624082e-18,-3.105222784634265e-17,-1.8319295968149136e-15,5.708027159758097e-19,-5.795568831703374e-16,9.051848302867501e-33,-4.052205619664573e-18,2.766057415686045e-15,-6.655594302254105e-16,1.8941071082585687e-40,2.3665904795681237e-28,5.22171540937974e-05,2.927894865120458e-05,4.0343923472803086e-05,6.024830079476008e-11,1.685345853442898e-16,-6.962287212407453e-05,2.9277602156352553e-05,-1.4067453823518495e-09,3.657006153749972e-19,0.00012414384328866192,-0.00010443290144189742,-0.00010443290144108739,7.515159752443441e-20,-3.432181247915143e-16,2.061261869109179e-15,5.544576418295462e-05,-1.4177107939505546e-05,-1.2472078921187984e-22,-6.92652269494711e-17,-9.581446747120026e-11,-6.160618340539964e-20,1.8318679906315083e-15,-6.682930684321508e-06,-3.4811340245196136e-05,9.581696489862112e-11,-2.812850537787532e-05,-2.8128505377844268e-05,-4.868110046271573e-45,-9.051870738620009e-33,2.2435752507183777e-38
45.0,400,101325.00000000001,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26740170853533624,0.0,0.0,0.5986771989802259,0.0022046683662898395,0.0007348894554299447,1.3100397736229494e-18,0.13098153466271786,0.0,3.5267256373841206e-31,2.6294580155432074e-43,0.029961598485955813,3.563054193658507e-08,0.5908588806666681,1.3553418123338664e-08,7.752998770979734e-07,0.013715774444882818,0.0003971999455173055,0.12020369231639551,1.9199638416448677e-05,0.24283028883971566,6.045111136796416e-23,0.0018007089620875351,0.00016289580780613343,4.8936408717480406e-05,0.0,0.0,0.0,-2.347742426352689e-28,0.0,0.0,-2.3477424263577398e-28,0.0,0.0,2.347742426352689e-28,2.5254761443447583e-40,0.0,0.0,0.0,-5.208689857637656e-05,0.0001041737971524588,3.4724599050780317e-05,6.116092865390107e-20,-6.944919810140132e-05,0.0,0.0,4.870912412178268e-45,-2.3593255712821282e-17,3.2213422873410587e-21,6.80336863234654e-17,8.252609831527597e-21,-9.37683195554506e-20,-1.629691390517274e-17,3.2526065174565133e-19,1.1096114153386175e-16,-1.0623957114305706e-20,-2.3722343533982837e-16,1.9257057689188605e-34,-1.7143946852427039e-18,-1.1478823847561303e-16,1.153622971290598e-16,2.5254761443447583e-40,2.347742426352689e-28,5.208689857637656e-05,2.916127095447556e-05,4.0287927146925764e-05,5.999813229835134e-11,1.6814040612908553e-16,-6.944919810112771e-05,2.9159932556305682e-05,-1.3983985234056069e-09,3.6552351150784586e-19,0.0001238555394766871,-0.0001041723987539354,-0.00010417239875352388,7.470568886005457e-20,-3.423531309957463e-16,2.0531667664327607e-15,5.533072387298945e-05,-1.4118474226528681e-05,-1.2368386462748816e-22,-6.898072008863505e-17,-9.565392922183946e-11,-6.116092865390107e-20,-1.1102230246251565e-16,-6.660542095363307e-06,-3.4724503397061504e-05,9.565370283723987e-11,-2.8064056955417007e-05,-2.8064056955417332e-05,-4.870912412178268e-45,-1.925929944387236e-34,2.241754683753527e-38
53.99999999999999,400,101325.00000000001,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.2673854763008238,0.0,0.0,0.5984587464783756,0.0025687558693741966,0.0008562519564581078,1.522786436485585e-18,0.13073076939496825,0.0,4.097959811666602e-31,3.5528369588431828e-43,0.02993337948554406,3.546779376377114e-08,0.5913997211726079,1.3538210792431062e-08,8.65085389597361e-07,0.013841608671740743,0.00040128750148638465,0.12029176743530455,1.917752229170715e-05,0.24210473823464987,6.055431405390543e-23,0.0017957731236202933,0.00016271269160817069,4.8920069752021907e-05,0.0,0.0,0.0,-2.3290951814266116e-28,0.0,0.0,-2.329095181432581e-28,0.0,0.0,2.3290951814266116e-28,2.9846536251347144e-40,0.0,0.0,0.0,-5.195696202331516e-05,0.00010391392404632301,3.4637974681919526e-05,6.072023284062494e-20,-6.927594936348803e-05,0.0,0.0,4.873193028955441e-45,-8.860218738164158e-16,-3.111796427372234e-21,4.753955475805816e-16,1.789569083038065e-18,-3.2593134811623034e-16,-5.3274984250506474e-17,1.3871011544236422e-17,-9.437502911642238e-16,1.2383844140584948e-18,-5.100408891891769e-16,3.659244497998964e-33,-4.221612209115433e-18,8.477430651373179e-17,1.0997283839384399e-15,2.9846536251347144e-40,2.3290951814266116e-28,5.195696202331516e-05,2.9044076301106792e-05,4.0231873062381235e-05,5.97490309617476e-11,1.677470775310513e-16,-6.927594936348723e-05,2.904274594857677e-05,-1.3901037737640604e-09,3.6534598506941355e-19,0.00012356785100162937,-0.00010391253394254925,-0.00010391253394181306,7.426256399673346e-20,-3.4149031590176543e-16,2.045103174748041e-15,5.5215861037605425e-05,-1.4060088324281827e-05,-1.2265383791325044e-22,-6.869740099103744e-17,-9.549072643721956e-11,-6.072023284062494e-20,9.43689570931383e-16,-6.638224104403677e-06,-3.463787919130972e-05,9.549057039840656e-11,-2.799975057751585e-05,-2.7999750577529722e-05,-4.873193028955441e-45,-3.659266894335748e-33,2.2396336783979248e-38
63.0,400,101324.99999999997,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.26736928652445446,0.0,0.0,0.5982408653758354,0.002931891040276054,0.0009772970134255723,1.733978782086692e-18,0.13048066004600856,0.0,4.664599186660737e-31,4.6066459584577274e-43,0.029905142976579462,3.530582119376353e-08,0.5919396069997735,1.3523006195835283e-08,9.54462843244208e-07,0.013966437155335838,0.00040535422201970153,0.12037966173400767,1.9155413321743387e-05,0.24138135536926858,6.065745691639618e-23,0.0017908496158379641,0.00016252960844741055,4.89036137373967e-05,0.0,0.0,0.0,-2.3106464577480833e-28,0.0,0.0,-2.3106464577547413e-28,0.0,0.0,2.3106464577480833e-28,3.3290367357271814e-40,0.0,0.0,0.0,-5.1827343816869896e-05,0.00010365468763408374,3.455156254473984e-05,6.028404667089884e-20,-6.910312508966643e-05,0.0,0.0,4.874967111690609e-45,4.9180426983479186e-17,-9.44770137049518e-21,1.444157293750692e-16,-8.167585043065552e-21,1.516431467148755e-19,1.6202046215080257e-17,2.9341221292888964e-18,-1.1108258650918656e-16,-2.067382855143685e-20,2.7651221156527184e-16,-3.852083653045826e-34,2.019326546254252e-18,3.5848743526559024e-16,-3.774915578607207e-16,3.3290367357271814e-40,2.3106464577480833e-28,5.1827343816869896e-05,2.892736283962894e-05,4.017576225003749e-05,5.950099249923816e-11,1.6735459845152655e-16,-6.910312508888159e-05,2.892604048202131e-05,-1.3818608044890451e-09,3.6516803688834836e-19,0.00012328077709428532,-0.00010365330577327925,-0.00010365330577287029,7.382220536182201e-20,-3.406296748731699e-16,2.037070988403235e-15,5.5101175830647175e-05,-1.4001949256635255e-05,-1.2163066805973575e-22,-6.841526509929692e-17,-9.532707956338982e-11,-6.028404667089884e-20,1.1102230246251565e-16,-6.61597653481492e-06,-3.4551467217190895e-05,9.532756807725014e-11,-2.7935586009924914e-05,-2.793558600992785e-05,-4.874967111690609e-45,3.851859888774472e-34,2.2376427135398121e-38
72.0,400,101325.00000000003,2.7155e-08,0.1325,0.6,0.2675,0.22083333333333335,400.0,1e-11,1e-22,IdealGasReactor,off,0.2673531390919264,0.0,0.0,0.5980235541343368,0.003294076442773948,0.0010980254809248731,1.9436328216973417e-18,0.13023120485003806,0.0,5.2266930018444825e-31,5.7879627415616725e-43,0.02987688928081775,3.514462080019279e-08,0.5924785372594873,1.3507804451895166e-08,1.0434333993112661e-06,0.014090264721587462,0.00040940017175402927,0.12046737515610703,1.9133311659571995e-05,0.24066013598121963,6.076053927772647e-23,0.0017859384307116154,0.0001623465597470074,4.888704108413921e-05,0.0,0.0,0.0,-2.29239399836795e-28,0.0,0.0,-2.2923939983771336e-28,0.0,0.0,2.29239399836795e-28,4.5917748078995606e-40,0.0,0.0,0.0,-5.169804334580611e-05,0.0001033960866918693,3.446536223051772e-05,5.985232141345838e-20,-6.893072445992909e-05,0.0,0.0,4.876249510947136e-45,-3.185606211328698e-16,6.552880784736743e-20,2.8787841115920573e-13,-2.6614986630063596e-17,-1.8560031056447503e-16,1.6216953994951933e-15,-1.6264557246587624e-15,-5.557100355267129e-17,4.99987945495802e-17,-1.212051631478174e-15,-4.691565568295614e-31,-1.736078728692414e-17,2.8800588003274753e-13,-2.878677556976378e-13,4.5917748078995606e-40,2.29239399836795e-28,5.169804334580611e-05,2.8811128727675288e-05,4.011959573225381e-05,5.92540126469204e-11,1.6696296780574852e-16,-6.893072446058406e-05,2.8809814314594947e-05,-1.3736692888824079e-09,3.649896678104223e-19,0.00012299431699205193,-0.00010339471302258041,-0.00010339471302198684,7.338459550233783e-20,-3.3977120330470974e-16,2.0290701022047976e-15,5.498666840699666e-05,-1.3944056052014652e-05,-1.206143142915393e-22,-6.813430787653642e-17,-9.487677310460185e-11,-5.985232141345838e-20,5.551115123125783e-17,-6.5937992108124306e-06,-3.446526706581658e-05,9.516469637145072e-11,-2.7871563019705288e-05,-2.7871563018078832e-05,-4.876249510947136e-45,4.6915653445273065e-31,2.2376830709355847e-38
