Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,598,101325.00000000003,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.03888888888888889,0.0,0.0,0.88,0.0,0.0,0.0,0.0811111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08545325180890419,0.0,0.0,0.0,-0.35751513521330164,0.0,-0.5296293318351072,0.001207693003997111,0.17090650361780838,0.0,0.0,0.0,0.0,0.0,0.001207693003997111,0.35630744220930455,0.0,0.0,0.0,0.0,0.0,0.35630744220930455,0.08545325180890419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001207693003997111,0.0,0.0,0.0,0.0,0.0
0.009,598,101324.99999999996,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.03888785210883372,0.0,0.0,0.8798965589726494,0.0001599603513685437,5.332011699029541e-05,2.6474797574646255e-13,0.08100230844989321,0.0,0.0031193835048960294,7.033154691081747e-11,0.7637411774738204,1.541122866086327e-08,1.0756332825935e-09,3.519582054000087e-08,1.000480394825798e-05,0.23272596426987202,4.101813840890129e-05,2.374695072023503e-05,0.0002498424310332613,8.380757848844427e-06,5.846574269053289e-13,1.501146235034049e-08,8.041490439105794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.312759354987237e-07,1.6625518682162656e-06,5.541839547280796e-07,2.7516646340633087e-15,-1.1083679121306437e-06,0.0,8.090998978843909e-15,-6.4335561349237876e-21,4.355949597333046e-17,3.440964126216265e-21,2.9708621833760517e-17,-1.0757318430129614e-19,5.666848940478282e-20,8.043253237075899e-15,9.289946713928713e-21,-3.3351722613183914e-17,1.1813507549559642e-20,1.1918845446276576e-20,1.0519118664361637e-20,4.6161876525333166e-21,-8.087028315551656e-15,1.097059639526641e-06,8.312759354987237e-07,1.3724028985454233e-06,-1.662542766357926e-06,-1.4678667531062867e-06,4.986401823153717e-10,6.387829194232034e-07,1.3791123083690835e-07,1.9378149328740786e-07,1.3791123083690835e-07,5.539580376208228e-07,5.539580376208228e-07,-2.7516646340633087e-15,1.107916089619076e-06,-1.1821344777269268e-15,4.091187844480871e-18,-1.479055106170813e-14,1.1079160644467123e-06,1.2086271867609427e-12,1.3453178983857919e-11,1.979399036547951e-10,-2.289137487484976e-11,-1.4451918481408088e-18,1.107000766748825e-06,1.3453178983857919e-11,1.979399036547951e-10,-5.362760400761513e-07,9.153057849156723e-10,-5.53268648943113e-07,-1.790791465192829e-08,-1.790791465198496e-08,-1.5925605366040791e-15,1.1315505137374845e-08,2.2392580895471646e-19,-9.101858339580387e-12,1.130827260400282e-08,7.467681903948042e-12,3.914363881992366e-12,4.950753544655223e-12,3.335098518307647e-20,1.5925651527917317e-15
0.018,598,101325.00000000003,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.038886817140716554,0.0,0.0,0.8797932987249422,0.0003196411465874305,0.00010654704859776605,5.292845795247932e-13,0.0808936959386267,0.0,0.003116922039097429,7.020955893948772e-11,0.7639174555003387,1.5400766108582843e-08,1.6001645574513042e-09,3.519652587515225e-08,1.0012908707869622e-05,0.23255285697484984,4.096198869314803e-05,2.3696385666436353e-05,0.0002493615682010877,8.373658052326822e-06,5.836058719954513e-13,1.501560727720009e-08,8.029169253606796e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.298673585942414e-07,1.6597347144388934e-06,5.532449034392913e-07,2.7496141461993377e-15,-1.1064898096190783e-06,0.0,1.7893713947556944e-16,2.62671115679884e-23,2.270450770239699e-18,-1.4832858075530025e-21,-1.4823076576950256e-20,-6.45862622281404e-21,6.481787279965525e-21,1.6978706606285486e-16,-7.295183703092181e-23,-6.840634211078957e-18,1.074145724188391e-21,-3.749196126396598e-22,3.4256536081142273e-22,-5.505574090166065e-23,-1.7206601027539409e-16,1.0952144338710525e-06,8.298673585942414e-07,1.3698044709324127e-06,-1.6597256371056086e-06,-1.4654486547665526e-06,4.972356253586878e-10,6.380558818847799e-07,1.3753395099766754e-07,1.9338489698272172e-07,1.3753395099766754e-07,5.53019603127571e-07,5.53019603127571e-07,-2.7496141461993377e-15,1.1060392206006493e-06,-1.17876886005194e-15,4.080508145763097e-18,-1.4759321413765564e-14,1.1060392033357402e-06,1.2065797069706348e-12,1.3408908819641595e-11,1.9742486332827306e-10,-2.2791918167279144e-11,-1.4413377937083292e-18,1.1051260741483076e-06,1.3408908819641595e-11,1.9742486332827306e-10,-5.35353680276507e-07,9.131293594986729e-10,-5.523317740797926e-07,-1.789122316278425e-08,-1.7891223162790732e-08,-1.5899102234516796e-15,1.1282589207880415e-08,2.233224244451001e-19,-9.077333284843309e-12,1.1275375748025804e-08,7.44595432712356e-12,3.905921927875693e-12,4.937327164373014e-12,3.3261435367325753e-20,1.5899101683959387e-15
0.026999999999999996,598,101324.99999999999,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.038885783981123884,0.0,0.0,0.879690218916306,0.00047904291231541825,0.0001596809703749323,7.936100799739901e-13,0.0807852732190862,0.0,0.0031144624476007812,7.008781355801485e-11,0.7640935411138038,1.5390312145121018e-08,2.12294965399515e-09,3.5197039737179534e-08,1.0020965705267349e-05,0.2323799388242204,4.090591045187615e-05,2.3645940695539725e-05,0.0002488817433828659,8.366564883936967e-06,5.825565390648732e-13,1.501975299731933e-08,8.016868853073156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.284612904822877e-07,1.6569225782176853e-06,5.523075246979979e-07,2.7475659033045124e-15,-1.1046150521456924e-06,0.0,3.447787161439464e-16,1.469988710080376e-21,-1.0936485844219592e-18,-1.2703802784804038e-20,-6.740264677776095e-19,2.6363900483290098e-20,-2.4818727099041042e-20,3.4626013375530233e-16,-3.1832640313296783e-22,1.0211812122417143e-18,7.967171015563482e-22,1.2912289361952762e-21,1.2318529652167994e-21,-8.304799939040458e-22,-3.45155709188189e-16,1.093372471837632e-06,8.284612904822877e-07,1.367211274759893e-06,-1.6569135253390275e-06,-1.4630347619701924e-06,4.958353349112503e-10,6.373293931784676e-07,1.3715766707506533e-07,1.9298910548678276e-07,1.3715766707506533e-07,5.520828393261018e-07,5.520828393261018e-07,-2.7475659033045124e-15,1.1041656929658505e-06,-1.1754137712784966e-15,4.069858874692784e-18,-1.472815958661383e-14,1.1041656755583773e-06,1.2045358723040836e-12,1.3364788610305594e-11,1.9691127108739363e-10,-2.269289644931011e-11,-1.4374950401051673e-18,1.1032547175112723e-06,1.3364788610305594e-11,1.9691127108739363e-10,-5.344329748060193e-07,9.109583922607008e-10,-5.513965663057387e-07,-1.7874549891978648e-08,-1.787454989195383e-08,-1.5872605985135498e-15,1.1249774747107914e-08,2.227207727101667e-19,-9.052878657884298e-12,1.1242580308060407e-08,7.424293743921688e-12,3.897497580011878e-12,4.923939312708354e-12,3.317213869414993e-20,1.5872597680335559e-15
0.036,598,101325.0,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.03888475262664812,0.0,0.0,0.8795873192067638,0.0006381661742898313,0.00021272205756765321,1.0577247453759889e-12,0.08067703993367284,0.0,0.0031120047311080333,6.996631027626337e-11,0.7642694344853951,1.5379866768893767e-08,2.6439934212848146e-09,3.519736311465634e-08,1.0028975092215438e-05,0.23220720964886774,4.0849903637984516e-05,2.359561551918768e-05,0.00024840295429524715,8.359478341134766e-06,5.815094232054741e-13,1.5023899511031326e-08,8.004589207268335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.27057727338375e-07,1.6541154519328105e-06,5.513718159372175e-07,2.745519903363054e-15,-1.1027436346120814e-06,0.0,-1.9376055800898492e-14,-1.8012926034594937e-21,-8.373736144556605e-19,8.056469990362539e-20,-1.5814105125237787e-18,-4.1705784740433613e-19,4.875137832591528e-19,-1.9385999123975033e-14,1.3524014466536301e-20,-8.769130915473575e-18,-6.546100572591523e-21,-6.913678957294774e-21,-5.6096813638708535e-21,3.024654714248299e-21,1.938675682793018e-14,1.0915337486391927e-06,8.27057727338375e-07,1.3646233006813104e-06,-1.6541064234385548e-06,-1.4606250684604568e-06,4.944392978389956e-10,6.366034541444781e-07,1.3678237678374873e-07,1.9259411742879758e-07,1.3678237678374873e-07,5.51147743672368e-07,5.51147743672368e-07,-2.745519903363054e-15,1.1022955016266035e-06,-1.1720691773021224e-15,4.059239942217882e-18,-1.4697065445949994e-14,1.1022955039852178e-06,1.2024956772106647e-12,1.3320817853908166e-11,1.9639912279931973e-10,-2.2594307810410748e-11,-1.4336635529717302e-18,1.1013866917282898e-06,1.3320817853908166e-11,1.9639912279931973e-10,-5.335139211138703e-07,9.087928701711925e-10,-5.504630230671166e-07,-1.785789482334712e-08,-1.7857894823834633e-08,-1.5846109206358607e-15,1.1217061443697242e-08,2.221208487569584e-19,-9.02849425577663e-12,1.1209885972888663e-08,7.402699948719818e-12,3.8890908090389095e-12,4.910589879884874e-12,3.308309446037596e-20,1.584613945290575e-15
0.045,598,101325.0,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.03888372307388769,0.0,0.0,0.8794845992569338,0.0007970114573281042,0.0002656704851151697,1.3216288436543486e-12,0.08056899572541366,0.0,0.003109548890259668,6.984504860377189e-11,0.7644451357739044,1.536942997803898e-08,3.1633006969666735e-09,3.5197496993951275e-08,1.0036937020692624e-05,0.23203466929212316,4.0793968203542975e-05,2.3545409849242983e-05,0.00024792519865520017,8.35239842154404e-06,5.804645195284762e-13,1.502804681948568e-08,7.992330286263723e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.256566653119746e-07,1.6513133278481918e-06,5.504377746151592e-07,2.7434761445063538e-15,-1.1008755519036383e-06,0.0,1.3912293779416004e-15,1.2900309213927279e-21,5.3098004544664535e-17,-2.3019491898305103e-21,3.24803253954134e-17,3.8963515573697816e-20,-6.94765540095539e-20,1.3534630938080098e-15,-6.880203184086952e-21,-1.6800571491334927e-17,1.7116838722036998e-20,-1.3850312176587895e-20,-3.008392148505587e-20,-3.795653947849447e-21,-1.406720368741987e-15,1.089698259471852e-06,8.256566653119746e-07,1.3620405393123553e-06,-1.651304323668316e-06,-1.4582195679344038e-06,4.930475010293524e-10,6.358780655966432e-07,1.36408077837052e-07,1.921999314324218e-07,1.36408077837052e-07,5.502143136050043e-07,5.502143136050043e-07,-2.7434761445063538e-15,1.100428641460188e-06,-1.168735044173059e-15,4.048651259533098e-18,-1.466603885819383e-14,1.1004286231131033e-06,1.2004591161019707e-12,1.3276996049626726e-11,1.9588841433571447e-10,-2.249615034730633e-11,-1.429843298103344e-18,1.0995219917395469e-06,1.3276996049626726e-11,1.9588841433571447e-10,-5.325965166733737e-07,9.066327802768085e-10,-5.49531141834852e-07,-1.784125794178558e-08,-1.7841257941716103e-08,-1.5819764893512222e-15,1.1184448986771215e-08,2.21522647598341e-19,-9.004179875830051e-12,1.1177292431786232e-08,7.38117273622175e-12,3.880701585472974e-12,4.89727875624347e-12,3.299430196338024e-20,1.5819726936972744e-15
0.054,598,101324.99999999999,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.03888269531944695,0.0,0.0,0.879382058728028,0.0009555792853294665,0.0003185264276500839,1.5853226423725252e-12,0.08046114023796017,0.0,0.0031070949257784642,6.972402805298691e-11,0.7646206451608514,1.5359001771122717e-08,3.680876307496025e-09,3.5197442355011046e-08,1.0044851641223743e-05,0.23186231757449946,4.0738104101673776e-05,2.3495323398877107e-05,0.00024744847419149515,8.345325122443623e-06,5.79421823137871e-13,1.50321949223598e-08,7.980092059591314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.242581006029474e-07,1.6485161984233152e-06,5.495053981473785e-07,2.741434624596037e-15,-1.0990107989500006e-06,0.0,-1.405675887493003e-14,5.071159604626857e-21,5.900205974302165e-17,-1.2242454399143996e-20,4.137925353926708e-17,1.084413930722318e-18,-1.2694211465259282e-18,-1.4100558267035726e-14,-2.9451688161768124e-20,-2.6436917935776876e-17,-5.138553320944455e-20,-8.590436097485703e-20,4.157314999713784e-20,-6.951157504807351e-21,1.4041306254970309e-14,1.0878659995744444e-06,8.242581006029474e-07,1.3594629813567266e-06,-1.6485072184879987e-06,-1.455818254177021e-06,4.916599314366812e-10,6.351532283809974e-07,1.3603476795959859e-07,1.9180654613347967e-07,1.3603476795959859e-07,5.49282546596165e-07,5.49282546596165e-07,-2.741434624596037e-15,1.0985651074107984e-06,-1.1654113379619107e-15,4.0380927380805954e-18,-1.4635079688933595e-14,1.0985651045514189e-06,1.1984261834627271e-12,1.3233322698983244e-11,1.9537914159082033e-10,-2.239842216678188e-11,-1.4260342412986812e-18,1.0976606124005627e-06,1.3233322698983244e-11,1.9537914159082033e-10,-5.316807589171263e-07,9.044781095499464e-10,-5.486009200376436e-07,-1.782463923025226e-08,-1.782463922898284e-08,-1.5793429580390902e-15,1.1151937066997476e-08,2.2092616427343605e-19,-8.97993531642164e-12,1.1144799375556082e-08,7.359711902140242e-12,3.872329880067409e-12,4.884005832695768e-12,3.2905760504289074e-20,1.5793360068815854e-15
0.06299999999999999,598,101325.00000000003,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.0388816693599362,0.0,0.0,0.8792796972818523,0.0011138701812736043,0.00037129005949967285,1.8488064087404613e-12,0.08035347311558928,0.0,0.003104642838326472,6.960324813604402e-11,0.7647959628155268,1.5348582146436032e-08,4.196725067960773e-09,3.519720017553841e-08,1.0052719104528133e-05,0.2316901543287976,4.0682311284678136e-05,2.3445355881484682e-05,0.00024697277863318194,8.338258441273475e-06,5.783813291568532e-13,1.503634382013523e-08,7.967874497088438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.228620293855082e-07,1.6457240560317718e-06,5.485746839736724e-07,2.7393953416390427e-15,-1.097149370688239e-06,0.0,2.1490782625754424e-16,2.621263445411055e-23,-1.0004637874223108e-18,-1.2433028106616487e-21,-1.545835128739098e-19,-1.2281977735187355e-20,1.236800451889287e-20,2.1624343508796422e-16,-9.135741345379362e-23,4.944269258415191e-19,-6.514588545544947e-22,-5.398387472674197e-22,4.0692294462458995e-22,-4.259632385318026e-23,-2.1523866148623304e-16,1.0860369641927433e-06,8.228620293855082e-07,1.356890617480983e-06,-1.6457151002713956e-06,-1.4534211209277072e-06,4.902765760368302e-10,6.34428943317451e-07,1.3566244487475124e-07,1.9141396016232265e-07,1.3566244487475124e-07,5.48352440100765e-07,5.48352440100765e-07,-2.7393953416390427e-15,1.0967048943884734e-06,-1.1620980248929595e-15,4.027564289548161e-18,-1.4604187804474374e-14,1.096704877245891e-06,1.1963968737400458e-12,1.3189797304610997e-11,1.9487130046334346e-10,-2.2301121382804063e-11,-1.4222363485098515e-18,1.09580254861609e-06,1.3189797304610997e-11,1.9487130046334346e-10,-5.307666453009452e-07,9.023288450396754e-10,-5.476723551286328e-07,-1.7808038672727247e-08,-1.7808038672739615e-08,-1.576703921012801e-15,1.1119525375542202e-08,2.2033139382722225e-19,-8.955760376166362e-12,1.1112406495495791e-08,7.338317242514927e-12,3.8639756634556e-12,4.870771000270042e-12,3.2817469384785426e-20,1.5767038784164772e-15
0.07199999999999998,598,101324.99999999999,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.038880645191971715,0.0,0.0,0.879177514580806,0.0012718846672245406,0.0004239615546849107,2.112080409606879e-12,0.08024599400320083,0.0,0.0031021926284559723,6.948270836366675e-11,0.7649710888829473,1.5338171101754164e-08,4.7108517819496624e-09,3.519677143249426e-08,1.0060539562111313e-05,0.2315181794121996,4.0626589703406204e-05,2.3395507010318954e-05,0.0002464981097059345,8.331198375810787e-06,5.773430327369417e-13,1.504049351489053e-08,7.955677569184327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.214684477823708e-07,1.6429368928155832e-06,5.47645629582339e-07,2.7373582939305818e-15,-1.0952912618480546e-06,0.0,-5.110033886090098e-15,1.3041807052379512e-21,1.698197723566629e-17,-1.3888749003100077e-20,1.1884507524688274e-17,1.0842021724855044e-19,-1.0792060015856841e-19,-5.152110300684514e-15,-4.84061813160127e-21,-3.691841508768278e-17,1.7766821737744682e-21,-8.945751529607856e-21,4.653121984826119e-21,-3.877395099339727e-22,5.135053978832134e-15,1.084211148365006e-06,8.214684477823708e-07,1.3543234382723946e-06,-1.6429279611607297e-06,-1.4510281618349644e-06,4.888974218118737e-10,6.337052111800337e-07,1.3529110630044545e-07,1.9102217213789995e-07,1.3529110630044545e-07,5.474239915398351e-07,5.474239915398351e-07,-2.7373582939305818e-15,1.094847997235116e-06,-1.1587950713891826e-15,4.017065825869153e-18,-1.4573363072368514e-14,1.0948479854944182e-06,1.194371181307111e-12,1.314641936985522e-11,1.9436488685053878e-10,-2.2204246115596048e-11,-1.418449585894549e-18,1.0939477953854414e-06,1.314641936985522e-11,1.9436488685053878e-10,-5.298541733270595e-07,9.001849739228606e-10,-5.467454446084168e-07,-1.779145625527955e-08,-1.779145625517163e-08,-1.5740766895082142e-15,1.1087213603692535e-08,2.197383313036323e-19,-8.931654853636282e-12,1.1080113483048706e-08,7.31698855348335e-12,3.855638906030995e-12,4.857574149963015e-12,3.2729427906042223e-20,1.5740763017687043e-15
0.08099999999999999,598,101325.0,2.771e-08,0.08111111111111112,0.8800000000000001,0.03888888888888889,0.09217171717171717,598.0,1e-11,1e-22,IdealGasReactor,off,0.038879622812175656,0.0,0.0,0.8790755102878798,0.0014296232643295239,0.0004765410869216837,2.3751449114652434e-12,0.08013870254631812,0.0,0.0030997442968551414,6.936240825068558e-11,0.7651460235439458,1.5327768635543523e-08,5.223261242032329e-09,3.5196157094885173e-08,1.0068313163404457e-05,0.23134639264592596,4.057093931045321e-05,2.3345776500336935e-05,0.0002460244651513094,8.324144923297846e-06,5.763069290124501e-13,1.504464400637424e-08,7.943501245457122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.200773519950125e-07,1.640154701242399e-06,5.467182323937826e-07,2.735323479340716e-15,-1.093436467489998e-06,0.0,-3.3755705584159385e-15,1.6655840182614516e-21,1.9589957067000754e-17,-2.169285910689379e-20,1.2384892238278752e-17,3.218725199566341e-20,-6.36565112196308e-20,-3.396092363474175e-15,3.2064178183390606e-21,-1.3189681622565182e-17,1.0144310387803051e-20,-1.874598063198299e-21,3.6412545769070426e-22,-8.4612589348901755e-22,3.376443660787378e-15,1.0823885474584363e-06,8.200773519950125e-07,1.3517614344524928e-06,-1.6401457936238501e-06,-1.448639370684964e-06,4.875224558272007e-10,6.3298203279661e-07,1.349207499705135e-07,1.9063118069786036e-07,1.349207499705135e-07,5.464971983864152e-07,5.464971983864152e-07,-2.735323479340716e-15,1.09299441089686e-06,-1.1555024438434081e-15,4.0065972592224936e-18,-1.4542605358759735e-14,1.0929943974335998e-06,1.19234910065058e-12,1.3103188400834537e-11,1.9385989667871832e-10,-2.210779449634279e-11,-1.4146739195563383e-18,1.0920963475739098e-06,1.3103188400834537e-11,1.9385989667871832e-10,-5.289433404328629e-07,8.980464832463723e-10,-5.458201859105048e-07,-1.7774891960919767e-08,-1.777489196085611e-08,-1.5714541166848373e-15,1.1055001444662405e-08,2.1914697178031907e-19,-8.907618548774367e-12,1.104792003156158e-08,7.295725632438495e-12,3.847319578556706e-12,4.844415173504832e-12,3.264163537414584e-20,1.5714532705589438e-15
