Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,648,101325.00000000001,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04999999999999999,0.0,0.0,0.88,0.0,0.0,0.0,0.06999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07575614402507284,0.0,0.0,0.0,-0.2967460537680343,0.0,-0.4496076733798379,0.0013493315616578843,0.1515122880501457,0.0,0.0,0.0,0.0,0.0,0.0013493315616578843,0.2953967222063764,0.0,0.0,0.0,0.0,0.0,0.2953967222063764,0.07575614402507284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013493315616578843,0.0,0.0,0.0,0.0,0.0
0.0,648,101325.0,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04999771428054516,0.0,0.0,0.8798226281693315,0.0002742863345790584,9.142877721911413e-05,1.9478349692528237e-12,0.06981394243637722,0.0,0.004340594459357055,1.383375401552069e-10,0.9100071961825779,3.1127537397677833e-08,1.6442515795033643e-09,1.4748310665122413e-08,8.656393740366754e-06,0.08545412090096845,2.3735857771202692e-05,1.0470318293582642e-05,8.793610028251109e-05,1.0404732478084669e-05,7.849672794855994e-13,3.72734302096861e-08,5.680012187865228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4268535225253023e-06,2.853707024782862e-06,9.51235664799883e-07,2.0265502265837783e-14,-1.9024713498532226e-06,0.0,-8.824797540845657e-17,-3.57719754128103e-21,8.472511074607091e-18,2.772404062076152e-20,2.2696247821678978e-18,5.579829540037703e-20,-3.958224667188748e-20,-9.802087611775418e-17,2.44381787808269e-21,-3.540496063549337e-18,-1.5112428232630426e-21,-6.1434704094313365e-21,-1.927306894786412e-21,2.7252333295767948e-21,8.948764576348111e-17,1.8778925250898144e-06,1.4268535225253023e-06,2.0683166387331068e-06,-2.853673743429963e-06,-2.622480217652079e-06,7.500400528040708e-10,1.481361697676824e-06,9.558495007461894e-08,2.299234716104921e-07,9.558495007461894e-08,9.509528622138347e-07,9.509528622138347e-07,-2.0265502265837783e-14,1.9019057618786332e-06,-2.3632524585278663e-15,1.8732836049947018e-17,-4.1427833888550374e-14,1.9019057042601872e-06,5.564574989500433e-12,1.1887042563425173e-11,2.6000704781978776e-10,-1.1379907261295003e-12,-5.165450534101481e-18,1.899901432057232e-06,1.1887042563425173e-11,2.6000704781978776e-10,-9.292922262300851e-07,2.004272113467566e-09,-9.492313926864317e-07,-2.1943438569797962e-08,-2.194343856975838e-08,-6.326318511782616e-15,2.4597579573684987e-08,2.484725297228789e-18,-3.328135289940992e-11,2.4578824763408208e-08,1.9518178556058834e-11,1.7376983098896844e-11,1.5134677445249448e-11,2.358942652122936e-19,6.3263212370159455e-15
0.00899100899100899,648,101325.0,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04999543842830343,0.0,0.0,0.8796460220343973,0.0005473886035934592,0.00018246286591723846,3.892853803239409e-12,0.06962868806389584,0.0,0.004331846922071777,1.3779310756764268e-10,0.9101322901954442,3.1073703249016317e-08,2.55778057587383e-09,1.473299487537346e-08,8.66486982463197e-06,0.08533849969819524,2.364686038351225e-05,1.0421482933932867e-05,8.755246183680322e-05,1.0382735471438247e-05,7.820108563813125e-13,3.730329212252654e-08,5.660896749274352e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4208235681457335e-06,2.8416471160533485e-06,9.472156952235146e-07,2.02380465520479e-14,-1.8944314107016857e-06,0.0,-1.4291495242865708e-16,1.2123999897795472e-22,-1.7070453444681066e-17,1.8886201405416473e-22,-2.964615315390051e-21,8.470329472543003e-22,4.668607377249288e-21,-1.2623744941492624e-16,-1.983359389051951e-22,-5.4459740747151215e-19,-1.9022439902334697e-21,5.38494578772021e-22,-5.749386028522229e-22,1.3170207939785751e-23,1.4338227804188626e-16,1.8700157280089093e-06,1.4208235681457335e-06,2.059013764877487e-06,-2.8416140444924393e-06,-2.6116866499235205e-06,7.452361756242603e-10,1.4760107817884453e-06,9.486954119175648e-08,2.2866530816757337e-07,9.486954119175648e-08,9.4693465985957e-07,9.4693465985957e-07,-2.02380465520479e-14,1.8938693569715171e-06,-2.3492630694133605e-15,1.8623581703422763e-17,-4.121667384382628e-14,1.8938692996073314e-06,5.541062156610038e-12,1.1790811518006507e-11,2.5842510231296263e-10,-1.0798005669432187e-12,-5.135958737878912e-18,1.8918759947807084e-06,1.1790811518006507e-11,2.5842510231296263e-10,-9.253219108775478e-07,1.993304683240776e-09,-9.452223905402793e-07,-2.1893784345966847e-08,-2.1893784345971515e-08,-6.299838356027315e-15,2.4434321277260796e-08,2.469062519308563e-18,-3.307156090923668e-11,2.4415682692776422e-08,1.9388613628349048e-11,1.7276946591429742e-11,1.5038287570245823e-11,2.3440115257765045e-19,6.299838369197523e-15
0.01798201798201798,648,101325.0,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04999317238824401,0.0,0.0,0.8794701773248157,0.0008193134107231421,0.0002731044673225709,5.835067393959877e-12,0.06944423240305954,0.0,0.004323126253068759,1.3725152802959148e-10,0.9102569426031638,3.1020033152330984e-08,3.4636820994931964e-09,1.4717433764463101e-08,8.673181644560121e-06,0.0852232895291022,2.3558275005462962e-05,1.0372943417230679e-05,8.717098539667099e-05,1.0360811343991279e-05,7.790702610742383e-13,3.733319088194161e-08,5.641874548703114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.414826309507917e-06,2.8296525988051353e-06,9.432175228284476e-07,2.021068850424364e-14,-1.8864350658698324e-06,0.0,8.93544585179218e-17,-4.272732058960182e-22,-2.4993787496882566e-18,3.737994768614753e-21,-4.235164736271502e-22,-1.8422966602781032e-20,1.868435567634779e-20,9.15944371469358e-17,-1.7591158948676536e-22,-2.582800926162563e-19,-5.823189953659926e-22,1.675040740419881e-22,-1.086506011003369e-21,3.635487696034124e-22,-8.90873726514764e-17,1.8621812321469554e-06,1.414826309507917e-06,2.0497651163278826e-06,-2.829619735460188e-06,-2.6009502509422538e-06,7.404696619992129e-10,1.470683339238024e-06,9.416011266302973e-08,2.2741530521985338e-07,9.416011266302973e-08,9.42938241258834e-07,9.42938241258834e-07,-2.021068850424364e-14,1.8858765195727578e-06,-2.335378476637069e-15,1.8515116541569158e-17,-4.1006848839620425e-14,1.8858764622153856e-06,5.517676793147726e-12,1.1695463878720812e-11,2.568548075563175e-10,-1.0225004568473922e-12,-5.106679175383946e-18,1.8838940498374142e-06,1.1695463878720812e-11,2.568548075563175e-10,-9.213732165930547e-07,1.982412467058762e-09,-9.412351103613891e-07,-2.1844306235392886e-08,-2.184430623541157e-08,-6.273496901917127e-15,2.4272356931934886e-08,2.453517406515605e-18,-3.286334494738317e-11,2.4253833722877084e-08,1.926007577021547e-11,1.717757976168815e-11,1.494262719618246e-11,2.3291925327672426e-19,6.273497265465897e-15
0.02697302697302697,648,101325.0,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04999091610570043,0.0,0.0,0.8792950897984642,0.001090067315952707,0.0003633557680961812,7.774486577198965e-12,0.06926057100401216,0.0,0.004314432356391264,1.367127836772291e-10,0.910381155405561,3.0966526489072155e-08,4.3620188674023745e-09,1.4701631667964951e-08,8.681330803402685e-06,0.08510848851271322,2.3470099518673115e-05,1.0324697613849849e-05,8.679165650870167e-05,1.0338959796775403e-05,7.761453903202229e-13,3.7363126387804654e-08,5.622945030081481e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4088615384891569e-06,2.817723056813299e-06,9.392410088061416e-07,2.0183427675284695e-14,-1.8784820379117052e-06,0.0,1.6388786672052186e-15,-1.770733474328436e-21,-6.724347250223529e-17,4.614370350780569e-20,-1.857500901681318e-17,3.017554874593445e-20,3.1892775697594535e-20,1.7363972130805816e-15,1.3951764586247817e-20,4.8524841609192e-17,-3.76535846008406e-21,-2.1467818437588727e-20,2.2994857322476633e-20,2.9961379265833923e-21,-1.6690668039857149e-15,1.8543887717265353e-06,1.4088615384891569e-06,2.040570319557158e-06,-2.817690400121762e-06,-2.5902706641316923e-06,7.357401778058176e-10,1.4653792596697206e-06,9.345661047642136e-08,2.261734036427216e-07,9.345661047642136e-08,9.38963467780133e-07,9.38963467780133e-07,-2.0183427675284695e-14,1.8779269724193316e-06,-2.321597755913225e-15,1.840743393608816e-17,-4.079834915538705e-14,1.8779269136404153e-06,5.494418087899504e-12,1.1600990710664236e-11,2.552960650608406e-10,-9.660781355358653e-13,-5.077610052271463e-18,1.8759553204454036e-06,1.1600990710664236e-11,2.552960650608406e-10,-9.1744600537136e-07,1.971594864078477e-09,-9.372694139421252e-07,-2.1795003434781594e-08,-2.1795003434813486e-08,-6.247294043572934e-15,2.4111674862164668e-08,2.4380889526839123e-18,-3.2656691537251626e-11,2.4093266185169828e-08,1.9132555712674095e-11,1.7078877667468863e-11,1.4847690059777483e-11,2.31448471982954e-19,6.2472970397108605e-15
0.03596403596403596,648,101325.0,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04998866952636753,0.0,0.0,0.8791207552412632,0.0013596568358996937,0.00045321894044356517,9.711122132921153e-12,0.06907769944631476,0.0,0.004305765136362183,1.361768567726013e-10,0.910504930580958,3.0913182642957027e-08,5.252853048439043e-09,1.4685592865908377e-08,8.689318890733541e-06,0.0849940947891057,2.3382331815747903e-05,1.0276743411424211e-05,8.641446082842676e-05,1.0317180532966348e-05,7.73236141700609e-13,3.739309854500806e-08,5.604107641775457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4029290484186165e-06,2.8058580766838013e-06,9.352860154773968e-07,2.0156263623029724e-14,-1.870572051126885e-06,0.0,-2.3038329687489262e-15,-7.5493161720689925e-22,-9.44085034285498e-18,-1.883885756641776e-20,-2.8896528995580456e-18,3.3457801416544863e-20,-1.4071996580752107e-20,-2.2908292990903435e-15,-6.189986394190373e-21,6.284019940489755e-18,8.226036542027098e-21,-1.2105374674407284e-20,2.9214075190223938e-21,1.2074674651867166e-21,2.300340491434358e-15,1.8466380826000044e-06,1.4029290484186165e-06,2.031429003879718e-06,-2.8058256250964724e-06,-2.5796475353581683e-06,7.310473922318222e-10,1.4600984331835323e-06,9.275898113203742e-08,2.2493954476794105e-07,9.275898113203742e-08,9.350102017589881e-07,9.350102017589881e-07,-2.0156263623029724e-14,1.8700204401823398e-06,-2.3079199924676427e-15,1.8300527322196666e-17,-4.059116515370318e-14,1.8700203856525377e-06,5.47128523530995e-12,1.1507383176355734e-11,2.5374877725939085e-10,-9.10521510761058e-13,-5.048749591967024e-18,1.8680595320729936e-06,1.1507383176355734e-11,2.5374877725939085e-10,-9.135401403286982e-07,1.960851279203603e-09,-9.333251641982126e-07,-2.1745875148698647e-08,-2.1745875148684575e-08,-6.2212356043462474e-15,2.3952263508236553e-08,2.4227761611194243e-18,-3.2451587329108625e-11,2.3933968526880554e-08,1.900604427871465e-11,1.698083540490045e-11,1.4753469956712337e-11,2.2998871425477883e-19,6.2212368118137126e-15
0.044955044955044945,648,101325.0,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04998643259629883,0.0,0.0,0.8789471694669668,0.0016280884441406776,0.0005426961422241685,1.1644984785642725e-11,0.06889561333872461,0.0,0.0042971244976918125,1.35643729706021e-10,0.9106282701090638,3.086000100072759e-08,6.1362462685118085e-09,1.4669321578959755e-08,8.697147479690972e-06,0.08488010649642908,2.329496980080316e-05,1.0229078714947124e-05,8.603938412154e-05,1.0295473256254939e-05,7.703424135156303e-13,3.742310725340732e-08,5.585361835185216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3970286341367035e-06,2.79405724814425e-06,9.313524059890447e-07,2.012919590488671e-14,-1.8627048320964814e-06,0.0,1.4246977044042594e-16,-4.262138125081078e-22,1.106923168808714e-17,1.0109091042262087e-21,7.623296525288703e-21,-8.893845946170154e-21,1.0822831134643814e-20,1.3161557923439902e-16,3.103219766780968e-23,3.0895746470950814e-19,7.020921631242567e-22,-8.53236801848448e-22,3.988556625216518e-23,-1.5881125364020228e-22,-1.4273256820257588e-16,1.83892890278552e-06,1.3970286341367035e-06,2.0223408015291527e-06,-2.79402500012515e-06,-2.5690805130406525e-06,7.263909777762657e-10,1.454840750406953e-06,9.206717164168762e-08,2.2371367039110672e-07,9.206717164168762e-08,9.310783065371123e-07,9.310783065371123e-07,-2.012919590488671e-14,1.8621566495451376e-06,-2.2943442803472756e-15,1.8194390196063863e-17,-4.038528726959532e-14,1.8621565928134132e-06,5.448277435711465e-12,1.1414632535173267e-11,2.522128475098288e-10,-8.558186589909386e-13,-5.0200960342410395e-18,1.8602064118339053e-06,1.1414632535173267e-11,2.522128475098288e-10,-9.096554854068932e-07,1.950181122240468e-09,-9.294022248668062e-07,-2.169692058215152e-08,-2.1696920582162343e-08,-6.195315866764674e-15,2.3794111426232075e-08,2.4075780446234722e-18,-3.224801910040072e-11,2.377592931096137e-08,1.888053238326027e-11,1.6883448108985108e-11,1.4659960741766082e-11,2.2853988653972157e-19,6.19531570795342e-15
0.05394605394605394,648,101324.99999999997,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.049984205261903863,0.0,0.0,0.8787743283169523,0.0018953685715360877,0.0006317895170569343,1.357608520474422e-11,0.06871430831897471,0.0,0.004288510345389901,1.3511338499231368e-10,0.9107511759524365,3.08069809515116e-08,7.012259615514039e-09,1.4652821972856086e-08,8.704818129487513e-06,0.08476652178952111,2.320801138893428e-05,1.0181701446408458e-05,8.566641226122261e-05,1.0273837672163848e-05,7.674641048593628e-13,3.7453152416009426e-08,5.56670706583727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3911600919264896e-06,2.78232016369144e-06,9.274400445474444e-07,2.0102224082227385e-14,-1.8548801095228378e-06,0.0,-2.4079268613254904e-14,8.0653983505685e-20,3.148811749707489e-17,-2.705780715226e-19,5.862442082889101e-17,1.1964340379966992e-20,-1.0025429024142695e-21,-2.369417058288245e-14,5.708309429977942e-20,3.5615023256741254e-16,2.991404981244259e-21,2.973176634729975e-20,5.899910360673096e-21,8.51147900064689e-21,2.366361968935304e-14,1.8312609723089655e-06,1.3911600919264896e-06,2.0133053475512044e-06,-2.7822881177176872e-06,-2.5585692480267673e-06,7.217706101839438e-10,1.449606102433873e-06,9.138112952009546e-08,2.2249572275872876e-07,9.138112952009546e-08,9.271676464165796e-07,9.271676464165796e-07,-2.0102224082227385e-14,1.8543353291118718e-06,-2.280869722798735e-15,1.8089016115723717e-17,-4.0180706017997494e-14,1.8543352964250914e-06,5.425393895056083e-12,1.1322730141758656e-11,2.506881800752153e-10,-8.019578205184888e-13,-4.991647636041279e-18,1.8523956889529801e-06,1.1322730141758656e-11,2.506881800752153e-10,-9.057919056008589e-07,1.939583808491627e-09,-9.255004607389638e-07,-2.164813894658558e-08,-2.1648138946584578e-08,-6.169524348795491e-15,2.3637207285717605e-08,2.39249362529721e-18,-3.20459737531334e-11,2.361913721387231e-08,1.875601103140717e-11,1.6786710952597513e-11,1.45671563276127e-11,2.2710189615493367e-19,6.1695328602744914e-15
0.06293706293706292,648,101324.99999999997,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.049981987469945414,0.0,0.0,0.8786022276600126,0.0021615036065496048,0.0007205011944305905,1.5504434004884804e-11,0.0685337800535572,0.0,0.004279922584804466,1.3458580527116674e-10,0.9108736500651532,3.07541218871148e-08,7.880953644468222e-09,1.4636098157407396e-08,8.712332384462011e-06,0.0846533388312045,2.312145450640119e-05,1.0134609544749376e-05,8.529553122814096e-05,1.0252273487428809e-05,7.646011155762078e-13,3.74832339351905e-08,5.5481427928385665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3853232195281364e-06,2.770646418975904e-06,9.235487962996435e-07,2.0075347718323402e-14,-1.8470976125968034e-06,0.0,-6.441598345945166e-16,-3.252187392635138e-21,2.0478021476536447e-17,2.7950409481360464e-20,5.116502517889601e-18,-1.3552527156068805e-19,1.2729647882701053e-19,-7.170864464424659e-16,2.678523914546076e-21,-5.721601328355749e-17,5.886941021963329e-22,4.62807552723419e-22,-1.624620703314631e-20,8.3967301858127305e-22,6.964993011468731e-16,1.8236340315720082e-06,1.3853232195281364e-06,2.004322279820605e-06,-2.770614573537591e-06,-2.548113393624621e-06,7.171859684250059e-10,1.4443943808520665e-06,9.07008027818644e-08,2.21285644569061e-07,9.07008027818644e-08,9.232780866710075e-07,9.232780866710075e-07,-2.0075347718323402e-14,1.8465562094298045e-06,-2.2674954319499706e-15,1.7984398699741516e-17,-3.9977411989360945e-14,1.8465561539837694e-06,5.4026338249809164e-12,1.1231667445146892e-11,2.4917468011964526e-10,-7.489273982964008e-13,-4.963402670852949e-18,1.8446270945288638e-06,1.1231667445146892e-11,2.4917468011964526e-10,-9.01949266842565e-07,1.9290587584063003e-09,-9.21619737541229e-07,-2.159952945707845e-08,-2.1599529457205747e-08,-6.1438865673062344e-15,2.3481539869369544e-08,2.3775219344933913e-18,-3.1845438313227463e-11,2.3463581024795102e-08,1.8632471317825183e-11,1.669061914651016e-11,1.4475050684517971e-11,2.2567465128344126e-19,6.143887406979253e-15
0.07192807192807192,648,101325.0,2.771e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,648.0,1e-11,1e-22,IdealGasReactor,off,0.04997977916753696,0.0,0.0,0.8784308633921519,0.002426499895567825,0.0008088332898069408,1.7430041746300598e-11,0.06835402423750656,0.0,0.004271361121604983,1.3406097330538594e-10,0.9109956943892205,3.0701423201848385e-08,8.7423883823219e-09,1.4619154187916418e-08,8.719691774677762e-06,0.08454055579589369,2.3035297090421128e-05,1.008780096564079e-05,8.492672710895176e-05,1.023078041025049e-05,7.617533462688203e-13,3.7513351714300935e-08,5.529668479067207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3795178161171162e-06,2.759035612183209e-06,9.196785273724807e-07,2.0048566379201568e-14,-1.8393570747938722e-06,0.0,-6.194551201154095e-15,-3.284825343333477e-21,3.2457232070353065e-18,6.787235987841895e-21,2.3704217028911595e-18,2.4500427999330637e-19,-2.344593815444804e-19,-6.191540005644051e-15,5.4056188406855e-21,3.4801243188538966e-18,-2.1040574804443687e-20,2.3537424330196402e-20,2.2082178652351206e-20,-5.249191448181368e-22,6.188352573514238e-15,1.816047825149627e-06,1.3795178161171162e-06,1.9953912389955845e-06,-2.7590039657832802e-06,-2.5377126055575647e-06,7.126367346513119e-10,1.4392054777264464e-06,9.00261399353803e-08,2.2008337896579938e-07,9.00261399353803e-08,9.194094935279336e-07,9.194094935279336e-07,-2.0048566379201568e-14,1.8388190229539135e-06,-2.2542205287986517e-15,1.7880531626827764e-17,-3.977539585047136e-14,1.8388189731988192e-06,5.37999644270502e-12,1.1141435987516253e-11,2.47672253695959e-10,-6.967159550814004e-13,-4.9353594287049536e-18,1.836900361612812e-06,1.1141435987516253e-11,2.47672253695959e-10,-8.981274360390019e-07,1.9186053976546746e-09,-9.177599219748367e-07,-2.155109133347889e-08,-2.1551091333244432e-08,-6.1183790171326184e-15,2.3327098070763772e-08,2.362662012695685e-18,-3.164639992889925e-11,2.3309249644245193e-08,1.8509904425595594e-11,1.6595167938916232e-11,1.4383637839595715e-11,2.242580609629236e-19,6.1183784922134736e-15
