Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,498,101324.99999999999,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.534,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05111091723795848,0.0,0.0,0.0,-0.31820162055962015,0.0,-0.42091982006873374,0.0004963650331966603,0.10222183447591696,0.0,0.0,0.0,0.0,0.0,0.0004963650331966603,0.3177052555264235,0.0,0.0,0.0,0.0,0.0,0.3177052555264235,0.05111091723795848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004963650331966603,0.0,0.0,0.0,0.0,0.0
0.0,498,101324.99999975134,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340585076378934,0.0,0.0,0.399862180677807,4.733329361818491e-06,2.070419495234569e-12,3.9408358944997796e-24,0.06607457835286736,0.0,0.1884455889504033,1.5121565418439995e-08,0.7903601462826879,2.672127870955704e-08,3.408731782664675e-08,5.957776774690863e-11,1.7232404360724298e-11,8.735550134197362e-06,0.0012764985797515615,0.016522565476929152,0.003386246343994762,6.42860902150704e-08,1.7483753551473945e-13,4.3211067263578827e-17,7.85228620257241e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018144119505566479,4.65927485994271e-05,2.1023982851060584e-11,4.013147993408424e-23,0.0003705717377395482,0.0,-0.003211264167564361,-5.497236219727264e-10,0.0035818401080715567,-3.0352056058010173e-10,-5.515726378145015e-09,2.8975988628790756e-12,1.1309137525615122e-12,3.946543047947806e-07,-1.0979341843562374e-05,-0.00041146930588527417,5.147777561972951e-05,2.220575320289842e-09,2.6580266283297075e-15,2.882218085158609e-18,2.2093817920053497e-09,-0.00038743781451553577,0.0018144119505566479,6.481396601942758e-05,-4.6588866118705864e-05,-3.637005698496728e-05,1.5381004051912139e-07,8.759954665857355e-07,2.0471658050858847e-05,1.0057600394626616e-05,2.0471658050858847e-05,1.9843954246560824e-07,1.9843954246560824e-07,-4.013147993408424e-23,3.9687908203408857e-07,1.7196544019246798e-16,5.425285201469284e-19,-2.029389875098016e-20,2.22477747552699e-09,3.322272777033769e-14,1.245878820892638e-10,9.41486104200673e-10,-8.857201079775256e-11,-1.2700006903362329e-25,1.5395050067924064e-11,1.245878820892638e-10,9.41486104200673e-10,-2.101193188116339e-11,6.334537159978871e-16,-2.5051862012785174e-11,-1.2050969897195103e-14,-1.1429647224587074e-12,-6.370453058267377e-17,1.6870145736185523e-05,5.759338409950548e-18,-3.882480721233996e-09,1.6866076775987573e-05,7.2805874456018335e-09,8.659836915817887e-11,3.453142159580817e-11,2.6860693601791812e-20,6.658674866783238e-17
0.00899100899100899,498,101324.99999999997,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340583415184648,0.0,0.0,0.39986112314730243,6.599633842242231e-06,6.221040544664969e-07,3.917633547130115e-16,0.06607331359633573,0.0,0.00043594701832533507,4.016160620540497e-12,0.11134660517284917,5.67132668037871e-10,2.0238091130796932e-11,1.4614247632695787e-08,1.8253826871770368e-06,0.887356906973321,1.8051609397385903e-05,3.7973304612236135e-05,0.0007831897960821867,1.0332043427504223e-06,6.542378543571782e-14,2.668968046324881e-10,1.8452065785889864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.709888626856577e-09,1.941977724964727e-08,6.473259081160059e-09,4.076478990706217e-18,-1.2946518161821732e-08,0.0,-8.234249975050777e-17,2.4304780260200944e-24,-2.7254451902878386e-20,-3.101840167950703e-22,-1.0697099681535754e-20,9.007996870702471e-22,-8.14566108211594e-22,-8.692730359874293e-17,-1.669985909065842e-22,-4.602438518208084e-18,-1.5570230469221105e-22,5.321703629363983e-23,1.5339420934510069e-22,2.327462768261315e-24,8.695481472765e-17,1.2855014596747406e-08,9.709888626856577e-09,2.1035805485957934e-08,-1.941975536527009e-08,-1.6384438987644414e-08,7.50237292618964e-12,1.745151987606889e-09,4.093758771561842e-09,3.0185711986885178e-09,4.093758771561842e-09,6.465857710566265e-09,6.465857710566265e-09,-4.076478990706217e-18,1.2931715459763604e-08,-1.0737550590278141e-17,4.3085464679374305e-21,-3.001054684813503e-17,1.2931715503983199e-08,1.0824796336192838e-15,4.0747771759327247e-13,4.621402997965969e-12,-4.725425942384186e-12,-2.983695691468672e-21,1.2929323109538848e-08,4.0747771759327247e-13,4.621402997965969e-12,-5.1882800364152275e-09,2.392307489535844e-12,-6.47086677367061e-09,-1.2849790447448316e-09,-1.284979044744017e-09,-2.1155295126505474e-18,9.154222147261873e-11,3.246620406606076e-23,-2.1884377182060153e-14,9.150356507432637e-11,3.9230287037348575e-14,2.8329370861410238e-15,1.8475435839968492e-14,1.4013440056158003e-23,2.1155318401133156e-18
0.01798201798201798,498,101324.99999999999,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340581753994046,0.0,0.0,0.3998600656191435,8.465934183028037e-06,1.2442046586329117e-06,7.835255973574643e-16,0.06607204884260943,0.0,0.00043594724691064715,4.016097782398986e-12,0.11134837612342433,5.671329372491847e-10,2.219607794294539e-11,1.461486167778117e-08,1.825458532111681e-06,0.8873551501803632,1.805156667899913e-05,3.797259758994569e-05,0.0007831761088798463,1.0332035183521723e-06,6.542264373791451e-14,2.669003812261251e-10,1.8452038930068325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.709873129828358e-09,1.941974625554854e-08,6.473248749848503e-09,4.07646999610561e-18,-1.2946497509818604e-08,0.0,-1.2478672717200023e-14,6.158630202047147e-22,5.822583149904778e-20,-8.920888520665885e-22,2.616537713627737e-20,3.638337380702241e-19,-3.6464520225113864e-19,-1.2472227925185213e-14,2.246770426320329e-21,6.104645753546553e-18,-9.241246811929782e-21,7.84231036392059e-22,-2.484593441672046e-21,-1.0657069742351835e-22,1.247217883514202e-14,1.2854995600549562e-08,9.709873129828358e-09,2.1035747855574165e-08,-1.9419724371555425e-08,-1.638441399807964e-08,7.502236247599037e-12,1.745175614211044e-09,4.093739399213445e-09,3.018565488395588e-09,4.093739399213445e-09,6.465847548867264e-09,6.465847548867264e-09,-4.07646999610561e-18,1.2931695136367889e-08,-1.0737328699974275e-17,4.308469254001767e-21,-3.0010416417709387e-17,1.2931707565888573e-08,1.0824779323874047e-15,4.074696321794132e-13,4.621324427210699e-12,-4.72526026408843e-12,-2.983637640853141e-21,1.2929302791610759e-08,4.074696321794132e-13,4.621324427210699e-12,-5.188272295268984e-09,2.392302098978471e-12,-6.470856447748713e-09,-1.2849764545795187e-09,-1.2849764542148735e-09,-2.11563611555199e-18,9.15405650224193e-11,3.246563427786295e-23,-2.1883993112814712e-14,9.150190926904157e-11,3.9229577080255245e-14,2.832931867746316e-15,1.8475122647311843e-14,1.401320932208919e-23,2.1155295448545666e-18
0.02697302697302697,498,101324.99999999996,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340580092807129,0.0,0.0,0.3998590080933306,1.0332230383927757e-05,1.866303882838232e-06,1.1752867318529e-15,0.06607078409168865,0.0,0.0004359474754857746,4.0160349441526625e-12,0.11135014713144273,5.671332064695003e-10,2.4154062464433933e-11,1.461547572135026e-08,1.8255343768185878e-06,0.8873533933299804,1.8051523959347894e-05,3.797189056762326e-05,0.0007831624216725546,1.0332026939050655e-06,6.542150203951972e-14,2.6690395792575775e-10,1.8452012072585572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.709857632354931e-09,1.941971526083127e-08,6.473238417931086e-09,4.0764610012428446e-18,-1.2946476839596802e-08,0.0,9.551043618255828e-16,-1.111346492733529e-23,-4.762450358160699e-19,-1.8139150207821704e-22,-2.035956185289018e-19,-1.2533440641403475e-20,1.2651934264151697e-20,9.545520165727427e-16,-1.0129284084816589e-22,-8.203310212930727e-19,-3.5305681953641015e-21,-2.6107766914669894e-22,-2.3843365890858298e-23,3.733902665856207e-24,-9.540698430259168e-16,1.2854976586137122e-08,9.709857632354931e-09,2.1035690223552434e-08,-1.9419693377222225e-08,-1.6384389007800093e-08,7.502099568991857e-12,1.7451992414619047e-09,4.093720026337333e-09,3.0185597779323572e-09,4.093720026337333e-09,6.465837386868541e-09,6.465837386868541e-09,-4.0764610012428446e-18,1.2931674812367632e-08,-1.073710680976238e-17,4.3083920400450456e-21,-3.0010285983520744e-17,1.2931673815108624e-08,1.0824762311053476e-15,4.074615467681406e-13,4.621245856422895e-12,-4.725094588630916e-12,-2.9835795902321366e-21,1.2929282472470369e-08,4.074615467681406e-13,4.621245856422895e-12,-5.188264553611722e-09,2.392296708098162e-12,-6.470846121223106e-09,-1.2849738643193643e-09,-1.2849738643320162e-09,-2.1155235155911064e-18,9.153890856938098e-11,3.246506448886032e-23,-2.1883609043026746e-14,9.150025345967983e-11,3.9228867121419264e-14,2.8329266490799636e-15,1.8474809453768208e-14,1.4012978587108067e-23,2.1155272494937722e-18
0.03596403596403596,498,101324.99999999997,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340578431623897,0.0,0.0,0.39985795056986345,1.2198522444725307e-05,2.488401727006627e-06,1.5670467581775995e-15,0.06606951934357355,0.0,0.0004359477039994102,4.015972105326819e-12,0.11135191818377897,5.671334756321185e-10,2.611204468975111e-11,1.4616089761561033e-08,1.8256102212843552e-06,0.8873516364354493,1.8051481236299847e-05,3.797118354079138e-05,0.0007831487343687383,1.033201869355978e-06,6.542036033620988e-14,2.6690753473547937e-10,1.845198521154254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.709842132150828e-09,1.9419684260194366e-08,6.47322808474473e-09,4.07645200617893e-18,-1.294645618141114e-08,0.0,-5.07164367575048e-16,1.6003119325381386e-23,8.163813489539925e-20,-1.5877755916765913e-22,3.1862997195542626e-20,-1.641126335305207e-21,1.8462671272183578e-21,-4.992901484992784e-16,-8.476039965638417e-23,7.926893929130669e-18,5.630819532381306e-22,-4.360065777592741e-23,1.6569044310050582e-23,-1.0436043384331959e-24,4.992076191923186e-16,1.2854957583786431e-08,9.709842132150828e-09,2.103563258493221e-08,-1.94196623769694e-08,-1.6384364012952017e-08,7.501962888601245e-12,1.7452228689475986e-09,4.093700651966391e-09,3.0185540665872677e-09,4.093700651966391e-09,6.465827223051763e-09,6.465827223051763e-09,-4.07645200617893e-18,1.2931654484733686e-08,-1.0736884918611102e-17,4.308314825275872e-21,-3.0010155542473356e-17,1.2931654941317205e-08,1.0824745295189216e-15,4.0745346126368464e-13,4.6211672845187456e-12,-4.724928914905669e-12,-2.9835215393014673e-21,1.292926215079306e-08,4.0745346126368464e-13,4.6211672845187456e-12,-5.188256810789755e-09,2.392291316525715e-12,-6.470835793428409e-09,-1.2849712739549747e-09,-1.284971273956821e-09,-2.115525997132944e-18,9.153725209006685e-11,3.246449469139758e-23,-2.1883224967536052e-14,9.149859762470782e-11,3.922815715159934e-14,2.832921429473932e-15,1.8474496255003226e-14,1.4012747847895467e-23,2.1155249535286056e-18
0.044955044955044945,498,101324.99999999996,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340576770444351,0.0,0.0,0.3998568930487425,1.4064810365183148e-05,3.110498191059132e-06,1.9588056763101263e-15,0.06606825459826426,0.0,0.0004359479325047973,4.015909266415736e-12,0.11135368929392106,5.671337448060826e-10,2.807002462335856e-11,1.4616703800325725e-08,1.8256860655244492e-06,0.8873498794831243,1.8051438512054045e-05,3.7970476514096306e-05,0.0007831350470644721,1.0332010447599896e-06,6.541921863256989e-14,2.66911111650863e-10,1.845195834891047e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.70982663158776e-09,1.9419653259098716e-08,6.473217750979138e-09,4.076443010851159e-18,-1.2946435506118925e-08,0.0,1.6945424151649166e-17,1.1919862798288466e-24,-3.087876350944054e-20,-1.269560072311222e-23,0.0,-1.1911400820763599e-22,1.1683926152311516e-22,1.702987037414985e-17,-5.545195575763876e-24,5.318833849947364e-20,-2.2563125513331853e-22,1.9387045606711586e-26,7.297220030422468e-25,-3.09288317627733e-26,-1.6998625322069357e-17,1.285493856433245e-08,9.70982663158776e-09,2.1035574944834667e-08,-1.9419631376257825e-08,-1.6384339017524475e-08,7.501826208258412e-12,1.7452464970920963e-09,4.093681277097989e-09,3.018548355095499e-09,4.093681277097989e-09,6.465817058993117e-09,6.465817058993117e-09,-4.076443010851159e-18,1.293163415661606e-08,-1.0736663027591774e-17,4.308237610520659e-21,-3.001002509776139e-17,1.2931634096879918e-08,1.0824728278920032e-15,4.07445375765667e-13,4.621088712627722e-12,-4.7247632440731096e-12,-2.9834634883812477e-21,1.29292418279539e-08,4.07445375765667e-13,4.621088712627722e-12,-5.188249067481909e-09,2.392285924644216e-12,-6.470825465054491e-09,-1.2849686834972291e-09,-1.284968683497346e-09,-2.115522688410494e-18,9.153559560753086e-11,3.2463924893422467e-23,-2.188284089169997e-14,9.149694178647401e-11,3.922744718038594e-14,2.8329162096193002e-15,1.8474183055539572e-14,1.4012517107925563e-23,2.115522657481662e-18
0.05394605394605394,498,101324.99999999999,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.534057510926849,0.0,0.0,0.39985583552996784,1.593109414501158e-05,3.732593274909168e-06,2.350563486229733e-15,0.066066989855761,0.0,0.00043594816097292457,4.015846427149539e-12,0.1113554604545632,5.671340139538182e-10,3.002800226175289e-11,1.4617317836601033e-08,1.8257619095299135e-06,0.8873481224803973,1.80513957854156e-05,3.796976948500491e-05,0.000783121359707115,1.0332002200871039e-06,6.541807692607422e-14,2.669146886743846e-10,1.845193148361493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.70981112937343e-09,1.9419622254672112e-08,6.473207416257884e-09,4.076434015293495e-18,-1.2946414836449124e-08,0.0,-7.932956987536365e-17,1.8442971109962126e-25,1.4313771223760065e-19,-4.32144280532693e-24,0.0,-1.8115255414911306e-22,1.8115255414911306e-22,-7.947451164177067e-17,3.150576901301467e-23,6.872849536324452e-22,1.0299718643015119e-21,-2.2149699605667987e-24,-5.188919331858591e-24,2.5759677777310746e-25,7.932969429132494e-17,1.2854919550516321e-08,9.70981112937343e-09,2.1035517300475858e-08,-1.94196003722153e-08,-1.6384314019346465e-08,7.501689526965892e-12,1.7452701256653615e-09,4.093661901190196e-09,3.018542643057264e-09,4.093661901190196e-09,6.465806893833605e-09,6.465806893833605e-09,-4.076434015293495e-18,1.2931613826296693e-08,-1.0736441136119879e-17,4.308160395327669e-21,-3.0009894647648467e-17,1.2931613863065294e-08,1.082471126080784e-15,4.0743729021973267e-13,4.621010140133055e-12,-4.724597575497444e-12,-2.9834054372958047e-21,1.2929221503203355e-08,4.0743729021973267e-13,4.621010140133055e-12,-5.188241323318026e-09,2.3922805322449182e-12,-6.470815135725639e-09,-1.2849660929398575e-09,-1.2849660929400387e-09,-2.1155201034710796e-18,9.153393910953611e-11,3.246335509060269e-23,-2.188245681259822e-14,9.149528593280239e-11,3.922673720255194e-14,2.8329109891400323e-15,1.8473869852906108e-14,1.4012286365297426e-23,2.1155203610678574e-18
0.06293706293706292,498,101324.99999999996,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340573448096314,0.0,0.0,0.3998547780135394,1.77973737840523e-05,4.354686978489331e-06,2.7423201879139314e-15,0.06606572511606386,0.0,0.00043594838942839786,4.0157835877567626e-12,0.11135723167191612,5.671342831072005e-10,3.1985977606891664e-11,1.461793187127033e-08,1.8258377533081887e-06,0.8873463654209842,1.8051353057397994e-05,3.796906245566312e-05,0.0007831076723412586,1.0331993953627448e-06,6.541693521885936e-14,2.6691826580397636e-10,1.8451904616566754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.7097956266039e-09,1.9419591249217068e-08,6.47319708089978e-09,4.076425019477065e-18,-1.2946394163630027e-08,0.0,-2.5765790811655743e-16,1.1519958846482802e-23,-2.0830085765768228e-19,-2.7935842667521615e-22,-8.802525206544299e-20,-5.955700410381799e-22,6.154223757394526e-22,-2.5999026276086374e-16,-7.838404997568767e-23,-2.455448014921142e-18,-1.3364889975952158e-21,-4.721391840087828e-23,1.063483251425302e-22,-5.037471826173815e-24,2.6020107717732825e-16,1.2854900533556006e-08,9.7097956266039e-09,2.1035459654217147e-08,-1.9419569367144336e-08,-1.6384289020259604e-08,7.50155284556927e-12,1.7452937548627014e-09,4.093642524702679e-09,3.0185369308116817e-09,4.093642524702679e-09,6.46579672830183e-09,6.46579672830183e-09,-4.076425019477065e-18,1.2931593495232681e-08,-1.0736219244690336e-17,4.308083180079735e-21,-3.000976419360691e-17,1.2931593712517397e-08,1.0824694242072422e-15,4.0742920467195846e-13,4.620931567557582e-12,-4.724431909717269e-12,-2.9833473861938913e-21,1.2929201177176815e-08,4.0742920467195846e-13,4.620931567557582e-12,-5.188233578611685e-09,2.3922751395047728e-12,-6.470804805760295e-09,-1.2849635022880953e-09,-1.2849635022887107e-09,-2.1155231020008e-18,9.153228260641697e-11,3.2462785286610216e-23,-2.1882072732705977e-14,9.14936300740215e-11,3.922602722252828e-14,2.8329057683550685e-15,1.8473556649197493e-14,1.4012055621622385e-23,2.115518064528974e-18
0.07192807192807192,498,101324.99999999999,2.771e-08,0.066,0.39999999999999997,0.534,0.165,498.0,1e-11,1e-22,IdealGasReactor,off,0.5340571786927826,0.0,0.0,0.3998537204994576,1.9663649282038756e-05,4.9767793017164185e-06,3.1340757813416676e-15,0.06606446037917305,0.0,0.00043594861784090075,4.015720747955851e-12,0.1113590029383355,5.671345522269538e-10,3.39439506548871e-11,1.4618545903245219e-08,1.8259135968496392e-06,0.8873446083123451,1.805131032675228e-05,3.796835542342621e-05,0.0007830939849119632,1.033198570555422e-06,6.541579350828532e-14,2.6692184304211265e-10,1.8451878021597502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.709780121934145e-09,1.941956023982743e-08,6.473186744513801e-09,4.076416023437277e-18,-1.2946373503424105e-08,0.0,3.140963507825283e-09,-1.2222139863532127e-23,1.9395621149001087e-16,1.3317747101253697e-22,-3.666726219325061e-20,3.3168288202151304e-20,2.5075980269545034e-21,3.14096351810732e-09,-9.351014189450803e-23,1.023052833824801e-17,-6.84939430347508e-22,1.9397422418222922e-16,-3.0274493241196797e-23,7.305785334219938e-25,-3.140963712062523e-09,1.2854881529226645e-08,9.709780121934145e-09,2.10354020031605e-08,-1.941953835813878e-08,-1.638426401800368e-08,7.501416163030709e-12,1.7453173844445112e-09,4.093623147071256e-09,3.018531217942543e-09,4.093623147071256e-09,6.465786561503746e-09,6.465786561503746e-09,-4.076416023437277e-18,1.2931573161636299e-08,-1.073599735269556e-17,4.308005964307052e-21,-3.000963373382943e-17,9.790609600823785e-09,1.0824677221217016e-15,4.074211190658003e-13,4.62085299425968e-12,-4.7242662460716796e-12,-2.9832893348929604e-21,1.2929181043104454e-08,4.074211190658003e-13,4.62085299425968e-12,-5.18822583297824e-09,2.3922697818542223e-12,-6.4707944747676226e-09,-1.2849609115355605e-09,-1.2849609115380681e-09,-2.1155150369898277e-18,9.153062608554281e-11,3.246221547693902e-23,-2.1881688648985857e-14,9.149197419745866e-11,3.922531723487692e-14,2.8329005468729793e-15,1.8473243441843346e-14,1.4011824874923206e-23,2.115515767568361e-18
