Distance (mm),T (C),P (atm),He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),HNX(49),NX(59),NOX2(76),gas_heat,surface_heat,alpha
0.0,415.0,1.0000000000000002,0.10799999999999998,0.0,0.0,0.8799999999999998,0.0009999999999999998,0.0,0.0,0.011,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-308861047812.9754,1.0000000000032376
0.008181818181818182,415.0,1.0000000000000004,0.10799999999838798,0.0,0.0,0.8799999999122344,0.001000000089541859,1.0969980031945888e-17,5.970450147652444e-11,0.010999999940131289,0.0,3.830886708157988e-06,2.4446292947873447e-16,0.9999780755471217,7.788456533215402e-11,2.4310769389433506e-12,4.242347617911238e-23,5.435910142109785e-20,1.8058810338035977e-05,3.4643533033708784e-08,4.896413482160172e-13,2.7020428527108318e-14,4.967453737482655e-12,2.6502432852384907e-11,1,-2.7948342386015037,1.5571545151596722
0.016363636363636365,415.0,1.0000000000000002,0.10799999999677592,0.0,0.0,0.8799999998244685,0.0010000001790837168,2.194063455464974e-17,1.1940900225984714e-10,0.010999999880262573,0.0,3.8308866883634974e-06,2.4446293688886585e-16,0.9999780749918664,7.788456812746035e-11,2.4310771440517217e-12,4.242608800101851e-23,5.43647589528721e-20,1.805936561366231e-05,3.46435328309578e-08,4.896413430210934e-13,2.7020428243063248e-14,4.967606453884832e-12,2.6503247613503946e-11,1,-2.794834086190967,1.5571545624711307
0.024545454545454547,415.0,1.0000000000000002,0.10799999999516395,0.0,0.0,0.8799999997367032,0.001000000268625574,3.2911963597194036e-17,1.7911350236774613e-10,0.010999999820393866,0.0,3.8308866671854384e-06,2.444629441656693e-16,0.9999780744366354,7.788457090867522e-11,2.4310773482819126e-12,4.2428699764350023e-23,5.437041655166767e-20,1.8059920866050678e-05,3.464353262149095e-08,4.896413376492318e-13,2.702042794916421e-14,4.96775916211316e-12,2.6504062331011875e-11,1,-2.7948340897727997,1.557154561359254
0.03272727272727273,415.0,1.0000000000000002,0.10799999999355192,0.0,0.0,0.8799999996489375,0.00100000035816743,4.3883967180061693e-17,2.388180017997302e-10,0.010999999760525155,0.0,3.83088664645249e-06,2.4446295148535507e-16,0.9999780738813966,7.788457369442795e-11,2.4310775527946745e-12,4.2431311652502425e-23,5.437607445248313e-20,1.8060476125891568e-05,3.4643532414189826e-08,4.896413323344238e-13,2.702042765844119e-14,4.967911872960574e-12,2.650487706249306e-11,1,-2.794834019834518,1.5571545830695805
0.040909090909090916,415.0,1.0000000000000002,0.10799999999193988,0.0,0.0,0.8799999995611717,0.0010000004477092846,5.4856645323622624e-17,2.98522500555068e-10,0.010999999700656444,0.0,3.830886626198294e-06,2.444629588512209e-16,0.9999780733261489,7.788457648504841e-11,2.4310777576112266e-12,4.243392366964084e-23,5.438173266062002e-20,1.8061031393774728e-05,3.464353220920668e-08,4.896413270807325e-13,2.7020427371123362e-14,4.968064586642878e-12,2.6505691809097664e-11,1,-2.7948339884024604,1.5571545928267585
0.049090909090909095,415.0,0.9999999999999999,0.1079999999903279,0.0,0.0,0.8799999994734063,0.0010000005372511388,6.582999804983057e-17,3.5822699863639383e-10,0.010999999640787742,0.0,3.8308866056703356e-06,2.444629661906875e-16,0.9999780727709062,7.788457927288303e-11,2.4310779622540477e-12,4.2436535739397586e-23,5.438739107826125e-20,1.8061586657044394e-05,3.464353200289597e-08,4.896413217920469e-13,2.702042708185631e-14,4.96821729869964e-12,2.6506506547028873e-11,1,-2.794833956862402,1.557154602617463
0.05727272727272728,415.0,1.0000000000000004,0.10799999998871587,0.0,0.0,0.8799999993856404,0.0010000006267929912,7.680402537551084e-17,4.1793149603544537e-10,0.010999999580919033,0.0,3.830886584628587e-06,2.4446297348061587e-16,0.9999780722156729,7.788458205548873e-11,2.431078166570824e-12,4.24391478374935e-23,5.439304967430711e-20,1.8062141911667185e-05,3.46435317940931e-08,4.896413164376771e-13,2.702042678893056e-14,4.9683700077100634e-12,2.6507321268706512e-11,1,-2.7948339251681635,1.5571546124560283
0.06545454545454546,415.0,1.0000000000000004,0.10799999998710388,0.0,0.0,0.879999999297875,0.0010000007163348435,8.777872733247309e-17,4.776359927757959e-10,0.01099999952105033,0.0,3.830886564741279e-06,2.444629808818509e-16,0.9999780716604184,7.788458484984277e-11,2.431078371620182e-12,4.2441760132671526e-23,5.439870866493918e-20,1.8062697185679062e-05,3.4643531590889756e-08,4.896413112308913e-13,2.702042650422547e-14,4.968522723549657e-12,2.6508136026817904e-11,1,-2.7948338939217883,1.5571546221555677
0.07363636363636364,415.0,1.0000000000000002,0.10799999998549188,0.0,0.0,0.8799999992101096,0.0010000008058766946,9.875410392099602e-17,5.373404888140308e-10,0.010999999461181627,0.0,3.830886545239066e-06,2.4446298832022763e-16,0.9999780711051575,7.78845876481164e-11,2.4310785769139656e-12,4.244437254711799e-23,5.440436795047001e-20,1.8063252466149572e-05,3.46435313895527e-08,4.896413060733148e-13,2.7020426222261147e-14,4.968675441664128e-12,2.6508950797065234e-11,1,-2.794833865663766,1.5571546309274589
