,Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(N),NH2_X(8),NH_X(9),H2O_X(11),X(H),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(N) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],X(H) ROP [kmol/m^2 s],NX + OX <=> NOX + X(N) ROP [kmol/m^2 s],O2(2) + 2 X(H) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(N) ROP [kmol/m^2 s],NOX <=> NO(5) + X(N) ROP [kmol/m^2 s],NH3(6) + X(N) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(N) ROP [kmol/m^2 s],N2O(7) + X(H) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(H) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX Coverage,OHX Coverage,X(H) Coverage,NOX Coverage,NX Coverage,NH3X Coverage,X(N) Coverage
2000,9.0,750,101325.0,5.8333000000000004e-08,0.02,0.88,0.1,0.022727272727272728,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.09950248817255347,0.0,0.0,0.8606965517907065,0.02985068813494065,0.009950232936274356,1.114968307816687e-10,3.885166856999487e-08,2.359451620959433e-12,1.3219480377301285e-05,0.1881665794436516,4.708442445769603e-06,1.7170126097880787e-10,2.197629878392464e-10,0.8118142721857451,4.346540214548114e-19,7.592532607978208e-14,1.7356616720077723e-11,1.2200388834732234e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.523824132579322e-14,3.0476482834773716e-14,1.0174665349939458e-14,-2.907238624964073e-17,-2.0317657518332955e-14,-1.232763041244036e-18,-1.0075092113000669e-19,3.0405724340511904e-17,-3.6818331445271256e-20,3.345575033667572e-26,2.3000388651849835e-21,-3.027063077282601e-17,-2.8398992587956425e-29,-1.02392571426116e-28,-7.349236452317923e-24,1.8296193600842588e-22,-3.0405899986665474e-17,1.523824132579322e-14,1.0174665349714114e-14,-2.907238624964073e-17,2.0317657518332955e-14,-1.2327628158947326e-18,2.253493034695303e-25,2.031765521829409e-14,2.0317655218294118e-14,2.031765504799491e-14,1.702993094147057e-22,-3.0476482657125175e-14,3.0476482834773716e-14,99.99980574165716,100.15522312222546,-0.14308830960939725,-0.012134812616059584,0.9999935153060886,9.124901353702058e-10,6.483781421237212e-06,1.6283513233344156e-05,5.799772962769101e-06,2.707000138087245e-10,0.9999779164431039
2000,9.0,750,101325.0,5.8333000000000004e-08,0.03,0.88,0.09,0.03409090909090909,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.08933004338041661,0.0,0.0,0.8511174360194494,0.04466375391902461,0.014887921166137566,3.3772346770680057e-10,8.451483968827627e-07,2.8851634450214968e-11,4.20143574198984e-05,0.14812848928631406,1.9945692955683967e-05,2.7392549061750333e-10,5.016057267805699e-09,0.8518071899737127,9.920666249715372e-18,7.252369013578778e-13,5.013693384361418e-11,2.3553487526934366e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.738034320863608e-13,5.476068649067581e-13,1.8258467652491144e-13,-7.278126091148236e-17,-3.650712337244049e-13,-1.2456366285722072e-17,-2.728429222387693e-19,8.550977627769999e-17,-1.4296907817293679e-19,1.0894014733303232e-25,-9.519934478654663e-21,-8.508511425828306e-17,6.563322731438817e-28,-9.197777716666672e-28,-4.030374930663189e-23,7.101104230439617e-22,-8.551044619342586e-17,2.738034320863608e-13,1.8258467650098545e-13,-7.278126091148236e-17,3.650712337244049e-13,-1.2456342359704714e-17,2.3926017359060476e-23,3.6507124324433934e-13,3.650712432443387e-13,3.6507123507537983e-13,8.168959778106402e-21,-5.476068566974945e-13,5.476068649067581e-13,99.99718283867706,100.02676022393396,-0.01993615749291849,-0.006824066441048898,0.9999840976895822,1.8492130439531081e-09,1.5900461204690365e-05,4.932020037504282e-05,2.341403352577544e-05,5.888295447872285e-09,0.9999272598778037
2000,9.0,750,101325.00000000004,5.8333000000000004e-08,0.04,0.8800000000000001,0.07999999999999999,0.045454545454545456,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.07920805489719389,0.0,0.0,0.8415906728386044,0.0593958618932531,0.019798623369597642,6.995714443182187e-10,6.7861492377207335e-06,1.5254160341835019e-10,8.952196784859009e-05,0.12365404246430292,5.236876791100337e-05,4.937880421173418e-10,4.142990996887432e-08,0.8761982049767594,8.194605406059771e-17,4.416684457486165e-12,1.6474787470022648e-10,5.819730315425611e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8878179719927344e-12,3.7756359481105466e-12,1.2586669195343827e-12,-1.2940389969491138e-16,-2.5170924406478588e-12,-5.652933694361479e-17,-4.1315478523317535e-19,1.8634223656516014e-16,-3.3124702816722497e-19,6.613047503449033e-25,1.808554547837736e-18,-1.8741021985719683e-16,4.0389678347315804e-28,-5.965100815468377e-26,2.9118534707713856e-23,3.800836753544342e-21,-1.863460671820313e-16,1.8878179719927344e-12,1.2586669192101412e-12,-1.2940389969491138e-16,2.5170924406478588e-12,-5.65290127018868e-17,3.242417280020323e-22,2.517090632093311e-12,2.5170906320933105e-12,2.517090489013213e-12,1.4308015713476662e-19,-3.775635805059508e-12,3.7756359481105466e-12,99.98303462690569,100.009632648852,-0.005141009218151402,-0.004491639633863961,0.9999529336037019,3.993114915237865e-09,4.706240318323784e-05,0.00010215436227821704,5.975849523652713e-05,4.7276061215190966e-08,0.9998380398664239
2000,9.0,750,101325.0,5.8333000000000004e-08,0.05,0.88,0.06999999999999999,0.05681818181818182,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.06913634925039261,0.0,0.0,0.8321290833854152,0.07402718562777535,0.02467573057057973,1.1755164472506785e-09,3.16494812069454e-05,5.091137918218035e-10,0.00015332931419301664,0.10662619790019408,0.00010602572635237246,8.071992896860093e-10,1.9695006191375774e-07,0.8931024769420115,3.896088557263424e-16,1.7842043714308412e-11,4.153513647122623e-10,1.1771926793838075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.738518993475477e-12,1.5477038007083345e-11,5.159274378336672e-12,-1.9093366545317087e-16,-1.0318027844884864e-11,-1.6570531522279714e-16,-4.0184494358641656e-19,3.5702127579873286e-16,-6.728659521593979e-19,2.1918963096827838e-24,2.507218530383513e-18,-3.584711379075925e-16,-1.40556080648659e-25,-7.638802630247177e-26,-5.847617631124382e-22,1.7937262949196087e-20,-3.5703863049065514e-16,7.738518993475477e-12,5.159274376141543e-12,-1.9093366545317087e-16,1.0318027844884864e-11,-1.6570312009389786e-16,2.1951288992766617e-21,1.0318025337666334e-11,1.0318025337666474e-11,1.0318024098907672e-11,1.2387588783775326e-18,-1.5477036767739704e-11,1.5477038007083345e-11,99.93670103758612,100.00506244387272,-0.0018504863025367714,-0.0032119575701806302,0.9998896009186679,7.569529735848406e-09,0.00011039151180230821,0.00017163177886149152,0.00011868170228709078,2.2045940563320333e-07,0.9997094660594458
2000,9.0,750,101325.00000000004,5.8333000000000004e-08,0.06,0.88,0.06,0.06818181818181818,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.059114850669459776,0.0,0.0,0.82276035445896,0.08851491052529377,0.02950497106567187,1.7324411183465027e-09,0.00010491027507533982,1.2730978587877466e-09,0.00022914782100458915,0.09391393457024212,0.0001824300770077863,1.2170122064532225e-09,6.620157503363057e-07,0.9056534752690464,1.3098657571548585e-15,5.447305202632939e-11,8.584906509818429e-10,2.034811697131324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.291058432073953e-11,4.582116864959187e-11,1.5274218430832248e-11,-2.5095223633879345e-16,-3.054744944410576e-11,-3.696998569027927e-16,3.447493460558596e-19,6.202377852963171e-16,-1.0471064412362675e-18,5.204581028447901e-24,3.63674936840955e-18,-6.232322432913422e-16,-1.0985992510469899e-25,-7.537043213481262e-25,6.144060421852633e-20,-1.3792073491585336e-21,-6.202978518889147e-16,2.291058432073953e-11,1.527421842134024e-11,-2.5095223633879345e-16,3.054744944410576e-11,-3.69690364896177e-16,9.49200661561302e-21,3.0547445807356395e-11,3.05474458073565e-11,3.0547439057968735e-11,6.7493885098538394e-18,-4.582116196164396e-11,4.582116864959187e-11,99.82514954154111,100.00324201222459,-0.0008215162477131714,-0.0024204959768746957,0.9997833662733377,1.2955995999225103e-08,0.000216620770666224,0.0002529041957606308,0.0002013430968094615,7.306487148150578e-07,0.9995450220587151
2000,9.0,750,101325.0,5.8333000000000004e-08,0.066,0.88,0.053999999999999986,0.075,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.05312600949634545,0.0,0.0,0.8172021753430514,0.0971100326983767,0.03237001085434179,2.0808290679353828e-09,0.00019176753968404064,1.9873715157602995e-09,0.00027717375096187,0.0874022138614709,0.00023878049706108545,1.5070048828046474e-09,1.218663597539985e-06,0.9120538915662466,2.4116229558679862e-15,9.640881402243031e-11,1.23676621195705e-09,2.671882047959144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.925039933129558e-11,7.850079879478784e-11,2.6167595535597317e-11,-2.6862075135719957e-16,-5.2334295425927886e-11,-5.285807835399857e-16,-3.7081532096254997e-19,7.974430977916093e-16,9.431652244433458e-19,1.0616153308220995e-23,4.295647026870344e-16,-1.2276899439728367e-15,-5.169878828456423e-26,-8.545153424166914e-25,-2.954895943192553e-21,1.1273877213032495e-19,-7.975528922918973e-16,3.925039933129558e-11,2.6167595516139392e-11,-2.6862075135719957e-16,5.2334295425927886e-11,-5.285613256137351e-16,1.94579262504704e-20,5.2333865861225186e-11,5.233386586122525e-11,5.233384998092532e-11,1.588030077869291e-17,-7.850078291153217e-11,7.850079879478784e-11,99.70944312169084,100.00253331625922,-0.0005132828425235698,-0.0020200334166883636,0.9996943766073285,1.7236912433904776e-08,0.0003056061557589792,0.0003037284018209109,0.00026165687950856204,1.3354177498902516e-06,0.9994332793009206
1721,7.744499999999999,750,101325.00000000004,5.8333000000000004e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.04914906596776369,0.0,0.0,0.8139675329648296,0.10211205593036776,0.034037346573208976,3.645017693091408e-09,0.0007339883544041416,6.564408133492433e-09,0.0004883422819969807,0.08166510034755807,0.0004528621151962242,2.5514858860373122e-09,4.691448002646444e-06,0.9173382312763058,9.288380698875178e-15,3.431310352578732e-10,2.471286483625069e-09,5.0767165027744396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4118261271475527e-10,2.823652261297416e-10,9.412350621263505e-11,-4.0172650804564144e-16,-1.882467797094389e-10,-1.5664937721122075e-15,1.5067525670118525e-18,1.9660371592383173e-15,4.852607465114198e-18,2.680761015950035e-23,3.2956388624469474e-15,-5.268589624360997e-15,-2.584939414228211e-25,-1.1097355141643332e-24,-2.3889493078414282e-20,5.78106707343537e-19,-1.9665914032325544e-15,1.4118261271475527e-10,9.412350609051069e-11,-4.0172650804564144e-16,1.882467797094389e-10,-1.5663716477539252e-15,1.2212435828255522e-19,1.8824348407057648e-10,1.8824348407057674e-10,1.8824337337452124e-10,1.1069605661102261e-16,-2.8236511540979554e-10,2.823652261297416e-10,98.9514452079941,100.00187773520508,-0.00021340792941677665,-0.0016643272756736332,0.9993787043266648,3.122387222991991e-08,0.0006212644494629859,0.0005317986749131364,0.0004931612142919076,5.108928559347406e-06,0.9989699311822355
1721,7.744499999999999,750,101325.00000000004,5.8333000000000004e-08,0.08,0.88,0.04,0.09090909090909093,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.03923003499838544,0.0,0.0,0.8053134094561957,0.1154947208016767,0.038498231029583635,4.228823498379267e-09,0.0014635894131129795,1.0072222047722449e-08,0.000572154587259329,0.07234519006407218,0.0006048546421813159,3.29066149718764e-09,9.447265872367641e-06,0.9264001780177664,1.8713556093429518e-14,6.748315110085432e-10,3.75341270345072e-09,6.816770392398422e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.518567570592506e-10,5.037135151121351e-10,1.6790674858600825e-10,-3.904483669233464e-16,-3.3581356445600013e-10,-2.059961481675553e-15,1.4271743576691218e-17,2.4348334786069122e-15,9.20963842043706e-18,6.855845445255414e-23,4.554173941431366e-15,-7.013541807679162e-15,-1.1890721305449771e-24,-8.36934251487742e-24,3.109238539713057e-19,7.420228854785762e-19,-2.4358864937955574e-15,2.518567570592506e-10,1.6790674833439702e-10,-3.904483669233464e-16,3.3581356445600013e-10,-2.0597098704489026e-15,2.516112266508375e-19,3.3580901028205865e-10,3.358090102820598e-10,3.3580871659456616e-10,2.936875020430061e-16,-5.037132217355569e-10,5.037135151121351e-10,98.17051323360877,100.00134313598133,-0.00011627097018552707,-0.001226865011148858,0.9990585854103602,4.544273942100375e-08,0.0009413691469004693,0.000616820646148779,0.0006520734772109172,1.0184780074291196e-05,0.998720921096566
1721,7.744499999999999,750,101325.0,5.8333000000000004e-08,0.09,0.88,0.03,0.10227272727272728,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.02935886568415795,0.0,0.0,0.7970799770189834,0.12822683254133893,0.04274226423962805,4.6624296743127336e-09,0.002592041973634341,1.3879827716342151e-08,0.0006360970088205402,0.0643499676931486,0.0007623239210547369,4.048208003702401e-09,1.6871206615641258e-05,0.93414837316752,3.3439533945050205e-14,1.1857832856795403e-09,5.279330800097674e-09,8.635648948529096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0006659003994745e-10,8.001331827173019e-10,2.667136305709105e-10,-3.1500958439401637e-16,-5.334472256285361e-10,-2.4139568084133724e-15,-1.1526401624619066e-17,2.738349922954975e-15,1.4789602516264796e-17,8.128029046919509e-23,2.510414672117716e-14,-2.7847463466663816e-14,-1.0339757656912844e-24,-4.643095659750651e-24,-4.946167831791457e-19,2.1981627878930635e-18,-2.7400535502301847e-15,4.0006659003994745e-10,2.6671363013166626e-10,-3.1500958439401637e-16,5.334472256285361e-10,-2.4135175642115488e-15,4.3924420182370485e-19,5.334221214818149e-10,5.334221214818159e-10,5.334214665654344e-10,6.549163862184231e-16,-8.00132527306299e-10,8.001331827173019e-10,97.11995336262851,100.00096413759864,-5.905446617886805e-05,-0.000905083132463595,0.9986597538987027,6.282493299741993e-08,0.001340183276364235,0.000679907773688326,0.0008148284818297429,1.803319992141739e-05,0.9984872305445605
1721,7.744499999999999,750,101325.0,5.8333000000000004e-08,0.1,0.88,0.01999999999999999,0.11363636363636365,750.0,1e-10,9.999999999999999e-23,IdealGasReactor,off,0.019532646610321103,0.0,0.0,0.7893334580111883,0.14020598545113586,0.04673531134010631,4.943060457160844e-09,0.004192576031038339,1.7613149772179062e-08,0.0006792304267342438,0.05740745747979624,0.0009190169024521435,4.795719349525252e-09,2.748496666352732e-05,0.9408621805139876,5.451551945043257e-14,1.90945816473753e-09,6.993365112116014e-09,0.00010461601176923346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.814352189804849e-10,1.1628704417038327e-09,3.876261909205965e-10,-2.7306541943593483e-16,-7.752751253475855e-10,-2.588857161700803e-15,8.589756684934763e-18,2.850228923349817e-15,2.1058657593019555e-17,1.2808722606273897e-22,2.816463770992899e-14,-3.10469437126751e-14,1.1373733422604129e-24,9.800398467656038e-24,-6.390896674258197e-19,3.0676160520603073e-18,-2.852657577533857e-15,5.814352189804849e-10,3.876261902453496e-10,-2.7306541943593483e-16,7.752751253475855e-10,-2.5881819147828564e-15,6.752469179469239e-19,7.752469607098753e-10,7.752469607098742e-10,7.752456829604682e-10,1.2777493962735055e-15,-1.1628691633153468e-09,1.1628704417038327e-09,95.80742396896166,100.00070310239543,-3.522302488344713e-05,-0.0006678793705526057,0.9981808898129888,8.338629888437754e-08,0.0018190268007122724,0.0007206781301940047,0.0009750967518642017,2.9162142336219928e-05,0.9982750629756055
