Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(11),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(1) ROP [kmol/m^2 s],N2O(7) + X(1) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(1) ROP [kmol/m^2 s]
0,598,101324.99999999999,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999995,0.0,0.0,0.88,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.38526449922841594,0.0,0.0,0.1326606578152639,0.0,0.0,0.38526449922841594,-0.5179251570436798,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.38526449922841594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,598,101324.99999999999,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999993,0.0,0.0,0.8799999999999997,3.3383645265772343e-16,2.518177802542535e-25,2.2255763075224203e-16,0.10999999999999978,1.924632879594034e-24,1.1379940764238822e-08,0.9999998242078848,7.273485021530531e-10,2.385146795520113e-12,1.6764664977351013e-09,1.620059738150203e-07,5.511051741392099e-21,7.098808503933775e-16,2.739834775846776e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.711601553024187e-15,2.0539219031987747e-15,1.5493036864440564e-24,1.3692812216141335e-15,-1.3692813017490859e-15,1.18412639981013e-23,3.536885159493532e-29,-2.5298374799985238e-26,-1.3101143662950354e-30,5.0570656580348777e-26,5.335378296497718e-23,-2.2747983943531633e-23,0.0,-6.060974940591037e-32,-3.0631105679285034e-23,1.3692812334554328e-15,1.711601553024187e-15,1.5493036864440496e-24,1.3692812216141335e-15,1.3692813017490859e-15,1.1841263998101308e-23,6.745160020447858e-39,1.369281248395303e-15,1.369281248395303e-15,1.3692812483549306e-15,4.037238401715035e-26,-2.0539218725272967e-15,2.0539219031987747e-15
0.018,598,101325.0,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999997,0.0,0.0,0.8799999999999993,6.676723139963844e-16,5.036351144683402e-25,4.451145728577732e-16,0.10999999999999958,3.8492623502351816e-24,1.137994076494458e-08,0.9999998242078848,7.273485021530523e-10,2.3851467955193157e-12,1.6764664977278707e-09,1.6200597381432168e-07,5.5110517413683286e-21,7.098808503903202e-16,2.739834740727966e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7116015530091712e-15,2.053921872588101e-15,1.5493036864440594e-24,1.3692794101006888e-15,-1.3692812355746369e-15,1.1841263998835646e-23,1.8115134782967596e-21,-1.7243316096773487e-26,-5.897651684783824e-27,-7.889458522677452e-27,-1.2814760034882873e-23,-1.7986676238621992e-21,-1.9721522630525295e-31,-7.752003388018021e-30,-5.679798517591285e-29,1.369281233455431e-15,1.7116015530091712e-15,1.549303686444046e-24,1.3692794101006888e-15,1.3692812355746369e-15,1.184126399883566e-23,1.3490308093658956e-38,1.3692812483893969e-15,1.369281248389397e-15,1.3692812483490325e-15,4.0372384016963055e-26,-2.0539218725476718e-15,2.053921872588101e-15
0.026999999999999996,598,101325.00000000003,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999993,0.0,0.0,0.879999999999999,1.001508199165417e-15,7.554524666594928e-25,6.676712364297206e-16,0.10999999999999932,5.773891958512603e-24,1.1379940766387954e-08,0.9999998242078848,7.273485021530486e-10,2.385146795514303e-12,1.6764664977130857e-09,1.6200597381289324e-07,5.5110517413197245e-21,7.098808503840646e-16,2.739834746426113e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7116015529784713e-15,2.05392187257593e-15,1.5493036864440504e-24,1.3692775986782646e-15,-1.369281222339747e-15,1.1841264000337464e-23,3.6229358953529075e-21,-5.45848359063153e-26,-1.7958941996954434e-26,-1.97712814766757e-26,-2.6037573952994193e-23,-3.596805935862061e-21,1.9721522630525295e-31,-1.5640611999595689e-29,-5.522026336547083e-29,1.369281233455424e-15,1.7116015529784713e-15,1.5493036864440302e-24,1.3692775986782646e-15,1.369281222339747e-15,1.1841264000337485e-23,2.0235456649087365e-38,1.369281248377321e-15,1.3692812483773208e-15,1.369281248336964e-15,4.0372384016522423e-26,-2.0539218725355024e-15,2.05392187257593e-15
0.036,598,101325.0,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999992,0.0,0.0,0.8799999999999985,1.335344081196481e-15,1.0072698164861334e-24,8.902276035050574e-16,0.10999999999999907,7.698521549081575e-24,1.137994076857035e-08,0.9999998242078848,7.273485021530376e-10,2.385146795504195e-12,1.6764664976907307e-09,1.6200597381073325e-07,5.511051741246237e-21,7.098808503746041e-16,2.7398347521125566e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7116015529320482e-15,2.0539218725549857e-15,1.5493036864440107e-24,1.369275787347176e-15,-1.3692812091048573e-15,1.1841264002608146e-23,5.434266963695969e-21,-1.1358689845141566e-25,-3.61887309263005e-26,-3.2651802336415244e-26,-3.9254204976545616e-23,-5.394830253516814e-21,1.9721522630525295e-31,-2.4318081247890336e-29,-5.443140246024981e-29,1.3692812334554037e-15,1.7116015529320482e-15,1.5493036864439837e-24,1.369275787347176e-15,1.3692812091048573e-15,1.1841264002608172e-23,2.6980605142213116e-38,1.3692812483590622e-15,1.369281248359062e-15,1.369281248318714e-15,4.0372384015813286e-26,-2.053921872514559e-15,2.0539218725549857e-15
0.045,598,101325.00000000003,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999993,0.0,0.0,0.8799999999999982,1.669179992948476e-15,1.2590871887353327e-24,1.112783696005215e-15,0.10999999999999889,9.623151311512592e-24,1.1379940771486013e-08,0.9999998242078848,7.273485021530185e-10,2.385146795488809e-12,1.6764664976608668e-09,1.6200597380784765e-07,5.511051741148067e-21,7.098808503619638e-16,2.7398347577868707e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7116015528700307e-15,2.0539218725249482e-15,1.5493036864439356e-24,1.3692739761065525e-15,-1.3692812091048573e-15,1.1841264005641684e-23,7.24550755087573e-21,-1.9445302984562158e-25,-6.053712301455561e-26,-4.574847108391515e-26,-3.9229813200140956e-23,-7.205976915370359e-21,0.0,-3.122061318924046e-29,-5.285368064980779e-29,1.3692812334553674e-15,1.7116015528700307e-15,1.5493036864439018e-24,1.3692739761065525e-15,1.3692812091048573e-15,1.1841264005641718e-23,3.372575423732385e-38,1.3692812483346705e-15,1.3692812483346705e-15,1.3692812482943293e-15,4.037238401483395e-26,-2.053921872484523e-15,2.0539218725249482e-15
0.05399999999999999,598,101324.99999999999,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999995,0.0,0.0,0.8799999999999979,2.003015924385847e-15,1.5109045758382389e-24,1.3353395072555373e-15,0.10999999999999867,1.1547781188081219e-23,1.1379940775134315e-08,0.9999998242078848,7.273485021529879e-10,2.3851467954681024e-12,1.6764664976234992e-09,1.6200597380423688e-07,5.511051741025227e-21,7.098808503461467e-16,2.7398347634488958e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7116015527924273e-15,2.0539218724856977e-15,1.549303686443812e-24,1.3692721649563725e-15,-1.3692811429304083e-15,1.1841264009437374e-23,9.05665767345827e-21,-2.972455501004455e-25,-9.099287699308715e-26,-5.89074598426568e-26,-1.0537374157039062e-22,-8.950836747883964e-21,1.9721522630525295e-31,-3.891200576509777e-29,0.0,1.36928123345531e-15,1.7116015527924273e-15,1.5493036864437715e-24,1.3692721649563725e-15,1.3692811429304083e-15,1.1841264009437415e-23,4.047090373202525e-38,1.3692812483041498e-15,1.3692812483041496e-15,1.3692812482638162e-15,4.0372384013583905e-26,-2.0539218724453253e-15,2.0539218724856977e-15
0.06299999999999999,598,101325.00000000003,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999998,0.0,0.0,0.8799999999999977,2.3368518698321838e-15,1.7627219735141544e-24,1.5578950334874387e-15,0.10999999999999846,1.3472411146194183e-23,1.1379940779514848e-08,0.9999998242078846,7.273485021529431e-10,2.3851467954420656e-12,1.6764664975786308e-09,1.620059737999012e-07,5.511051740877731e-21,7.098808503271539e-16,2.7398347690987558e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.711601552699247e-15,2.053921872437328e-15,1.5493036864436285e-24,1.369270353896618e-15,-1.3692811429304083e-15,1.1841264013994754e-23,1.0867717343473719e-20,-4.219664313681505e-25,-1.2754711817622355e-25,-7.208538126285292e-26,-1.0533709464260813e-22,-1.0761758596212434e-20,0.0,-4.699782852273697e-29,-7.494178599599612e-30,1.3692812334552256e-15,1.711601552699247e-15,1.5493036864435813e-24,1.369270353896618e-15,1.3692811429304083e-15,1.1841264013994801e-23,4.72160535119989e-38,1.3692812482675029e-15,1.3692812482675029e-15,1.3692812482271775e-15,4.037238401206303e-26,-2.053921872396948e-15,2.053921872437328e-15
0.072,598,101325.00000000003,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999998,0.0,0.0,0.8799999999999972,2.6706878259252885e-15,2.014539379228065e-24,1.7804502724751642e-15,0.10999999999999822,1.5397041166600195e-23,1.1379940784627284e-08,0.9999998242078846,7.273485021528827e-10,2.3851467954106985e-12,1.6764664975262678e-09,1.6200597379484138e-07,5.511051740705599e-21,7.098808503049878e-16,2.7398347747363642e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7116015525905012e-15,2.053921872379773e-15,1.549303686443378e-24,1.3692685429272679e-15,-1.3692811164606287e-15,1.1841264019313449e-23,1.2678686579854739e-20,-5.686066017483266e-25,-1.7019353567633953e-25,-8.526409154368357e-26,-1.3176410595311323e-22,-1.2546098343373648e-20,-1.9721522630525295e-31,-5.488643578336283e-29,-1.1438483125704671e-29,1.3692812334551118e-15,1.7116015525905012e-15,1.549303686443324e-24,1.3692685429272679e-15,1.3692811164606287e-15,1.1841264019313503e-23,5.396120350968547e-38,1.3692812482247346e-15,1.3692812482247348e-15,1.3692812481844173e-15,4.0372384010271445e-26,-2.0539218723393892e-15,2.053921872379773e-15
0.08099999999999999,598,101325.0,5.8333e-05,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,598.0,1e-11,1e-22,ConstPressureReactor,off,0.009999999999999997,0.0,0.0,0.879999999999997,3.0045237937495634e-15,2.266356793799033e-24,2.0030052249572763e-15,0.10999999999999797,1.7321671255682996e-23,1.137994079046999e-08,0.9999998242078846,7.273485021528027e-10,2.3851467953740134e-12,1.676466497466426e-09,1.6200597378905892e-07,5.51105174050888e-21,7.098808502796551e-16,2.7398347803617146e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7116015524662245e-15,2.053921872313029e-15,1.5493036864430442e-24,1.3692667320481188e-15,-1.3692811032257389e-15,1.1841264025391702e-23,1.448956557804162e-20,-7.371041356599138e-25,-2.189120135385564e-25,-9.845147929420152e-26,-1.4495011911556554e-22,-1.4343560943548938e-20,0.0,-6.238061232126703e-29,1.4988357199199224e-29,1.369281233454961e-15,1.7116015524662245e-15,1.5493036864429834e-24,1.3692667320481188e-15,1.3692811032257389e-15,1.1841264025391762e-23,6.070635374736784e-38,1.369281248175858e-15,1.369281248175858e-15,1.369281248135548e-15,4.037238400820975e-26,-2.0539218722726717e-15,2.053921872313029e-15
