Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(11),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(1) ROP [kmol/m^2 s],N2O(7) + X(1) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(1) ROP [kmol/m^2 s]
0,598,101324.99999999999,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.039999999999999994,0.0,0.0,0.88,0.0,0.0,0.0,0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.28019236307521167,0.0,0.0,0.13266065781526393,0.0,0.0,0.28019236307521167,-0.4128530208904756,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.28019236307521167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,598,101324.99999999999,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.0399999999999998,0.0,0.0,0.8799999999999701,3.04963429181498e-14,1.234425951277227e-23,2.033092062814361e-14,0.07999999999997928,9.436233995938264e-23,6.107687440930245e-09,0.9999998730647331,3.90307774830975e-10,1.7472194016199615e-12,8.996208628343106e-10,1.1953590301326317e-07,2.957325068412237e-21,3.8091552178780627e-16,1.4702430694551487e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184829460339645e-16,1.1021699867423854e-15,4.461345539049331e-25,7.347809073146664e-16,-7.3477952210762e-16,3.410354456631418e-24,-8.750707148122861e-22,1.5869779646992673e-20,-4.8831446502589143e-23,-1.084019750676311e-25,-4.690178162207759e-22,-1.447675121338323e-20,1.7749370367472766e-30,-4.867568429109548e-29,-7.691393825904865e-30,7.347800356543061e-16,9.184829460339645e-16,4.461345539046891e-25,7.347809073146664e-16,7.3477952210762e-16,3.410354456631662e-24,2.4401155687086346e-37,7.347799911254362e-16,7.347799911254344e-16,7.347799911096137e-16,1.586937974611164e-26,-1.1021699867265084e-15,1.1021699867423854e-15
0.018,598,101324.99999999999,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.03999999999999959,0.0,0.0,0.87999999999994,6.099243631500304e-14,2.4688315378407974e-23,4.066164923295813e-14,0.07999999999995855,1.8873868876877317e-22,6.108644564698399e-09,0.9999998730647649,3.9030455530288827e-10,1.7472122539143334e-12,8.996135021753267e-10,1.19534924975708e-07,2.957300871701631e-21,3.80912404939415e-16,1.4702314250801803e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674366600808e-16,1.1021609687809338e-15,4.46127193883755e-25,7.347739673900897e-16,-7.347739105143444e-16,3.410860751249493e-24,3.867592986979499e-24,-7.012979620251378e-23,2.1578975399474025e-25,4.842960206275466e-28,-6.867310399594871e-23,1.3471903651467775e-22,4.930380657631324e-31,-3.6039801761250384e-31,-3.747089299799806e-30,7.347739746685434e-16,9.184674366600808e-16,4.46127193883267e-25,7.347739673900897e-16,7.347739105143444e-16,3.410860751249981e-24,4.88055345944047e-37,7.347739791874484e-16,7.347739791874479e-16,7.347739791715791e-16,1.586918497505664e-26,-1.102160968765061e-15,1.1021609687809338e-15
0.026999999999999996,598,101325.0,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.03999999999999939,0.0,0.0,0.8799999999999103,9.148852971830083e-14,3.703237124976687e-23,6.099237784269296e-14,0.07999999999993782,2.8313071605359133e-22,6.109659375097553e-09,0.9999998730637499,3.903045553932399e-10,1.7472122542877647e-12,8.996135023662453e-10,1.1953492500110737e-07,2.9573008723292377e-21,3.809124050202649e-16,1.4702318105535442e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674370629927e-16,1.1021609690138544e-15,4.461271940906014e-25,7.347739675679219e-16,-7.347740097760179e-16,3.4114273878820084e-24,3.8451934415033895e-24,-6.971288735562423e-23,2.145023939042436e-25,4.779851266243069e-28,3.0433290031223295e-23,3.5219425204359854e-23,5.9164567891575885e-31,4.284561261368774e-31,-2.5637979419682884e-30,7.347739748245427e-16,9.184674370629927e-16,4.461271940898693e-25,7.347739675679219e-16,7.347740097760179e-16,3.411427387882741e-24,7.321416742996577e-37,7.347739793427279e-16,7.347739793427273e-16,7.347739793268577e-16,1.586918498181811e-26,-1.1021609689979827e-15,1.1021609690138544e-15
0.036,598,101325.0,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.03999999999999918,0.0,0.0,0.8799999999998802,1.219846231182781e-13,4.937642711887924e-23,8.132310644983297e-14,0.07999999999991707,3.775384217484784e-22,6.110674183238439e-09,0.999999873062735,3.90304555357595e-10,1.7472122543814623e-12,8.996135022691047e-10,1.1953492498823107e-07,2.9573008720099005e-21,3.809124049791377e-16,1.470232195556127e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674368589448e-16,1.102160968893854e-15,4.46127194009414e-25,7.347739674741502e-16,-7.347740428632424e-16,3.4119940221524004e-24,3.857200954239137e-24,-6.991978861055424e-23,2.1513611027137645e-25,4.779851274852216e-28,6.360051203027435e-23,2.2464604990423163e-24,2.3665827156630354e-30,-1.64230288915355e-30,9.860761315262648e-31,7.347739747433452e-16,9.184674368589448e-16,4.461271940084377e-25,7.347739674741502e-16,7.347740428632424e-16,3.411994022153377e-24,9.762685449123209e-37,7.347739792627304e-16,7.34773979262728e-16,7.347739792468605e-16,1.5869184980957196e-26,-1.102160968877986e-15,1.102160968893854e-15
0.045,598,101324.99999999999,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.03999999999999899,0.0,0.0,0.8799999999998505,1.524807165166523e-13,6.172048298714672e-23,1.0165383505569983e-13,0.07999999999989635,4.719618058649257e-22,6.111688991776299e-09,0.9999998730617202,3.9030455534410947e-10,1.7472122545243806e-12,8.996135022226548e-10,1.1953492498208635e-07,2.9573008718572133e-21,3.8091240495947584e-16,1.4702325806415603e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674367616433e-16,1.1021609688359623e-15,4.461271939788838e-25,7.347739674281433e-16,-7.347729973069481e-16,3.412560656838093e-24,3.8631603686068676e-24,-7.001702794446676e-23,2.154567469501361e-25,4.937623451092446e-28,-9.819171873155723e-22,1.0478551110699184e-21,3.944304526105059e-31,-1.0506576906350113e-30,-5.9164567891575885e-30,7.347739747038644e-16,9.184674367616433e-16,4.461271939776634e-25,7.347739674281433e-16,7.347729973069481e-16,3.412560656839313e-24,1.2204359580367441e-36,7.347739792241355e-16,7.347739792241351e-16,7.347739792082669e-16,1.5869184981437593e-26,-1.1021609688200873e-15,1.1021609688359623e-15
0.05399999999999999,598,101324.99999999993,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.03999999999999879,0.0,0.0,0.8799999999998206,1.8297680991493845e-13,7.406453885580582e-23,1.2198456366145948e-13,0.07999999999987562,5.66400868413076e-22,6.112703800664575e-09,0.9999998730607056,3.90304555350172e-10,1.7472122547106588e-12,8.996135022208456e-10,1.1953492498188028e-07,2.9573008718512678e-21,3.809124049587158e-16,1.4702329657999508e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674367585137e-16,1.102160968832763e-15,4.461271939930414e-25,7.347739674242769e-16,-7.347739171317893e-16,3.413127291890349e-24,3.8637795887101405e-24,-7.001739870909221e-23,2.1543570779338216e-25,4.81534999416636e-28,-6.209021189342646e-23,1.280279159500104e-22,-9.860761315262648e-32,1.3263200551355954e-31,-1.7749370367472766e-30,7.347739747011838e-16,9.184674367585137e-16,4.461271939915767e-25,7.347739674242769e-16,7.347739171317893e-16,3.413127291891814e-24,1.464643913730684e-36,7.347739792220012e-16,7.347739792220013e-16,7.34773979206132e-16,1.5869184983099276e-26,-1.102160968816892e-15,1.102160968832763e-15
0.06299999999999999,598,101325.0,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.039999999999998585,0.0,0.0,0.8799999999997906,2.1347290331405362e-13,8.640859472560503e-23,1.4231529226781788e-13,0.07999999999985488,6.608556093990729e-22,6.1137186097651374e-09,0.9999998730596906,3.9030455536806835e-10,1.7472122549232294e-12,8.996135022461153e-10,1.195349249852689e-07,2.9573008719343374e-21,3.809124049694219e-16,1.4702333510025954e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674368123884e-16,1.102160968862739e-15,4.461271940342519e-25,7.347739674459248e-16,-7.347739237492342e-16,3.413693927164659e-24,3.8611625067276905e-24,-6.995921863961035e-23,2.1525314909012533e-25,4.7640740115451595e-28,-5.54927504174533e-23,1.2137507643849073e-22,9.860761315262648e-32,1.8089590509247217e-30,-1.3805065841367707e-30,7.347739747207813e-16,9.184674368123884e-16,4.46127194032543e-25,7.347739674459248e-16,7.347739237492342e-16,3.413693927166368e-24,1.7088924120129178e-36,7.347739792419846e-16,7.347739792419845e-16,7.347739792261135e-16,1.586918498547746e-26,-1.1021609688468685e-15,1.102160968862739e-15
0.072,598,101325.0,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.03999999999999837,0.0,0.0,0.8799999999997608,2.439689967138051e-13,9.875265059638705e-23,1.6264602087462662e-13,0.07999999999983412,7.553260288216275e-22,6.1147334188211415e-09,0.999999873058676,3.9030455538347717e-10,1.7472122551302722e-12,8.996135022656958e-10,1.195349249879019e-07,2.957300871998705e-21,3.8091240497771993e-16,1.470233736195938e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674368542808e-16,1.1021609688857416e-15,4.461271940697757e-25,7.347739674622077e-16,-7.34774003158573e-16,3.4142605623923805e-24,3.859227789474845e-24,-6.991335623873307e-23,2.1510875159112e-25,4.819294252634123e-28,2.3901251945563731e-23,4.193728618156192e-23,-9.860761315262648e-32,1.4145263706634553e-30,-1.5777218104420236e-30,7.347739747356961e-16,9.184674368542808e-16,4.461271940678225e-25,7.347739674622077e-16,7.34774003158573e-16,3.414260562394334e-24,1.953181452831066e-36,7.347739792573211e-16,7.347739792573212e-16,7.347739792414506e-16,1.586918498770511e-26,-1.102160968869871e-15,1.1021609688857416e-15
0.08099999999999999,598,101324.99999999999,5.8333e-05,0.08,0.88,0.039999999999999994,0.09090909090909091,598.0,1e-11,1e-22,IdealGasReactor,off,0.03999999999999817,0.0,0.0,0.879999999999731,2.744650901157903e-13,1.110967064694556e-22,1.8297674948311532e-13,0.0799999999998134,8.498121266914462e-22,6.1157482282470755e-09,0.999999873057661,3.9030455541949706e-10,1.7472122553830819e-12,8.996135023324019e-10,1.195349249967962e-07,2.9573008722179844e-21,3.8091240500597264e-16,1.4702341214663008e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184674369954613e-16,1.1021609689664825e-15,4.461271941524176e-25,7.347739675229293e-16,-7.347739436015689e-16,3.414827198007033e-24,3.851655773198746e-24,-6.97654483688782e-23,2.1465235912293244e-25,4.760129649995869e-28,-3.5709579096045885e-23,1.014082413378384e-22,8.874685183736383e-31,9.214848302325793e-31,0.0,7.347739747894123e-16,9.184674369954613e-16,4.461271941502201e-25,7.347739675229293e-16,7.347739436015689e-16,3.414827198009231e-24,2.1975110363371798e-36,7.34773979311148e-16,7.347739793111471e-16,7.34773979295277e-16,1.5869184991179778e-26,-1.1021609689506134e-15,1.1021609689664825e-15
