Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(11),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(1) ROP [kmol/m^2 s],N2O(7) + X(1) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(1) ROP [kmol/m^2 s]
0,598,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.05399999999999999,0.0,0.0,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.2311586995370496,0.0,0.0,0.13266065781526393,0.0,0.0,0.2311586995370496,-0.3638193573523135,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.2311586995370496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,598,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.05399999999999999,0.0,0.0,0.8799999999999999,1.2362214364995778e-16,3.4531179235921856e-26,8.241488683409184e-17,0.0659999999999999,2.639206549532326e-25,4.214082025645117e-09,0.9999998949076033,2.693426141994198e-10,1.4514309604869479e-12,6.208081181794584e-10,9.998671200588765e-08,2.0407833592452168e-21,2.628552174922446e-16,1.0145814230636417e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270326294085e-16,7.605827283613861e-16,2.1245237900974623e-25,5.070559176140615e-16,-5.070555745061384e-16,1.6237664700508179e-24,-7.276299959936309e-22,1.6145400519820008e-20,-4.145252656960281e-23,-1.1092155938138016e-25,4.223021999544813e-22,-1.5798509237793376e-20,1.5777218104420236e-30,-3.986218919366679e-29,5.9164567891575885e-31,5.07055191607832e-16,6.338270326294085e-16,2.1245237900974567e-25,5.070559176140615e-16,5.070555745061384e-16,1.6237664700508184e-24,5.708591871775858e-40,5.070551522039384e-16,5.070551522039368e-16,5.070551521948797e-16,9.096971457262409e-27,-7.605827283522898e-16,7.605827283613861e-16
0.018,598,101325.00000000003,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.05399999999999999,0.0,0.0,0.8799999999999998,2.4724428248937884e-16,6.906235712350111e-26,1.648297031710318e-16,0.06599999999999984,5.278412996185527e-25,4.2140820253623934e-09,0.9999998949076033,2.6934261416307126e-10,1.4514309603889783e-12,6.208081180941025e-10,9.998671199213525e-08,2.0407833589646374e-21,2.62855217456103e-16,1.0145814242314074e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270324469927e-16,7.605827282577572e-16,2.124523789524047e-25,5.070555035447836e-16,-5.070543767486114e-16,1.6237664697227464e-24,-3.1362914658297414e-22,1.614520977512667e-20,-4.1453812412435564e-23,-1.1309506838862552e-25,-7.753856112425886e-22,-1.5014628214843444e-20,-1.1832913578315177e-30,-3.848168074469691e-29,1.4465736849490304e-28,5.070551915394035e-16,6.338270324469927e-16,2.1245237895240354e-25,5.070555035447836e-16,5.070543767486114e-16,1.6237664697227475e-24,1.141718351945429e-39,5.070551521342226e-16,5.070551521342238e-16,5.070551521251653e-16,9.096971455397575e-27,-7.605827282488049e-16,7.605827282577572e-16
0.026999999999999996,598,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.053999999999999986,0.0,0.0,0.8799999999999997,3.708664210790938e-16,1.0359353493676485e-25,2.4724445205892567e-16,0.06599999999999973,7.91761943756513e-25,4.214082025443675e-09,0.9999998949076033,2.693426141263061e-10,1.4514309602875196e-12,6.208081180054605e-10,9.998671197786115e-08,2.0407833586732344e-21,2.6285521741857015e-16,1.014581425394566e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270322576565e-16,7.605827281506746e-16,2.124523788944059e-25,5.070550895196432e-16,-5.070549127616483e-16,1.6237664695324215e-24,1.0032678094608186e-22,1.6145010374854265e-20,-4.1456997832464525e-23,-1.160130648751032e-25,-2.3930017442928254e-22,-1.5964464015247135e-20,1.1832913578315177e-30,-4.242598333595147e-29,8.608444628224291e-29,5.070551914701906e-16,6.338270322576565e-16,2.124523788944042e-25,5.070550895196432e-16,5.070549127616483e-16,1.6237664695324232e-24,1.7125775154066244e-39,5.070551520618228e-16,5.070551520618216e-16,5.07055152052767e-16,9.096971453462725e-27,-7.605827281416637e-16,7.605827281506746e-16
0.036,598,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.053999999999999986,0.0,0.0,0.8799999999999996,4.944885630273378e-16,1.3812471368359945e-25,3.2965913591136314e-16,0.06599999999999964,1.055682595095144e-24,4.214082025904785e-09,0.9999998949076033,2.6934261408851116e-10,1.4514309601805096e-12,6.208081179126102e-10,9.998671196281281e-08,2.0407833583679884e-21,2.62855217379252e-16,1.0145814265483329e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270320580507e-16,7.605827280365515e-16,2.124523788347827e-25,5.070546755405322e-16,-5.070331678377055e-16,1.6237664694822443e-24,5.142347405057568e-22,1.6144796876454192e-20,-4.1461688596452765e-23,-1.1761583301725455e-25,-2.1984148280178758e-20,5.366694753684621e-21,5.817849176004962e-30,-4.1932943238755595e-29,1.250245927162151e-27,5.070551913990392e-16,6.338270320580507e-16,2.124523788347804e-25,5.070546755405322e-16,5.070331678377055e-16,1.6237664694822465e-24,2.2834366942621654e-39,5.070551519859857e-16,5.070551519859799e-16,5.070551519769249e-16,9.096971451431292e-27,-7.605827280287048e-16,7.605827280365515e-16
0.045,598,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.053999999999999986,0.0,0.0,0.8799999999999994,6.181106967809326e-16,1.7265589013884677e-25,4.1207374702185314e-16,0.06599999999999956,1.3196032289706385e-24,4.214082026389104e-09,0.9999998949076033,2.6934261406653065e-10,1.4514309601171499e-12,6.208081178563634e-10,9.998671195384844e-08,2.040783358183114e-21,2.6285521735543983e-16,1.0145814277664132e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270319391444e-16,7.605827279706409e-16,2.1245237880010755e-25,5.070542615645793e-16,-5.070550252582116e-16,1.6237664695363484e-24,9.28169313569864e-22,1.6144671037757022e-20,-4.146624111272156e-23,-1.209970880710369e-25,-1.2668183357944806e-22,-1.6904571183015162e-20,-4.930380657631324e-31,-4.380648666744429e-29,-5.206481974458678e-29,5.070551913576594e-16,6.338270319391444e-16,2.124523788001047e-25,5.070542615645793e-16,5.070550252582116e-16,1.6237664695363514e-24,2.8542958353468657e-39,5.070551519400452e-16,5.070551519400457e-16,5.070551519309925e-16,9.096971450210081e-27,-7.605827279614918e-16,7.605827279706409e-16
0.05399999999999999,598,101325.00000000003,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.05399999999999998,0.0,0.0,0.8799999999999993,7.417328354401135e-16,2.071870679601619e-25,4.944882941425809e-16,0.06599999999999948,1.5835238733962705e-24,4.214082027568504e-09,0.9999998949076033,2.6934261402984834e-10,1.451430960008481e-12,6.208081177611708e-10,9.998671193852061e-08,2.0407833578701845e-21,2.628552173151348e-16,1.0145814289193361e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270317358313e-16,7.605827278558851e-16,2.124523787422395e-25,5.070538476725833e-16,-5.070558689824364e-16,1.6237664697696492e-24,1.3419922527577267e-21,1.6144452017626435e-20,-4.1474930514317745e-23,-1.248487014387025e-25,7.1712014135545875e-22,-1.8161964590325525e-20,9.860761315262648e-32,-4.824382718333091e-29,5.817849176004962e-30,5.070551912886025e-16,6.338270317358313e-16,2.1245237874223604e-25,5.070538476725833e-16,5.070558689824364e-16,1.6237664697696526e-24,3.4251549989311176e-39,5.070551518622951e-16,5.07055151862295e-16,5.070551518532463e-16,9.0969714481341e-27,-7.605827278467939e-16,7.605827278558851e-16
0.06299999999999999,598,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.053999999999999986,0.0,0.0,0.8799999999999993,8.65354973936008e-16,2.4171824573179055e-25,5.76902773902034e-16,0.06599999999999939,1.8474445175748654e-24,4.214082029119238e-09,0.9999998949076035,2.693426139930319e-10,1.4514309598964585e-12,6.208081176634313e-10,9.998671192277543e-08,2.0407833575488916e-21,2.6285521727374924e-16,1.0145814300676532e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270315269821e-16,7.605827277376762e-16,2.1245237868415977e-25,5.070534338256061e-16,-5.070550616541586e-16,1.6237664701452227e-24,1.7557699204999954e-21,1.6144224905656506e-20,-4.148545184829293e-23,-1.2791243997722022e-25,-9.012830613927061e-23,-1.7768253109488342e-20,-1.3805065841367707e-30,-4.637028039903489e-29,1.5777218104420236e-30,5.070551912192931e-16,6.338270315269821e-16,2.124523786841558e-25,5.070534338256061e-16,5.070550616541586e-16,1.6237664701452268e-24,3.9960141617893236e-39,5.070551517824647e-16,5.070551517824661e-16,5.070551517734155e-16,9.096971445999703e-27,-7.605827277285809e-16,7.605827277376762e-16
0.072,598,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.05399999999999998,0.0,0.0,0.8799999999999991,9.889771126226271e-16,2.762494235527758e-25,6.593171865433624e-16,0.06599999999999931,2.111365162285158e-24,4.2140820310219044e-09,0.9999998949076035,2.6934261395649784e-10,1.4514309597826581e-12,6.208081175641995e-10,9.998671190679356e-08,2.040783357222684e-21,2.628552172317318e-16,1.0145814312134942e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338270313149936e-16,7.605827276176114e-16,2.124523786265256e-25,5.070530200213123e-16,-5.070550980501055e-16,1.6237664706581062e-24,2.1695054365443403e-21,1.614399277899641e-20,-4.1497723861970226e-23,-1.3090892812353482e-25,-5.365131013842079e-23,-1.8218218215722903e-20,-6.902532920683853e-31,-4.6370278231628215e-29,-9.466330862652142e-30,5.070551911505153e-16,6.338270313149936e-16,2.1245237862652106e-25,5.070530200213123e-16,5.070550980501055e-16,1.6237664706581107e-24,4.566873325606991e-39,5.070551517014157e-16,5.070551517014164e-16,5.070551516923658e-16,9.096971443832297e-27,-7.60582727608505e-16,7.605827276176114e-16
0.08099999999999999,598,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,598.0,1e-11,1e-22,Reactor,off,0.05399999999999998,0.0,0.0,0.8799999999999989,1.1125993285589334e-15,3.1078062294785883e-25,7.417315834482486e-16,0.06599999999999924,2.375285972069554e-24,4.2140820333740595e-09,0.9999998949076035,2.6934261391858314e-10,1.4514309596618064e-12,6.208081174589249e-10,9.998671188983738e-08,2.0407833568766122e-21,2.6285521718715696e-16,1.0145814323494463e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.3382703109008185e-16,7.605827274901326e-16,2.1245237856671333e-25,5.070526062711822e-16,-5.07054902835481e-16,1.6237664713358617e-24,2.583184189609047e-21,1.6143744819207692e-20,-4.151232991801136e-23,-1.3392927931209966e-25,-2.4877994984834236e-22,-1.8436502753631204e-20,-1.9721522630525295e-31,-4.863825103402679e-29,2.7610131682735413e-30,5.070551910791383e-16,6.3382703109008185e-16,2.124523785667082e-25,5.070526062711822e-16,5.07054902835481e-16,1.6237664713358668e-24,5.1377328462466445e-39,5.070551516154308e-16,5.07055151615431e-16,5.070551516063827e-16,9.096971441532185e-27,-7.605827274810384e-16,7.605827274901326e-16
