Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(N),NH2_X(8),NH_X(9),H2O_X(11),X(H),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(N) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],X(H) ROP [kmol/m^2 s],NX + OX <=> NOX + X(N) ROP [kmol/m^2 s],O2(2) + 2 X(H) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(N) ROP [kmol/m^2 s],NOX <=> NO(5) + X(N) ROP [kmol/m^2 s],NH3(6) + X(N) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(N) ROP [kmol/m^2 s],N2O(7) + X(H) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(H) ROP [kmol/m^2 s]
0,750,101325.0,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009999999999999995,0.0,0.0,0.88,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014807171952387333,0.0,0.0,0.0,-0.1720081230162323,0.0,0.0,0.029614343904774666,0.0,0.0,0.1720081230162323,-0.1720081230162323,0.0,0.0,0.0,-0.029614343904774666,0.0,0.014807171952387333,0.0,0.0,0.1720081230162323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0045,750,101325.00000000036,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009999691590674643,0.0,0.0,0.879880360095204,0.00018499924687596648,6.159126659626519e-05,6.692513736791317e-09,0.1098732745961758,7.651195958298831e-08,0.0009485507961877025,0.024410410470928703,0.003113790216388212,1.494735041485075e-08,0.0007429383079070636,0.9704483177882867,1.4998748303351444e-12,4.8837575290197886e-08,6.41102510640233e-11,0.0003359285697660519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.682929305666332e-09,1.3365792581103764e-08,4.44984430182648e-09,3.3125095978482324e-13,-7.96011412340647e-09,5.526598411582674e-12,-1.781937541870451e-13,-5.641984439867664e-12,-3.475639105207648e-13,-1.6764543878205744e-18,-9.504331707015036e-10,9.56638593065613e-10,-4.963083675318166e-24,3.367741829579367e-19,2.8360728039483347e-14,-6.603964789291187e-14,5.679665036173003e-12,6.682929305666332e-09,4.449844292407488e-09,3.3125095978482324e-13,7.96011412340647e-09,5.526607830575225e-12,9.41899255036906e-18,8.910547294107973e-09,8.910547294107978e-09,8.910433799459528e-09,1.1349431167640397e-13,-1.3365707447520128e-08,1.3365792581103764e-08
0.009,750,101325.00000000001,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009999386363214275,0.0,0.0,0.8797619317445214,0.00036813591362062193,0.0001226365175647873,6.600053256324259e-09,0.10974782598271836,7.687830740057912e-08,0.0009356806013451466,0.02418755460978623,0.003100057443000251,1.487260214077748e-08,0.0007422825816855735,0.9707000949416652,1.4986911775410857e-12,4.881396460885959e-08,9.279312499113691e-11,0.00033426604165917004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.616054051993601e-09,1.3232107769688271e-08,4.410680488627233e-09,-7.83582484740023e-15,-8.81407241637433e-09,2.6627960404789377e-14,8.247571894591823e-17,-1.8758204538330453e-14,-1.1547713624976719e-15,-5.52347525314892e-21,-7.332908681511897e-12,7.352865004628307e-12,1.819797347616661e-23,1.0393757268468014e-21,2.1789771524937024e-16,-3.4371618444914858e-16,1.8884028529788e-14,6.616054051993601e-09,4.41068047920998e-09,-7.83582484740023e-15,8.81407241637433e-09,2.6637377658242313e-14,9.417253452935599e-18,8.821405325055842e-09,8.821405325055824e-09,8.821292454921895e-09,1.1287013288951733e-13,-1.3231995117453096e-08,1.3232107769688271e-08
0.013499999999999998,750,101325.00000000001,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009999081380872504,0.0,0.0,0.8796435985945579,0.0005511253216141023,0.00018363300039525975,6.6004157674715175e-09,0.1096224782383083,7.686383622327326e-08,0.0009357246670625989,0.024197412227187416,0.003098913489858284,1.4867286147687714e-08,0.0007414288291476738,0.9706922927415853,1.4969442157678738e-12,4.8758346902077916e-08,1.218920161034575e-10,0.0003341642961367306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.611137653273175e-09,1.3222275333225934e-08,4.407425916121265e-09,1.0564159183953172e-16,-8.815275231999209e-09,-8.756333692834602e-16,-2.008224169431596e-17,7.754652326797369e-16,4.756828464324753e-17,7.777057809324625e-24,4.2501789577609443e-13,-4.2582604323075913e-13,2.812414082680294e-23,-2.200144424258437e-23,-1.2070806796608692e-17,1.7266968461848375e-17,-7.806614042711439e-16,6.611137653273175e-09,4.40742590670865e-09,1.0564159183953172e-16,8.815275231999209e-09,-8.662207544163596e-16,9.412614867100502e-18,8.814850214103433e-09,8.814850214103405e-09,8.814737514926428e-09,1.1269917699832823e-13,-1.3222162621978129e-08,1.3222275333225934e-08
0.018,750,101325.0,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009998776629681379,0.0,0.0,0.8795253551315227,0.0007339760382736543,0.0002445832543731505,6.601244434326592e-09,0.10949722549744585,7.684745887771827e-08,0.0009358333708870125,0.024208433866530273,0.003097833393887272,1.4862315145779097e-08,0.0007405747410499634,0.9706831906342097,1.495195834044477e-12,4.8702625196533824e-08,1.5095537415736058e-10,0.00033407027604465117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.60652978774566e-09,1.3213059604823025e-08,4.404354121192596e-09,1.501625369022793e-16,-8.809190099601238e-09,-1.013456824350609e-15,-2.5310106814290538e-17,8.733476040213639e-16,5.350804600700847e-17,4.613164289077085e-22,4.837057693733484e-13,-4.846131635907617e-13,-9.926167350636332e-24,-1.4417977948110776e-22,-1.4075376440735e-17,1.9923743549193142e-17,-8.791964326966039e-16,6.60652978774566e-09,4.404354111784634e-09,1.501625369022793e-16,8.809190099601238e-09,-1.0040488627845926e-15,9.40796156601635e-18,8.808706393831865e-09,8.808706393831875e-09,8.808593863143129e-09,1.1253068889013281e-13,-1.3212947060058759e-08,1.3213059604823025e-08
0.0225,750,101325.00000000004,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009998472109484069,0.0,0.0,0.8794072012940892,0.0009166881586412063,0.00030548730960559876,6.60207532959376e-09,0.10937206769504333,7.683106124413544e-08,0.0009359423722283946,0.02421946913476296,0.0030967534791500324,1.485734526293672e-08,0.0007397212997013213,0.9706740737767271,1.4934488200655673e-12,4.86469450245137e-08,1.7998029728112743e-10,0.0003339762516662591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.60192447204284e-09,1.3203848966692995e-08,4.401283912254365e-09,1.1417330473097105e-16,-8.802812256902826e-09,-1.0154069338983183e-15,1.1187587540988553e-17,8.747875683035024e-16,5.384027239839122e-17,1.590505900945418e-22,2.462840067613997e-13,-2.472296773935022e-13,1.1580528575742387e-23,2.5047330860951324e-23,-7.349003434166119e-18,1.3204009494220613e-17,-8.806427348365957e-16,6.60192447204284e-09,4.401283902851059e-09,1.1417330473097105e-16,8.802812256902826e-09,-1.0060036271085553e-15,9.40330678976309e-18,8.802565972896064e-09,8.802565972896053e-09,8.802453610500575e-09,1.1236239545203925e-13,-1.320373659694854e-08,1.3203848966692995e-08
0.026999999999999996,750,101325.0,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009998167820197534,0.0,0.0,0.879289137050034,0.0010992617325481706,0.00036634518269782965,6.602905967812843e-09,0.10924700479696639,7.681465005197069e-08,0.0009360513288425832,0.024230511936632122,0.003095673405597197,1.4852374676535996e-08,0.0007388685100762719,0.9706649489826742,1.4917031880130134e-12,4.859130711609687e-08,2.0896678114685687e-10,0.00033388218203735966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.597320085717715e-09,1.3194640199338164e-08,4.398214322509026e-09,1.4278048594828046e-16,-8.796843586900138e-09,-1.0163441285843293e-15,-1.7622050835832942e-17,8.759291040186051e-16,5.363972602609413e-17,3.6625934616084972e-22,4.1679577227874985e-13,-4.1771357690166186e-13,3.308722450212111e-24,-9.861615809395183e-23,-1.2646511268055799e-17,1.8504084896731658e-17,-8.817870432611118e-16,6.597320085717715e-09,4.3982143131103755e-09,1.4278048594828046e-16,8.796843586900138e-09,-1.0069454783735593e-15,9.39865021076998e-18,8.79642679112786e-09,8.796426791127856e-09,8.796314596843481e-09,1.1219428447351387e-13,-1.3194527992407179e-08,1.3194640199338164e-08
0.03149999999999999,750,101325.00000000001,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.00999786376173963,0.0,0.0,0.8791711623674873,0.0012816968092779623,0.0004271568900779575,6.603736317661388e-09,0.10912203676945587,7.679822498909605e-08,0.0009361602329380749,0.02424156214644374,0.0030945931651409136,1.48474033470571e-08,0.0007380163720557169,0.970655816389652,1.4899589376306998e-12,4.853571146518686e-08,2.3791483963212725e-10,0.0003337880712500267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.592716790917172e-09,1.3185432030371915e-08,4.395145329498757e-09,9.354298350253512e-17,-8.790407013403723e-09,-1.0179364917604817e-15,3.2029839731889725e-17,1.2700636938083145e-15,5.405885058425893e-17,3.159474763218599e-22,1.1821064763721808e-13,-1.191797058846244e-13,5.1285197978287716e-23,-1.7043472385932037e-22,1.1737620894326946e-15,-1.5608564209518732e-15,-8.829696766177686e-16,6.592716790917172e-09,4.395145320104765e-09,9.354298350253512e-17,8.790407013403723e-09,-1.0085424998521935e-15,9.39399190828829e-18,8.790288802756085e-09,8.790288802756034e-09,8.790176776400644e-09,1.1202635556019031e-13,-1.3185321177778445e-08,1.3185432030371915e-08
0.036,750,101325.00000000004,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009997559934024567,0.0,0.0,0.8790532772131598,0.001463993440308224,0.00048792244890334804,6.604566504955035e-09,0.10899716357724958,7.678178795623091e-08,0.0009362691060107174,0.024252620141129482,0.003093512780659483,1.4842431384613901e-08,0.0007371648850911375,0.9706466755893421,1.4882160674690224e-12,4.848015803531665e-08,2.668244898456593e-10,0.0003336939068648159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5881140964835e-09,1.3176228218905969e-08,4.392076998553098e-09,1.3236816139058956e-16,-8.784488358948295e-09,-1.0186760386748517e-15,-7.078535743183863e-18,8.781326139087729e-16,5.377007779991118e-17,4.6300934965386176e-23,3.362201344310517e-13,-3.371508230984165e-13,-1.6543612251060553e-24,4.464657374028012e-23,-1.0685218059217042e-17,1.654963743464239e-17,-8.839970812606738e-16,6.5881140964835e-09,4.3920769891637655e-09,1.3236816139058956e-16,8.784488358948295e-09,-1.0092867069080795e-15,9.389331766772205e-18,8.784152138813864e-09,8.784152138813865e-09,8.784040280204449e-09,1.1185860937202305e-13,-1.3176116349611379e-08,1.3176228218905969e-08
0.040499999999999994,750,101325.00000000001,5.8333e-08,0.10999999999999999,0.8799999999999999,0.009999999999999993,0.125,750.0,1e-10,1e-22,IdealGasReactor,off,0.009997256336973757,0.0,0.0,0.878935481556562,0.001646151672788364,0.0005486418748940887,6.605396280997131e-09,0.10887238518805019,7.676533523762797e-08,0.0009363779106045063,0.024263685287262655,0.0030924322125973507,1.483745859869661e-08,0.0007363140494995092,0.9706375272812212,1.4864745784801264e-12,4.842464684897217e-08,2.9569574226540985e-10,0.00033359969952719915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.583512423641864e-09,1.316702487495729e-08,4.389009217951239e-09,1.4171453468883033e-16,-8.778419602339937e-09,-1.0199235084762173e-15,-1.647670161131114e-17,8.794323793488897e-16,5.3731331522645854e-17,-1.5029756619505223e-22,4.030273151311426e-13,-4.039498709471442e-13,3.970466940254533e-23,1.408700094236135e-22,-1.2420115243122485e-17,1.8288892206014762e-17,-8.853010057649105e-16,6.583512423641864e-09,4.3890092085665695e-09,1.4171453468883033e-16,8.778419602339937e-09,-1.0105388388424297e-15,9.384669633787607e-18,8.778016575024806e-09,8.778016575024767e-09,8.77790488398018e-09,1.1169104444534163e-13,-1.3166913171492729e-08,1.316702487495729e-08
