Distance (mm),T (C),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(N),NH2_X(8),NH_X(9),H2O_X(11),X(H),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(N) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],X(H) ROP [kmol/m^2 s],NX + OX <=> NOX + X(N) ROP [kmol/m^2 s],O2(2) + 2 X(H) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(N) ROP [kmol/m^2 s],NOX <=> NO(5) + X(N) ROP [kmol/m^2 s],NH3(6) + X(N) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(N) ROP [kmol/m^2 s],N2O(7) + X(H) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(H) ROP [kmol/m^2 s]
0,700,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.05399999999999999,0.0,0.0,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999999e-06,0.0,0.0,0.0,0.9999899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06130629022941876,0.0,0.0,0.0,-2.136543869171246e-06,0.0,0.0,0.12261258045883752,0.0,0.0,2.136543869171246e-06,-2.136543869171246e-06,0.0,0.0,0.0,-0.12261258045883752,0.0,0.06130629022941876,0.0,0.0,2.136543869171246e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,700,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.05399999999999999,0.0,0.0,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999999e-06,0.0,0.0,0.0,0.9999899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06130629022941876,0.0,0.0,0.0,-2.136543869171246e-06,0.0,0.0,0.12261258045883752,0.0,0.0,2.136543869171246e-06,-2.136543869171246e-06,0.0,0.0,0.0,-0.12261258045883752,0.0,0.06130629022941876,0.0,0.0,2.136543869171246e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,700,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.05399999999999999,0.0,0.0,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999999e-06,0.0,0.0,0.0,0.9999899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06130629022941876,0.0,0.0,0.0,-2.136543869171246e-06,0.0,0.0,0.12261258045883752,0.0,0.0,2.136543869171246e-06,-2.136543869171246e-06,0.0,0.0,0.0,-0.12261258045883752,0.0,0.06130629022941876,0.0,0.0,2.136543869171246e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,700,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.05399999999999999,0.0,0.0,0.88,4.57496131927809e-18,1.5249902966060647e-18,3.129409466083185e-25,0.066,5.9354996579903444e-30,4.2538797016793175e-19,1.4340101920336378e-12,2.229362740277545e-08,3.361427596626468e-14,0.0009467281986036569,0.9990532308760038,4.783404344102267e-10,1.6990717050337747e-08,6.770126754551473e-22,1.1612400625740993e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.267186667151205e-20,1.6534372205778334e-19,5.511468931638789e-20,1.1304800236131615e-26,8.326672684688674e-17,2.1451466715438793e-31,5.167736585157868e-30,5.015642731827313e-27,-2.1659739629008515e-25,-5.043774014134469e-27,-8.33769559836988e-17,8.337695624813493e-17,7.891721379074372e-27,-4.44254395508197e-26,3.189532580899701e-30,-1.1285240755963792e-26,1.1310182487383927e-26,8.267186667151205e-20,5.511468931638789e-20,1.1304800236131615e-26,-8.326672684688674e-17,2.1451466715438907e-31,1.1434711040060444e-45,1.1022913681205832e-19,1.1022912892033694e-19,5.77990253622501e-20,5.2430147983526393e-20,-1.1291357407744647e-19,1.6534372205778334e-19
0.009,700,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.05399999999999999,0.0,0.0,0.88,4.57496131927809e-18,1.5249902966060647e-18,3.129409466083185e-25,0.066,5.9354996579903444e-30,4.2538797016793175e-19,1.4340101920336378e-12,2.229362740277545e-08,3.361427596626468e-14,0.0009467281986036569,0.9990532308760038,4.783404344102267e-10,1.6990717050337747e-08,6.770126754551473e-22,1.1612400625740993e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.267186667151205e-20,1.6534372205778334e-19,5.511468931638789e-20,1.1304800236131615e-26,8.326672684688674e-17,2.1451466715438793e-31,5.167736585157868e-30,5.015642731827313e-27,-2.1659739629008515e-25,-5.043774014134469e-27,-8.33769559836988e-17,8.337695624813493e-17,7.891721379074372e-27,-4.44254395508197e-26,3.189532580899701e-30,-1.1285240755963792e-26,1.1310182487383927e-26,8.267186667151205e-20,5.511468931638789e-20,1.1304800236131615e-26,-8.326672684688674e-17,2.1451466715438907e-31,1.1434711040060444e-45,1.1022913681205832e-19,1.1022912892033694e-19,5.77990253622501e-20,5.2430147983526393e-20,-1.1291357407744647e-19,1.6534372205778334e-19
0.009,700,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.053999999999999986,0.0,0.0,0.88,9.149906332374205e-18,3.0499751578000626e-18,3.1398918536364687e-25,0.06599999999999999,1.1107321484649696e-29,4.253910815165022e-19,1.4340116813100502e-12,2.2293638995443987e-08,3.361429595323987e-14,0.0009467281986036787,0.9990532308759896,4.783402815251437e-10,1.699071915866867e-08,6.770133827150493e-22,1.1612406664151776e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.267195264974119e-20,1.653438940188304e-19,5.511474663559211e-20,3.787766425829719e-29,8.104628079763643e-15,1.869158651504611e-31,1.1256097121244358e-26,-2.1130867608166834e-28,-2.165779539452187e-25,1.9851948411918522e-28,-8.104738309015095e-15,8.104738309268247e-15,2.6569647548797723e-27,-3.919248115537711e-26,-7.2056261456817945e-31,-1.1280651987130046e-26,1.1294161701367805e-26,8.267195264974119e-20,5.511474663559211e-20,3.787766425829719e-29,-8.104628079763643e-15,1.8691586515046324e-31,2.1398211557517233e-45,1.102292514520625e-19,1.1022924879509775e-19,5.779910232328541e-20,5.24301856642935e-20,-1.1291370835381633e-19,1.653438940188304e-19
0.018,700,101324.99999999999,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.053999999999999986,0.0,0.0,0.88,9.149906332374205e-18,3.0499751578000626e-18,3.1398918536364687e-25,0.06599999999999999,1.1107321484649696e-29,4.253910815165022e-19,1.4340116813100502e-12,2.2293638995443987e-08,3.361429595323987e-14,0.0009467281986036787,0.9990532308759896,4.783402815251437e-10,1.699071915866867e-08,6.770133827150493e-22,1.1612406664151776e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.267195264974119e-20,1.653438940188304e-19,5.511474663559211e-20,3.787766425829719e-29,8.104628079763643e-15,1.869158651504611e-31,1.1256097121244358e-26,-2.1130867608166834e-28,-2.165779539452187e-25,1.9851948411918522e-28,-8.104738309015095e-15,8.104738309268247e-15,2.6569647548797723e-27,-3.919248115537711e-26,-7.2056261456817945e-31,-1.1280651987130046e-26,1.1294161701367805e-26,8.267195264974119e-20,5.511474663559211e-20,3.787766425829719e-29,-8.104628079763643e-15,1.8691586515046324e-31,2.1398211557517233e-45,1.102292514520625e-19,1.1022924879509775e-19,5.779910232328541e-20,5.24301856642935e-20,-1.1291370835381633e-19,1.653438940188304e-19
0.018,700,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.053999999999999986,0.0,0.0,0.88,1.3724851259735922e-17,4.574959990413542e-18,3.1399449708265545e-25,0.06599999999999999,1.5613745913520313e-29,4.2539353835852615e-19,1.4340116813100235e-12,2.2293638995443957e-08,3.3614295953265713e-14,0.0009467281986036291,0.9990532308759896,4.783402815251441e-10,1.699071915866867e-08,6.770133858681725e-22,1.1612406664151761e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.2671952649741e-20,1.6534389401908548e-19,5.511474663559197e-20,1.9432573188655318e-31,-3.164135620181696e-15,1.6286761725726962e-31,1.1277710562244511e-26,-6.091420302367877e-29,-2.1656195616178965e-25,6.400473076837482e-29,3.164025390930244e-15,-3.1640253906771463e-15,2.7909151565900975e-27,-3.9326319088797214e-26,-7.617293671294566e-31,-1.1280396512522923e-26,1.1278067755593655e-26,8.2671952649741e-20,5.511474663559197e-20,1.9432573188655318e-31,3.164135620181696e-15,1.6286761725727262e-31,3.0079820592809146e-45,1.1022925145205447e-19,1.102292486611393e-19,5.779910232312459e-20,5.243018566433381e-20,-1.1291370835398993e-19,1.6534389401908548e-19
0.026999999999999996,700,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.053999999999999986,0.0,0.0,0.88,1.3724851259735922e-17,4.574959990413542e-18,3.1399449708265545e-25,0.06599999999999999,1.5613745913520313e-29,4.2539353835852615e-19,1.4340116813100235e-12,2.2293638995443957e-08,3.3614295953265713e-14,0.0009467281986036291,0.9990532308759896,4.783402815251441e-10,1.699071915866867e-08,6.770133858681725e-22,1.1612406664151761e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.2671952649741e-20,1.6534389401908548e-19,5.511474663559197e-20,1.9432573188655318e-31,-3.164135620181696e-15,1.6286761725726962e-31,1.1277710562244511e-26,-6.091420302367877e-29,-2.1656195616178965e-25,6.400473076837482e-29,3.164025390930244e-15,-3.1640253906771463e-15,2.7909151565900975e-27,-3.9326319088797214e-26,-7.617293671294566e-31,-1.1280396512522923e-26,1.1278067755593655e-26,8.2671952649741e-20,5.511474663559197e-20,1.9432573188655318e-31,3.164135620181696e-15,1.6286761725727262e-31,3.0079820592809146e-45,1.1022925145205447e-19,1.102292486611393e-19,5.779910232312459e-20,5.243018566433381e-20,-1.1291370835398993e-19,1.6534389401908548e-19
0.026999999999999996,700,101325.0,5.8333e-05,0.066,0.88,0.05399999999999999,0.075,700.0,1e-11,1e-22,IdealGasReactor,off,0.05399999999999998,0.0,0.0,0.88,1.8299796242146895e-17,6.099944841376816e-18,3.1399632060018707e-25,0.06599999999999998,1.9540386498985435e-29,4.2539599381514046e-19,1.4340116813100183e-12,2.2293638995443924e-08,3.361429595327408e-14,0.00094672819860358,0.9990532308759896,4.783402815251445e-10,1.699071915866867e-08,6.770133890165867e-22,1.1612406664151747e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.267195264974079e-20,1.653438940181905e-19,5.511474663559181e-20,7.49892022936609e-32,-1.4183099139586375e-14,1.4191353117312242e-31,1.1261765982481358e-26,-1.821785282644496e-30,-2.1654588821496217e-25,2.0927503850514125e-29,1.4182988910334923e-14,-1.4182988910081842e-14,2.8338032812615437e-27,-3.9369175194883335e-26,2.0251153365231785e-31,-1.1281291082907967e-26,1.1261982885214824e-26,8.267195264974079e-20,5.511474663559181e-20,7.49892022936609e-32,1.4183099139586375e-14,1.4191353117312618e-31,3.7644478276283094e-45,1.1022925145204828e-19,1.10229248618245e-19,5.779910232307334e-20,5.2430185664346857e-20,-1.1291370835404614e-19,1.653438940181905e-19
