Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0
1.431872053753587e-20,0.05595639656,0.054,0.0,0.0,0.029736827291432313,0.8799999999999991,0.0,0.0,0.0,0.06599999999999955,0.0,1.8148009093049505e-15,2.963751656147219e-16,2.963751656147219e-16,1.5436206542380503e-16
4.009241750510043e-20,0.05595639656,0.054,0.0,0.0,0.029736827291427705,0.8799999999999975,0.0,0.0,0.0,0.06599999999999875,0.0,5.081442546052843e-15,8.298504637210498e-16,8.298504637210498e-16,4.3221378318484983e-16
9.163981144022955e-20,0.05595639656,0.054,0.0,0.0,0.029736827291418483,0.8799999999999942,0.0,0.0,0.0,0.06599999999999713,0.0,1.1614725819544551e-14,1.8968010599330188e-15,1.8968010599330188e-15,9.879172186997221e-16
1.947345993104878e-19,0.05595639656,0.054,0.0,0.0,0.029736827291400036,0.8799999999999877,0.0,0.0,0.0,0.06599999999999388,0.0,2.4681292366511658e-14,4.030702252354208e-15,4.030702252354208e-15,2.0993240897005977e-15
4.009241750510043e-19,0.05595639656,0.054,0.0,0.0,0.029736827291363146,0.8799999999999746,0.0,0.0,0.0,0.06599999999998739,0.0,5.081442546038065e-14,8.298504637185598e-15,8.298504637185598e-15,4.322137831586872e-15
8.133033265320373e-19,0.05595639656,0.054,0.0,0.0,0.02973682729128936,0.8799999999999485,0.0,0.0,0.0,0.06599999999997441,0.0,1.0308069164785768e-13,1.6834109406804412e-14,1.6834109406804412e-14,8.767765314897514e-15
1.6380616294941034e-18,0.05595639656,0.054,0.0,0.0,0.029736827291141795,0.8799999999998962,0.0,0.0,0.0,0.06599999999994845,0.0,2.0761322402176815e-13,3.390531894586617e-14,3.390531894586617e-14,1.765902027967117e-14
3.2875782354182355e-18,0.05595639656,0.054,0.0,0.0,0.029736827290846663,0.8799999999997916,0.0,0.0,0.0,0.06599999999989652,0.0,4.1667828876541445e-13,6.804773802328624e-14,6.804773802328624e-14,3.5441530201827974e-14
6.5866114472664995e-18,0.05595639656,0.054,0.0,0.0,0.0297368272902564,0.8799999999995826,0.0,0.0,0.0,0.06599999999979267,0.0,8.348084182360081e-13,1.3633257617531244e-13,1.3633257617531244e-13,7.100655001657957e-14
1.3184677870963028e-17,0.05595639656,0.054,0.0,0.0,0.029736827289075868,0.8799999999991645,0.0,0.0,0.0,0.06599999999958497,0.0,1.6710686771104e-12,2.7290225246810814e-13,2.7290225246810814e-13,1.4213658952783462e-13
2.6380810718356085e-17,0.05595639656,0.054,0.0,0.0,0.02973682728671481,0.8799999999983282,0.0,0.0,0.0,0.06599999999916957,0.0,3.3435891945920037e-12,5.460416050086658e-13,5.460416050086658e-13,2.8439666807735224e-13
