Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0
1.4821283845202315e-20,0.05595639656,0.054,0.0,0.0,0.029736827291432223,0.879999999999999,0.0,0.0,0.0,0.06599999999999955,0.0,1.8784974068617884e-15,3.0677744165265694e-16,3.06777441652657e-16,1.5977991752685844e-16,4.931699938568191e-32
4.149959476656648e-20,0.05595639656,0.054,0.0,0.0,0.029736827291427452,0.8799999999999975,0.0,0.0,0.0,0.06599999999999868,0.0,5.259792739211917e-15,8.589768366272551e-16,8.589768366272557e-16,4.473837690732704e-16,2.978853779163136e-31
9.485621660929482e-20,0.05595639656,0.054,0.0,0.0,0.029736827291417904,0.8799999999999941,0.0,0.0,0.0,0.065999999999997,0.0,1.2022383403907809e-14,1.9633756265757153e-15,1.9633756265757185e-15,1.0225914721583613e-15,1.4342958089285453e-30
2.0156946029475147e-19,0.05595639656,0.054,0.0,0.0,0.02973682729139881,0.8799999999999873,0.0,0.0,0.0,0.06599999999999365,0.0,2.5547564733282116e-14,4.1721732064696884e-15,4.172173206469701e-15,2.173006878297612e-15,6.264871810001351e-30
4.149959476656648e-19,0.05595639656,0.054,0.0,0.0,0.029736827291360627,0.8799999999999738,0.0,0.0,0.0,0.06599999999998693,0.0,5.259792739196084e-14,8.589768366245849e-15,8.589768366245901e-15,4.473837690452388e-15,2.616232791429607e-29
8.418489224074915e-19,0.05595639656,0.054,0.0,0.0,0.029736827291284254,0.8799999999999467,0.0,0.0,0.0,0.0659999999999735,0.0,1.0669865270903874e-13,1.7424958685751026e-14,1.742495868575124e-14,9.075499314267043e-15,1.0694472489912734e-28
1.695554871891145e-18,0.05595639656,0.054,0.0,0.0,0.029736827291131508,0.8799999999998926,0.0,0.0,0.0,0.06599999999994663,0.0,2.149001033420763e-13,3.5095339324572796e-14,3.5095339324573654e-14,1.827882255991675e-14,4.327976049149119e-28
3.4029667708584514e-18,0.05595639656,0.054,0.0,0.0,0.029736827290826016,0.8799999999997844,0.0,0.0,0.0,0.06599999999989288,0.0,4.3130300460367845e-13,7.043610060146193e-14,7.043610060146543e-14,3.668546904329777e-14,1.7443608846600722e-27
6.817790568793065e-18,0.05595639656,0.054,0.0,0.0,0.029736827290215033,0.879999999999568,0.0,0.0,0.0,0.06599999999978538,0.0,8.641088071089915e-13,1.4111762315222258e-13,1.411176231522367e-13,7.349876197838624e-14,7.028558927235417e-27
1.3647438164662293e-17,0.05595639656,0.054,0.0,0.0,0.02973682728899307,0.8799999999991353,0.0,0.0,0.0,0.06599999999957039,0.0,1.729720412048051e-12,2.824806682416718e-13,2.8248066824172877e-13,1.471253477218691e-13,2.8414372178536886e-26
2.7306733356400745e-17,0.05595639656,0.054,0.0,0.0,0.029736827286549142,0.8799999999982696,0.0,0.0,0.0,0.06599999999914041,0.0,3.4609436216399056e-12,5.652067583722722e-13,5.65206758372504e-13,2.9437851870206e-13,1.1584071721567477e-25
5.462532373987765e-17,0.05595639656,0.054,0.0,0.0,0.029736827281661285,0.8799999999965384,0.0,0.0,0.0,0.06599999999828045,0.0,6.923390039678555e-12,1.130658938440195e-12,1.1306589384411558e-12,5.888848586353532e-13,4.803926803786819e-25
1.0926250450683147e-16,0.05595639656,0.054,0.0,0.0,0.02973682727188557,0.879999999993076,0.0,0.0,0.0,0.06599999999656053,0.0,1.3848282871175612e-11,2.261563297802253e-12,2.261563297806367e-12,1.1778975303936748e-12,2.056936890522416e-24
2.1853686604073908e-16,0.05595639656,0.054,0.0,0.0,0.02973682725233414,0.8799999999861511,0.0,0.0,0.0,0.0659999999931207,0.0,2.7698068515848776e-11,4.523372013425817e-12,4.523372013444435e-12,2.3559228414779672e-12,9.30893197550788e-24
4.370855891085543e-16,0.05595639656,0.054,0.0,0.0,0.029736827213231284,0.8799999999723013,0.0,0.0,0.0,0.06599999998624104,0.0,5.539763973191128e-11,9.046989432227515e-12,9.046989432319282e-12,4.711973333922835e-12,4.588171300314837e-23
8.741830352441848e-16,0.05595639656,0.054,0.0,0.0,0.02973682713502557,0.8799999999446017,0.0,0.0,0.0,0.0659999999724817,0.0,1.10796781870901e-10,1.809422421970339e-11,1.8094224220208764e-11,9.42407379996316e-12,2.526877514911615e-22
1.7483779275154457e-15,0.05595639656,0.054,0.0,0.0,0.02973682697861415,0.8799999998892025,0.0,0.0,0.0,0.06599999994496303,0.0,2.2159506497633925e-10,3.618869359137855e-11,3.61886935945066e-11,1.884827265700988e-11,1.5640242286522983e-21
3.4967677120579675e-15,0.05595639656,0.054,0.0,0.0,0.029736826665791322,0.8799999997784043,0.0,0.0,0.0,0.0659999998899257,0.0,4.431916264970516e-10,7.237763149949095e-11,7.237763152085546e-11,3.769666207387706e-11,1.068225458191161e-20
6.993547281143011e-15,0.05595639656,0.054,0.0,0.0,0.029736826040145728,0.8799999995568077,0.0,0.0,0.0,0.06599999977985109,0.0,8.863847307778214e-10,1.4475550379771082e-10,1.4475550395398724e-10,7.539340774198336e-11,7.813822060865588e-20
1.39871064193131e-14,0.05595639656,0.054,0.0,0.0,0.029736824788854775,0.8799999991136146,0.0,0.0,0.0,0.06599999955970201,0.0,1.7727708642967578e-09,2.895112329057061e-10,2.895112340973588e-10,1.5078676660189654e-10,5.95826332613696e-19
