Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.530735613383509e-20,0.05595639656,0.054,0.0,0.0,0.029736827291432136,0.8799999999999991,-1.3497807084805435e-56,0.0,0.0,0.06599999999999953,0.0,1.9401037793785293e-15,3.168383793367602e-16,3.1683837933676025e-16,1.6501998923729104e-16,5.260484061058042e-32,1.0180605316817719e-37
4.286059717473825e-20,0.05595639656,0.054,0.0,0.0,0.02973682729142721,0.8799999999999972,1.3336697273129947e-55,0.0,0.0,0.06599999999999866,0.0,5.432290582258715e-15,8.871474621427321e-16,8.871474621427326e-16,4.620559698623528e-16,3.1774502671988715e-31,1.5384930703128616e-36
9.796707925654458e-20,0.05595639656,0.054,0.0,0.0,0.02973682729141735,0.8799999999999938,7.355786495523694e-54,0.0,0.0,0.06599999999999692,0.0,1.2416664188014431e-14,2.02776562775389e-15,2.027765627753893e-15,1.0561279311042282e-15,1.5299222380261882e-30,1.6550406265796761e-35
2.0818004342015723e-19,0.05595639656,0.054,0.0,0.0,0.02973682729139763,0.8799999999999868,2.8949831585332446e-52,0.0,0.0,0.06599999999999345,0.0,2.6385411399507228e-14,4.309001958973063e-15,4.309001958973076e-15,2.2442718535549852e-15,6.682591593362727e-30,1.5212674501205973e-34
4.2860597174738255e-19,0.05595639656,0.054,0.0,0.0,0.02973682729135819,0.8799999999999728,1.0228628106073711e-50,0.0,0.0,0.06599999999998651,0.0,5.432290582241828e-14,8.871474621398837e-15,8.871474621398895e-15,4.620559698324527e-15,2.7907010645917005e-29,1.3014762905015557e-33
8.694578284018332e-19,0.05595639656,0.054,0.0,0.0,0.029736827291279314,0.8799999999999448,3.436391182362052e-49,0.0,0.0,0.06599999999997264,0.0,1.1019789466794219e-13,1.79964199462001e-14,1.799641994620033e-14,9.373135387335715e-15,1.1407873500643338e-28,1.0760856968341233e-32
1.7511615417107344e-18,0.05595639656,0.054,0.0,0.0,0.029736827291121558,0.879999999999889,1.1264965592466373e-47,0.0,0.0,0.06599999999994488,0.0,2.219478723577972e-13,3.6246310595601455e-14,3.6246310595602377e-14,1.887828676324652e-14,4.616862478521517e-28,8.750549065071126e-32
3.514568968328537e-18,0.05595639656,0.054,0.0,0.0,0.029736827290806046,0.8799999999997772,3.6483464446544975e-46,0.0,0.0,0.06599999999988937,0.0,4.454478277327361e-13,7.27460918935995e-14,7.27460918936032e-14,3.788858950662183e-14,1.860937682866613e-27,7.057633041204986e-31
7.041383821564142e-18,0.05595639656,0.054,0.0,0.0,0.029736827290175027,0.8799999999995537,1.1744876017994948e-44,0.0,0.0,0.06599999999977835,0.0,8.924477384635296e-13,1.457456544863767e-13,1.4574565448639171e-13,7.590919495958735e-14,7.499427412779425e-27,5.669071793297035e-30
1.4095013528035352e-17,0.05595639656,0.054,0.0,0.0,0.029736827288912988,0.8799999999991067,3.7696227930252726e-43,0.0,0.0,0.0659999999995563,0.0,1.7864475598487796e-12,2.9174477965905427e-13,2.91744779659115e-13,1.51950405730378e-13,3.0327084092835616e-26,4.544458121807393e-29
2.8202272940977774e-17,0.05595639656,0.054,0.0,0.0,0.02973682728638891,0.8799999999982128,1.2080825625428097e-41,0.0,0.0,0.06599999999911223,0.0,3.574447202313929e-12,5.837430299528906e-13,5.837430299531376e-13,3.0403282673139957e-13,1.2371094457880022e-25,3.639244830339203e-28
5.641679176686261e-17,0.05595639656,0.054,0.0,0.0,0.029736827281340753,0.8799999999964248,3.868740303140446e-40,0.0,0.0,0.06599999999822406,0.0,7.1504464860228296e-12,1.167739530334394e-12,1.1677395303354183e-12,6.081976665712157e-13,5.135995600034942e-25,2.912859047243292e-27
1.128458294186323e-16,0.05595639656,0.054,0.0,0.0,0.02973682727124444,0.8799999999928487,1.2384498486297502e-38,0.0,0.0,0.06599999999644773,0.0,1.4302445048555028e-11,2.3357325302719815e-12,2.335732530276365e-12,1.216527337602038e-12,2.2035140160972834e-24,2.3308584621719522e-26
2.2570390472217166e-16,0.05595639656,0.054,0.0,0.0,0.02973682725105181,0.8799999999856968,3.963716893026714e-37,0.0,0.0,0.06599999999289509,0.0,2.8606442154076952e-11,4.6717185268395214e-12,4.671718526859346e-12,2.4331866450692254e-12,1.0005121006140165e-23,1.8648925802603664e-25
4.514200553292504e-16,0.05595639656,0.054,0.0,0.0,0.029736827210666554,0.8799999999713928,1.2684673982704163e-35,0.0,0.0,0.0659999999857898,0.0,5.721443628695041e-11,9.343690506696455e-12,9.343690506794054e-12,4.866505121632034e-12,4.9545280671084976e-23,1.4919600632889127e-24
