Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.577846154718712e-20,0.05595639656,0.054,0.0,0.0,0.029736827291432056,0.879999999999999,-1.5706722412281833e-56,0.0,0.0,0.0659999999999995,0.0,1.999813201759415e-15,3.265895260637428e-16,3.2658952606374287e-16,1.7009871149089007e-16,5.589268564361817e-32,1.1149797997599017e-37,1.537759586993733e-61
4.4179692332123946e-20,0.05595639656,0.054,0.0,0.0,0.02973682729142697,0.8799999999999972,1.5519246768548368e-55,0.0,0.0,0.06599999999999862,0.0,5.599476964925123e-15,9.144506729782712e-16,9.144506729782717e-16,4.762763921723011e-16,3.376047330726121e-31,1.6849575027921768e-36,1.7509463328393515e-60
1.0098215390199759e-19,0.05595639656,0.054,0.0,0.0,0.029736827291416808,0.8799999999999937,8.559560416875219e-54,0.0,0.0,0.06599999999999683,0.0,1.279880449125159e-14,2.0901729668064927e-15,2.090172966806496e-15,1.0886317535263593e-15,1.625549286211722e-30,1.8126003802453058e-35,4.740423539618522e-59
2.1458707704174489e-19,0.05595639656,0.054,0.0,0.0,0.02973682729139648,0.8799999999999865,3.368746939381784e-52,0.0,0.0,0.06599999999999324,0.0,2.719745954388472e-14,4.4416175544595966e-15,4.441617554459611e-15,2.31334247619942e-15,7.100317067208725e-30,1.6660920059927185e-34,1.3676526529371988e-57
4.417969233212395e-19,0.05595639656,0.054,0.0,0.0,0.02973682729135583,0.879999999999972,1.1902542331663184e-50,0.0,0.0,0.0659999999999861,0.0,5.5994769649071764e-14,9.144506729752445e-15,9.144506729752505e-15,4.76276392140532e-15,2.965174206083218e-29,1.4253767418311788e-33,4.096807873043772e-56
8.962166158802287e-19,0.05595639656,0.054,0.0,0.0,0.029736827291274522,0.8799999999999433,3.99875633501748e-49,0.0,0.0,0.06599999999997179,0.0,1.1358938985912906e-13,1.8550285080284712e-14,1.8550285080284958e-14,9.661606811256234e-15,1.2121314763663085e-28,1.178528977198986e-32,1.262766173282775e-54
1.805056000998207e-18,0.05595639656,0.054,0.0,0.0,0.029736827291111913,0.8799999999998857,1.3108476294759265e-47,0.0,0.0,0.06599999999994317,0.0,2.2877863027797627e-13,3.736184178113551e-14,3.7361841781136494e-14,1.9459292588714516e-14,4.905781640386959e-28,9.583600664591147e-32,3.960971401703524e-53
3.622734771234163e-18,0.05595639656,0.054,0.0,0.0,0.029736827290786694,0.8799999999997704,4.24539801073128e-46,0.0,0.0,0.06599999999988596,0.0,4.591571111106015e-13,7.498495518198216e-14,7.498495518198609e-14,3.90546641346569e-14,1.977540881014607e-27,7.729519104818789e-31,1.2545138358079051e-51
7.258092311706077e-18,0.05595639656,0.054,0.0,0.0,0.029736827290136252,0.87999999999954,1.3666923707202822e-44,0.0,0.0,0.06599999999977152,0.0,9.199140727555744e-13,1.5023118198025534e-13,1.5023118198027127e-13,7.824540719064496e-14,7.97050795701006e-27,6.208766847595667e-30,3.9934826126782993e-50
