Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6680804620043658e-20,0.05595639656,0.054,0.0,0.0,0.029736827291431893,0.879999999999999,-2.0741839175407574e-56,0.0,0.0,0.06599999999999948,0.0,2.1141790785730498e-15,3.4526661924102983e-16,3.4526661924103e-16,1.7982636418731808e-16,6.246838668868315e-32,1.3174193363438084e-37,1.8884514865550823e-61,3.903493604666499e-48,2.446431681447399e-68
4.670625293612224e-20,0.05595639656,0.054,0.0,0.0,0.029736827291426522,0.879999999999997,2.049426460274334e-55,0.0,0.0,0.06599999999999853,0.0,5.9197014200031555e-15,9.667465338746505e-16,9.66746533874651e-16,5.035138197220419e-16,3.7732431169192945e-31,1.9908840714222598e-36,2.2191990555675737e-60,4.634423492505148e-47,1.488679556174732e-66
1.067571495682794e-19,0.05595639656,0.054,0.0,0.0,0.029736827291415777,0.8799999999999932,1.1303505770786763e-53,0.0,0.0,0.06599999999999664,0.0,1.3530746102857836e-14,2.2097063631409586e-15,2.209706363140962e-15,1.1508887307816948e-15,1.8168051674080398e-30,2.1417022149081804e-35,6.0980929822002486e-59,4.550506881673212e-46,6.72122124890656e-65
2.2685894283259373e-19,0.05595639656,0.054,0.0,0.0,0.029736827291394288,0.8799999999999856,4.4486689235015234e-52,0.0,0.0,0.06599999999999287,0.0,2.875283546854507e-14,4.695626021669843e-15,4.6956260216698585e-15,2.4456385528618212e-15,7.935784420519419e-30,1.9685932841894923e-34,1.777911682965049e-57,4.025582739858433e-45,2.538246518875997e-63
4.670625293612224e-19,0.05595639656,0.054,0.0,0.0,0.02973682729135131,0.8799999999999704,1.5718150112066362e-50,0.0,0.0,0.0659999999999853,0.0,5.9197014199831e-14,9.667465338712682e-15,9.667465338712746e-15,5.035138196865355e-15,3.3141345244184256e-29,1.6841729424395775e-33,5.363127443939941e-56,3.384938992354506e-44,8.809413517585754e-62
9.474697024184797e-19,0.05595639656,0.054,0.0,0.0,0.029736827291265356,0.8799999999999399,5.2806409212892695e-49,0.0,0.0,0.06599999999997018,0.0,1.2008537166204878e-13,1.9611143972738637e-14,1.9611143972738905e-14,1.021413748424555e-14,1.3548313336708494e-28,1.3925066612954002e-32,1.65989741426319e-54,2.7771352557690393e-43,2.935938440018753e-60
1.908284048532994e-18,0.05595639656,0.054,0.0,0.0,0.029736827291093445,0.8799999999998791,1.7310671126002202e-47,0.0,0.0,0.06599999999993994,0.0,2.4186208658506785e-13,3.949850124055168e-14,3.949850124055277e-14,2.0572136056498447e-14,5.483714331615783e-28,1.132363134301628e-31,5.218339626863311e-53,2.252167540953328e-42,9.596685259368783e-59
3.829912740762024e-18,0.05595639656,0.054,0.0,0.0,0.029736827290749626,0.8799999999997573,5.606348596796828e-46,0.0,0.0,0.06599999999987945,0.0,4.854155164254403e-13,7.927321577522219e-14,7.927321577522661e-14,4.1288133190974265e-14,2.21082338811638e-27,9.132916380419265e-31,1.6546799927887e-51,1.8178479157258033e-41,3.1100788985267597e-57
7.673170125220082e-18,0.05595639656,0.054,0.0,0.0,0.02973682729006199,0.8799999999995137,1.804813967962875e-44,0.0,0.0,0.06599999999975846,0.0,9.725223760835225e-13,1.588226448407408e-13,1.5882264484075862e-13,8.272012741980607e-14,8.913280408854152e-27,7.336051050515682e-30,5.270478615076961e-50,1.4669130501357006e-40,1.0056885591857193e-55
