Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7536779543236472e-20,0.05595639656,0.054,0.0,0.0,0.029736827291431737,0.8799999999999989,-2.6638606514497695e-56,3.2747442750800916e-92,1.5594038560598109e-96,0.06599999999999945,0.0,2.222668106267943e-15,3.6298396409444863e-16,3.629839640944488e-16,1.8905414796506484e-16,6.904410171860674e-32,1.5308145903494961e-37,2.2693781765998543e-61,4.5357873305521886e-48,3.141904027142693e-68,1.4792365231167128e-76,1.193599027538638e-81
4.910298272106212e-20,0.05595639656,0.054,0.0,0.0,0.029736827291426092,0.8799999999999969,2.6320647816702234e-55,8.029490581854366e-87,3.1181857432550814e-94,0.06599999999999845,0.0,6.223470697548714e-15,1.0163550994641989e-15,1.0163550994641997e-15,5.293516142994752e-16,4.17044101649462e-31,2.3133668803833998e-36,2.7481066594655576e-60,5.385126013618327e-47,1.9119079006396222e-66,1.6350503816173285e-74,1.6259035579481113e-76
1.1223538907671343e-19,0.05595639656,0.054,0.0,0.0,0.029736827291414795,0.8799999999999929,1.4517017306427104e-53,3.1776902017929984e-85,5.6457090956067273e-92,0.06599999999999646,0.0,1.4225075880104142e-14,2.3230973702026677e-15,2.3230973702026713e-15,1.2099465469574697e-15,2.0080633220837682e-30,2.488614494264927e-35,7.654195263043034e-59,5.287640246996597e-46,8.632089894078195e-65,1.4794139508410711e-72,3.135993821720973e-75
2.38500201788016e-19,0.05595639656,0.054,0.0,0.0,0.029736827291392202,0.8799999999999849,5.713395913595126e-52,1.0924703511545876e-83,8.556316650380541e-90,0.0659999999999925,0.0,3.022828624519053e-14,4.936581911675481e-15,4.936581911675497e-15,2.5711364122301556e-15,8.771272671022197e-30,2.2874654285460157e-34,2.252481162162228e-57,4.677726404269452e-45,3.259908634683236e-63,1.1198459174713846e-70,5.3695569751070644e-74
4.910298272106213e-19,0.05595639656,0.054,0.0,0.0,0.02973682729134702,0.8799999999999689,2.0186715623099242e-50,3.6128961266256504e-82,1.1899957485750522e-87,0.06599999999998454,0.0,6.223470697526546e-14,1.0163550994604604e-14,1.0163550994604676e-14,5.293516142602311e-15,3.663112720741368e-29,1.9569747624029827e-33,6.836312790280543e-56,3.9333696747124154e-44,1.131426490208975e-61,7.782658732952958e-69,8.868275481931794e-73
9.960890780558318e-19,0.05595639656,0.054,0.0,0.0,0.029736827291256655,0.8799999999999369,6.781891981774232e-49,1.1755223212343416e-80,1.5878884374204547e-85,0.06599999999996864,0.0,1.2624754843502395e-13,2.0617489160396843e-14,2.0617489160397146e-14,1.0738275602653766e-14,1.497545972841372e-28,1.61806446018223e-32,2.1233825671700173e-54,3.2272057448930022e-43,3.7708712814929796e-60,5.190863016318983e-67,1.441990041606618e-71
2.0062075797462528e-18,0.05595639656,0.054,0.0,0.0,0.029736827291075924,0.8799999999998729,2.223197953410939e-47,3.7977367842486054e-79,2.0772181463149505e-83,0.06599999999993685,0.0,2.5427323135297544e-13,4.152536549171731e-14,4.1525365491718525e-14,2.162779451998523e-14,6.061767226523861e-28,1.315782955705722e-31,6.688282713374418e-53,2.61734918928863e-42,1.2326699072981537e-58,3.3947360260331102e-65,2.328778480677855e-70
4.026444583127094e-18,0.05595639656,0.054,0.0,0.0,0.029736827290714463,0.8799999999997449,7.200196030406995e-46,1.2242834944236166e-77,2.6936535602800095e-81,0.06599999999987326,0.0,5.103245971826164e-13,8.33411181533021e-14,8.334111815330699e-14,4.3406832343562414e-14,2.4442028438401407e-27,1.0612263129003701e-30,2.122908405553523e-51,2.1129100399820118e-41,3.995381942499729e-57,2.2009299675980114e-63,3.7534044012630355e-69
8.066918589888777e-18,0.05595639656,0.054,0.0,0.0,0.029736827289991538,0.8799999999994889,2.3179104510841533e-44,3.9528666381411603e-76,3.4852820473140935e-79,0.06599999999974607,0.0,1.0224273288168502e-12,1.6697262347224688e-13,1.6697262347226657e-13,8.696490794637378e-14,9.856831604752845e-27,8.524341910572675e-30,6.76533530198085e-50,1.7055009699415227e-40,1.2923266572583135e-55,1.4238522396388852e-61,6.059643295037731e-68
1.6147866603412142e-17,0.05595639656,0.054,0.0,0.0,0.02973682728854569,0.8799999999989767,7.439539407933232e-43,1.2838538621383553e-74,4.523664634778498e-77,0.06599999999949169,0.0,2.0466327919851253e-12,3.342356340932351e-13,3.342356340933148e-13,1.7408105897462495e-13,3.9915187494516543e-26,6.833307200293897e-29,2.160420592313549e-48,1.3825700327400711e-39,4.1936965116989664e-54,9.240552647898888e-60,9.842433503749899e-67
3.230976263045888e-17,0.05595639656,0.054,0.0,0.0,0.029736827285653997,0.8799999999979525,2.3842107582338106e-41,4.224241518465862e-73,5.929381801924007e-75,0.06599999999898293,0.0,4.095043717920903e-12,6.687616552675881e-13,6.687616552679142e-13,3.4831336032164306e-13,1.6325863109502757e-25,5.472175094736864e-28,6.906200756866998e-47,1.132767274215264e-38,1.3745356981904439e-52,6.056475003556909e-58,1.619881674036015e-65
