Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.794946611284249e-20,0.05595639656,0.054,0.0,0.0,0.029736827291431667,0.8799999999999989,-2.992402248395905e-56,3.765333174451318e-92,1.8351363019559001e-96,0.06599999999999945,0.0,2.274973335622441e-15,3.715259319395014e-16,3.715259319395016e-16,1.9350308955099193e-16,7.233196426007928e-32,1.6414500434400763e-37,2.4707775847498848e-61,4.8636026466003117e-48,3.529386753670738e-68,1.700770250818212e-76,1.3408579839919217e-81,2.483270033012746e-90
5.0258505115958974e-20,0.05595639656,0.054,0.0,0.0,0.029736827291425884,0.8799999999999969,2.956684868205635e-55,9.019812120650852e-87,3.669564469183532e-94,0.06599999999999842,0.0,6.369925339741232e-15,1.0402726094303335e-15,1.0402726094303345e-15,5.418086507399419e-16,4.369040725905239e-31,2.480559179244828e-36,3.035703238061169e-60,5.7743316896028535e-47,2.1477125865470016e-66,1.8799313961168648e-74,1.7844424453839595e-76,5.948644672699227e-85
1.1487658312219195e-19,0.05595639656,0.054,0.0,0.0,0.029736827291414324,0.8799999999999928,1.6307442639361326e-53,3.5696204089852565e-85,6.644036899514848e-92,0.06599999999999638,0.0,1.455982934797241e-14,2.377765964410918e-15,2.377765964410922e-15,1.2384197731065005e-15,2.103693216590498e-30,2.66847233798273e-35,8.508849398145435e-59,5.6698126211345916e-46,9.696748330893437e-65,1.7009892203813466e-72,3.4417871739712466e-75,2.354195754406733e-83
2.441127391346579e-19,0.05595639656,0.054,0.0,0.0,0.0297368272913912,0.8799999999999846,6.418045397059472e-52,1.2272198745693834e-83,1.0069368497327181e-89,0.06599999999999231,0.0,3.0939637364409134e-14,5.052752674367764e-15,5.052752674367782e-15,2.631642017794251e-15,9.189024307464281e-30,2.4527857696704754e-34,2.514744496444131e-57,5.015838224869525e-45,3.6619926258701347e-63,1.2875733417070206e-70,5.893177869886884e-74,8.093621952645037e-82
5.025850511595898e-19,0.05595639656,0.054,0.0,0.0,0.029736827291344952,0.8799999999999681,2.2676401064706465e-50,4.0585667905281527e-82,1.4004399123665508e-87,0.06599999999998418,0.0,6.369925339718009e-14,1.040272609426417e-14,1.0402726094264248e-14,5.418086506988291e-15,3.837608244884708e-29,2.0984097878974463e-33,7.653526393853548e-56,4.217715276273566e-44,1.2709899229494428e-61,8.948400030538051e-69,9.733181997570803e-73,2.6766601301029945e-80
1.0195296752094534e-18,0.05595639656,0.054,0.0,0.0,0.02973682729125246,0.8799999999999354,7.61832212673382e-49,1.3205568376073868e-80,1.8687293841796627e-85,0.0659999999999679,0.0,1.2921848546231194e-13,2.1102672933987834e-14,2.1102672933988143e-14,1.0990975484650515e-14,1.5689086055527153e-28,1.7350056628848595e-32,2.3810312790755847e-54,3.4605626620110044e-43,4.2360874641591953e-60,5.968488467372282e-67,1.5826579748749851e-71,8.709187208898445e-79
2.053418923309181e-18,0.05595639656,0.054,0.0,0.0,0.029736827291067476,0.8799999999998699,2.4973913104340106e-47,4.2664733180305536e-79,2.4446867952195777e-83,0.06599999999993536,0.0,2.6025694959093566e-13,4.250256661315856e-14,4.250256661315983e-14,2.2136753437071554e-14,6.350836879436817e-28,1.4108775809921008e-31,7.506324743457772e-53,2.8067054865090386e-42,1.384793031746879e-58,3.9034223840435654e-65,2.5560610969201843e-70,2.8137762020050546e-77
4.121197419508636e-18,0.05595639656,0.054,0.0,0.0,0.029736827290697508,0.8799999999997389,8.088216729036212e-46,1.3755042092468638e-77,3.170385980196725e-81,0.06599999999987027,0.0,5.223338778416229e-13,8.530235397039359e-14,8.530235397039871e-14,4.442830933029999e-14,2.5609274184698617e-27,1.1379235431637175e-30,2.3836325066954458e-51,2.2659290260816963e-41,4.488756073719259e-57,2.530901004431489e-63,4.120071334925821e-69,9.07156930523976e-76
8.256754411907546e-18,0.05595639656,0.054,0.0,0.0,0.029736827289957572,0.8799999999994768,2.603784918540664e-44,4.441840899896996e-76,4.102669159072151e-79,0.06599999999974009,0.0,1.0464877343167564e-12,1.7090192868043763e-13,1.7090192868045828e-13,8.90114210703023e-14,1.0328887110891924e-26,9.14041529072183e-30,7.597959282759378e-50,1.829266946602128e-40,1.4521077952544445e-55,1.6375412551420356e-61,6.6527079825217445e-68,2.929432258208887e-74
