Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46),O2X2(47)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.874760591947911e-20,0.05595639656,0.054,0.0,0.0,0.02973682729143152,0.8799999999999989,-3.7195582323285333e-56,4.887667765420499e-92,2.488422903860049e-96,0.06599999999999942,0.0,2.376132153761194e-15,3.880461801527031e-16,3.8804618015270317e-16,2.0210738549529223e-16,7.890769901366286e-32,1.8702966259140036e-37,2.8946779425437142e-61,5.541681387171799e-48,4.386989088177809e-68,2.208041511630347e-76,1.6664288229776717e-81,3.2234594736880312e-90,3.095087270538651e-128,9.406249643338244e-49
5.2493296574541515e-20,0.05595639656,0.054,0.0,0.0,0.029736827291425485,0.8799999999999967,3.6751616025346095e-55,1.1211685150598746e-86,4.975947832532864e-94,0.06599999999999834,0.0,6.653170030529598e-15,1.0865293044272744e-15,1.0865293044272754e-15,5.65900679383725e-16,4.766241606111541e-31,2.8263922419352254e-36,3.6579431535997253e-60,6.579396691728083e-47,2.669617097909124e-66,2.4406698953960606e-74,2.1236433697385284e-76,7.394204030744393e-85,5.500993907210063e-126,1.421472311007404e-47
1.1998467788466632e-19,0.05595639656,0.054,0.0,0.0,0.029736827291413408,0.8799999999999923,2.0270163947456737e-53,4.437080849388438e-85,9.009387426695954e-92,0.06599999999999621,0.0,1.520724578405941e-14,2.4834955529752373e-15,2.4834955529752416e-15,1.2934872671482183e-15,2.2949545776924277e-30,3.0405037684291583e-35,1.0375562132207773e-58,6.460332769700825e-46,1.2053157254738942e-64,2.2083632890621942e-72,4.096048468103367e-75,2.9262934708749784e-83,1.965227473157209e-123,1.5291549631004932e-46
2.549674405049159e-19,0.05595639656,0.054,0.0,0.0,0.029736827291389257,0.8799999999999838,7.97763544081e-52,1.5254642094378884e-83,1.365428721236424e-89,0.06599999999999197,0.0,3.2315397291091085e-14,5.277428050066449e-15,5.27742805006647e-15,2.7486604426277145e-15,1.0024542030547547e-29,2.7947467415955767e-34,3.0908807298625547e-57,5.715225527974499e-45,4.5519321057475387e-63,1.6716467908158887e-70,7.013503877785834e-74,1.0060569313054073e-81,5.847580152810973e-121,1.405556719266518e-45
5.249329657454151e-19,0.05595639656,0.054,0.0,0.0,0.029736827291340955,0.8799999999999667,2.8186784187990226e-50,5.0449986693532587e-82,1.8990587614910598e-87,0.06599999999998347,0.0,6.65317003050426e-14,1.0865293044230013e-14,1.0865293044230098e-14,5.659006793388748e-15,4.186611655620722e-29,2.390964584125552e-33,9.45503367993915e-56,4.80589678246119e-44,1.579892822911122e-61,1.161783181741366e-68,1.1583750481908124e-72,3.3272205399181166e-80,1.5750934804704416e-118,1.202483123188781e-44
1.0648640162264134e-18,0.05595639656,0.054,0.0,0.0,0.029736827291244352,0.8799999999999325,9.46958030730759e-49,1.6415831122985014e-80,2.5341631331780468e-85,0.06599999999996647,0.0,1.3496430633249834e-13,2.2041023032481713e-14,2.204102303248205e-14,1.1479699494118975e-14,1.7116440924875618e-28,1.9768956013445036e-32,2.950102372849877e-54,3.943288370933296e-43,5.265805784914241e-60,7.749226233619859e-67,1.8836452714097584e-71,1.082638340344843e-78,3.961487779413322e-116,9.942358995347286e-44
2.14472611718841e-18,0.05595639656,0.054,0.0,0.0,0.029736827291051142,0.8799999999998641,3.10425931400764e-47,5.304073985240889e-79,3.3154294371193524e-83,0.06599999999993249,0.0,2.718295183856207e-13,4.439248300868336e-14,4.439248300868475e-14,2.312108489241207e-14,6.929059304902057e-28,1.6075784218583832e-31,9.314979527628796e-53,3.198437647821732e-42,1.7215257937802862e-58,5.0683669357989885e-65,3.042416022239198e-70,3.4980828453935484e-77,9.303224465683826e-114,8.084954703491138e-43
4.304450319112403e-18,0.05595639656,0.054,0.0,0.0,0.029736827290664722,0.8799999999997272,1.005365946582237e-45,1.7102975801524934e-77,4.300166961109157e-81,0.0659999999998645,0.0,5.455599424847089e-13,8.909540295987964e-14,8.909540295988523e-14,4.640385567632883e-14,2.794443606729628e-27,1.296569832965006e-30,2.9603828884678795e-51,2.5825312498341844e-41,5.580999161249222e-57,3.28665786315624e-63,4.904812702730809e-69,1.1279560517443956e-75,2.0035060204451793e-111,6.520798360003215e-42
8.62389872296039e-18,0.05595639656,0.054,0.0,0.0,0.029736827289891885,0.8799999999994534,3.236506524089057e-44,5.5247163049654415e-76,5.566114307911393e-79,0.06599999999972853,0.0,1.0930207906542584e-12,1.7850124285744388e-13,1.785012428574664e-13,9.296939719348468e-14,1.127353661687799e-26,1.0414747532416097e-29,9.440302270878303e-50,2.085412672895047e-40,1.805920272581925e-55,2.127083160928162e-61,7.92237777251043e-68,3.643597868372082e-74,3.8721258404400594e-109,5.237842981127416e-41
