Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46),O2X2(47),ONOOJ(35)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9134195167293866e-20,0.05595639656,0.054,0.0,0.0,0.029736827291431452,0.8799999999999988,-4.119203796118759e-56,5.525072244362085e-92,2.8706012477980596e-96,0.06599999999999939,0.0,2.4251297242230486e-15,3.960479741709312e-16,3.9604797417093136e-16,2.062749865464149e-16,8.219557108713778e-32,1.9883995161149315e-37,3.116881096675222e-61,5.89162377785037e-48,4.858323911965175e-68,2.4956951197340517e-76,1.8456896158861329e-81,3.643833280705213e-90,3.643672626440988e-128,1.000022232879643e-48,9.802995339769813e-114
5.3575746468422825e-20,0.05595639656,0.054,0.0,0.0,0.02973682729142529,0.8799999999999966,4.070037009902055e-55,1.2416345253568011e-86,5.740201637412001e-94,0.06599999999999832,0.0,6.790363227822718e-15,1.108934327678301e-15,1.108934327678302e-15,5.775699623267399e-16,4.964842756002686e-31,3.0048692763897615e-36,3.9928808270283764e-60,6.994874886513576e-47,2.9564570590381166e-66,2.7586461911776463e-74,2.3043054673570048e-76,8.188687863167973e-85,6.475621194057136e-126,1.5112334393816086e-47,3.538266040750418e-111
1.2245884907068075e-19,0.05595639656,0.054,0.0,0.0,0.029736827291412967,0.8799999999999922,2.244807882185256e-53,4.913841576388819e-85,1.0393157973272631e-91,0.06599999999999616,0.0,1.5520830235014776e-14,2.5347070346918124e-15,2.5347070346918175e-15,1.3201599138745017e-15,2.3905860218026754e-30,3.2325012116212206e-35,1.1389244155405957e-58,6.868306347114605e-46,1.3348250147788701e-64,2.4960794576262343e-72,4.444516632297903e-75,3.2407213231268983e-83,2.3130560875139844e-123,1.6257158810053607e-46,1.281258974882101e-108
2.602250542751966e-19,0.05595639656,0.054,0.0,0.0,0.029736827291388317,0.8799999999999835,8.834787402761826e-52,1.6893822676965745e-83,1.5751540324210214e-89,0.06599999999999183,0.0,3.298176424936978e-14,5.386252448713924e-15,5.386252448713945e-15,2.8053398169184734e-15,1.0442307910515943e-29,2.9712254652202322e-34,3.405392552256611e-57,6.076170037478079e-45,5.041050395443518e-63,1.8894445123771734e-70,7.610209799088464e-74,1.1141623181481512e-81,6.880426878701935e-121,1.4943128266486757e-45,3.8857582107546983e-106
5.357574646842282e-19,0.05595639656,0.054,0.0,0.0,0.02973682729133902,0.879999999999966,3.121529524837443e-50,5.587161001091098e-82,2.190765278576934e-87,0.06599999999998316,0.0,6.790363227796329e-14,1.1089343276738503e-14,1.1089343276738593e-14,5.775699622800208e-15,4.3611193654007206e-29,2.541945839776643e-33,1.0441584823200434e-55,5.109454484404765e-44,1.749670949365528e-61,1.3131615952300106e-68,1.2569415204615996e-72,3.6847813164315944e-80,1.8522012506629714e-118,1.2784158210811428e-44,1.0812043448685336e-103
1.0868222855022916e-18,0.05595639656,0.054,0.0,0.0,0.02973682729124042,0.8799999999999311,1.048703331082236e-48,1.818031661719726e-80,2.923471786814327e-85,0.06599999999996581,0.0,1.3774736833468434e-13,2.2495524932709082e-14,2.249552493270944e-14,1.1716419233738845e-14,1.7830168005189438e-28,2.10172981014449e-32,3.2622831678754114e-54,4.1924290755935945e-43,5.8317724041126e-60,8.759077057518104e-67,2.0439655437020876e-71,1.1990076927934212e-78,4.653391284117097e-116,1.0570184884788848e-43,2.886071775002908e-101
2.1889519271384183e-18,0.05595639656,0.054,0.0,0.0,0.029736827291043228,0.8799999999998612,3.43779446103617e-47,5.874419745744377e-79,3.824880631879087e-83,0.06599999999993111,0.0,2.7743484044626283e-13,4.530788824433593e-14,4.530788824433738e-14,2.3597858452316787e-14,7.218210888644304e-28,1.7090915060180467e-31,1.0308078470105068e-52,3.400628801761731e-42,1.9066157893475133e-58,5.729040184563798e-65,3.3014912862492356e-70,3.8742308227463254e-77,1.090813554483194e-113,8.59549173605844e-43,7.552462636799047e-99
4.393211210410672e-18,0.05595639656,0.054,0.0,0.0,0.029736827290648842,0.8799999999997216,1.1133868375905981e-45,1.894351648180142e-77,4.961246801592448e-81,0.06599999999986172,0.0,5.56809784661965e-13,9.09326148663323e-14,9.093261486633813e-14,4.736073687627534e-14,2.911234261541315e-27,1.3784437786385284e-30,3.27721436590332e-51,2.745965819048086e-41,6.18143560856673e-57,3.7153167052994245e-63,5.322896673944037e-69,1.2493412996904362e-75,2.342785561117927e-111,6.93256407850769e-42,1.959320733567337e-96
8.801729776955179e-18,0.05595639656,0.054,0.0,0.0,0.029736827289860067,0.8799999999994422,3.5842508198225387e-44,6.120195993605755e-76,6.422617738936595e-79,0.06599999999972295,0.0,1.11555967306355e-12,1.8218206810529548e-13,1.8218206810531896e-13,9.488649367140322e-14,1.1746122914974468e-26,1.1072403038553442e-29,1.0452613415671675e-49,2.217673133061327e-40,2.000465399156353e-55,2.4048083067218065e-61,8.599013569942602e-68,4.036321823750281e-74,4.512932361571083e-109,5.568594163224421e-41,5.072932966804512e-94
