,Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s].1,NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s].1,NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s].1,HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s].1,N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.02,0.88,0.1,0.022727272727272728,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.09999054204717228,0.0,0.0,0.8796330314301054,0.0005674771696860855,0.00018915905639807119,3.278728395125973e-13,0.019619790296310308,0.0,0.00016171717423135636,3.4901362285418607e-13,0.258624537927977,3.1851889592843123e-10,2.2488319678793013e-10,3.339301610024909e-09,1.1219026692449243e-06,0.7410923135248899,7.667781878940757e-06,4.182134676397771e-06,0.00010216904237008558,5.685123419019151e-07,1.0320960053006082e-14,1.3956858087887856e-09,5.71672021645422e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.939426009357918e-09,5.878852015311494e-09,1.9596173367447465e-09,3.4043030938957117e-18,-3.919234676927007e-09,0.0,-7.082764424568966e-18,-1.90346099714938e-25,1.9405959889980667e-20,6.771622757011887e-24,5.70754622661589e-23,4.3840572465310467e-23,-4.435756034815611e-23,-7.049469547036939e-18,1.366978704295975e-24,5.2634067829484994e-20,7.663121445492197e-24,-2.321396763011976e-25,-2.9999154438553025e-25,-4.602392321948884e-25,7.030038694229734e-18,3.915484043939756e-09,2.939426009357918e-09,5.392401278385782e-09,-5.878850949342888e-09,-5.157569839632866e-09,4.640394634404586e-13,1.7218335370681525e-09,7.386688615045058e-10,7.201398690003606e-10,7.386688615045058e-10,1.9592170922936997e-09,1.9592170922936997e-09,-3.4043030938957117e-18,3.918434195591972e-09,-1.0103945899954827e-18,3.8136124868044346e-22,-1.0646662423013082e-17,3.918434188232567e-09,3.2800151899884674e-16,2.257985028738311e-14,3.3860062294773925e-13,-7.6909250171832e-14,-3.2508121636577466e-22,3.9180263469580665e-09,2.257985028738311e-14,3.3860062294773925e-13,-1.176123654149408e-09,4.0783424446164706e-13,-1.9592095025002847e-09,-7.834936825953384e-10,-7.834936825952942e-10,-6.524281615983904e-19,3.752515896998635e-12,1.5813666219964945e-24,-1.0659686054476227e-15,3.750632987250865e-12,1.607737091467531e-15,4.464003563968549e-16,8.940884783534311e-16,6.902195731339305e-25,6.524277013591582e-19
1000,8.98201798201798,498,101324.99999999996,2.7710000000000005e-08,0.03,0.88,0.09,0.03409090909090909,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.08998989416372087,0.0,0.0,0.8795643261691377,0.0006737224185859522,0.00022457413935151626,3.5419555176661616e-13,0.02954748310884963,0.0,0.00017636975508700402,5.395145210881692e-13,0.19842567439509806,3.449835103117821e-10,2.9075226402070306e-10,4.1123636389883425e-09,1.26721732083854e-06,0.8012148723128291,9.21878517367366e-06,6.869464380129309e-06,0.00015836178119398608,6.199936410193286e-07,1.5877392436948882e-14,1.061511065108414e-09,6.740485110484859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.495937467020831e-09,6.9918749303612116e-09,2.330624974960339e-09,3.6804522097478165e-18,-4.661249953567904e-09,0.0,4.977301462481881e-18,1.3274453836400074e-25,2.692124016164501e-20,5.381181291205953e-24,4.2186211240204406e-23,3.019209235818551e-23,-3.0088694781616376e-23,4.94410422295829e-18,9.46586543471806e-25,-6.275811192427689e-21,2.0032658443444872e-23,-1.346692850295377e-24,-2.4479381780930475e-24,1.2593233684726427e-25,-4.9710764171400654e-18,4.654538831848376e-09,3.495937467020831e-09,6.7892288101001025e-09,-6.991873145081289e-09,-6.052169417651676e-09,8.255534881692931e-13,1.588262700858438e-09,1.0677171272449484e-09,9.377413033058324e-10,1.0677171272449484e-09,2.329919060610924e-09,2.329919060610924e-09,-3.6804522097478165e-18,4.6598381360772265e-09,-1.7897902982609575e-18,6.3552043394187065e-22,-1.3838633112015419e-17,4.659838112597292e-09,3.900624618894285e-16,4.207800773534562e-14,5.68435317508196e-13,-1.88904241551745e-13,-5.447518761092175e-22,4.6593137034768565e-09,4.207800773534562e-14,5.68435317508196e-13,-1.4466936594246426e-09,5.244140915120217e-13,-2.3301005608688267e-09,-8.839313155356956e-10,-8.839313155356657e-10,-7.729541671116545e-19,6.714310914706184e-12,2.648488712632165e-24,-1.7852799224257624e-15,6.711121719527924e-12,2.876981956031188e-15,5.853229290783495e-16,1.511397262901234e-15,1.162381053746444e-24,7.729542930439914e-19
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.04,0.8800000000000001,0.07999999999999999,0.045454545454545456,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.07999008854958356,0.0,0.0,0.8795192946546089,0.0007433587812461424,0.00024778626023020143,3.7031270998004467e-13,0.0394994717539609,0.0,0.0001853505185589071,7.317766435867687e-13,0.1615539685449301,3.610472383242492e-10,3.3687554238612595e-10,4.629865726439202e-09,1.3577720705075623e-06,0.838016598031649,1.0222763975469883e-05,9.651184863433958e-06,0.0002147843733933209,6.515437232083485e-07,2.1443281213288912e-14,8.601579670603277e-10,7.409078136282425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.860825973367364e-09,7.721651942878781e-09,2.573883979056749e-09,3.849483804732659e-18,-5.1477679619799986e-09,0.0,-3.9305907235772725e-16,-4.080396776939581e-24,3.932267579189338e-20,8.67405779996754e-24,6.574431508571463e-21,6.5595422575455085e-22,-6.42305745647426e-22,-3.9303495387455965e-16,3.2189899166736725e-24,5.641751371010582e-20,2.799321752666793e-23,-1.4865724038317187e-23,-1.4701626207970786e-24,1.540612078708701e-24,3.9299551177502287e-16,5.13786509762456e-09,3.860825973367364e-09,7.762649245032539e-09,-7.721649408026165e-09,-6.630536443984593e-09,1.2138663525433684e-12,1.433957033919104e-09,1.312937845822833e-09,1.0882853766546428e-09,1.312937845822833e-09,2.572837123600509e-09,2.572837123600509e-09,-3.849483804732659e-18,5.145674265028025e-09,-2.6268661767429923e-18,8.983796152818978e-22,-1.6050583513452967e-17,5.145674636386488e-09,4.3073052001353104e-16,6.328510878928492e-14,8.0686052002865e-13,-3.5083846403445545e-13,-7.727767993654731e-22,5.145068479860805e-09,6.328510878928492e-14,8.0686052002865e-13,-1.6275081842409956e-09,6.057635301711616e-13,-2.5732782155265907e-09,-9.463757948157531e-10,-9.463757948151108e-10,-8.503145795394512e-19,9.907412159767607e-12,3.760510524428839e-24,-2.534852615553505e-15,9.902864355438897e-12,4.245419438502023e-15,6.821176169719749e-16,2.1542695707000347e-15,1.65053618243065e-24,8.5031612015152995e-19
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.05,0.88,0.06999999999999999,0.05681818181818182,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.0699907505171701,0.0,0.0,0.879487314380091,0.0007928128139971353,0.00026427093780842986,3.812873818600701e-13,0.04946485135055203,0.0,0.00019147255472198884,9.258149988132252e-13,0.13644005303357604,3.7193217553435666e-10,3.709708091241596e-10,5.001847031535805e-09,1.4201011048492496e-06,0.8630637218649052,1.0928137765579942e-05,1.248561375999077e-05,0.0002713566212649411,6.730492851703646e-07,2.701700282026353e-14,7.242357851097741e-10,7.882553677425348e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.119926573314411e-09,8.239853142661828e-09,2.746617712251625e-09,3.964524983970117e-18,-5.493235426762828e-09,0.0,-1.0782877238630763e-16,3.793383490035294e-25,2.4812355426443275e-20,-4.468019460882892e-23,2.5758404274901278e-21,4.739744909928849e-22,-4.739744909928849e-22,-1.0953078363171196e-16,4.3053027873117423e-23,-1.6801394742940543e-18,3.1116839287496267e-23,-1.3648783029712562e-23,1.3509592390253642e-23,-2.494669593035388e-24,1.0950590030051462e-16,5.480006284744408e-09,4.119926573314411e-09,8.479294818737992e-09,-8.239849838365055e-09,-7.037681865945959e-09,1.6177138345459342e-12,1.2946064795199515e-09,1.500370490017551e-09,1.1984500350798672e-09,1.500370490017551e-09,2.7451990777329503e-09,2.7451990777329503e-09,-3.964524983970117e-18,5.490398175730237e-09,-3.4974597426442566e-18,1.1661260065079004e-21,-1.767089013164562e-17,5.490398261032148e-09,4.595864590728041e-16,8.547058749873241e-14,1.0501117530432694e-12,-5.628371306519293e-13,-1.0054990085547672e-21,5.489732405204509e-09,8.547058749873241e-14,1.0501117530432694e-12,-1.7573281441607927e-09,6.657463217381573e-13,-2.7459519659298875e-09,-9.892895680908332e-10,-9.892895680903592e-10,-9.038392656286498e-19,1.3235075035678705e-11,4.902015991691485e-24,-3.3042967731670934e-15,1.3229142018419824e-11,5.67156464720765e-15,7.532677615903795e-16,2.8115777896166746e-15,2.1459674016005782e-24,9.038367709590568e-19
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.06,0.88,0.06,0.06818181818181818,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.05999170145862703,0.0,0.0,0.8794633609910201,0.000829854137296861,0.0002766180455709284,3.8926959676479246e-13,0.0594384653670959,0.0,0.00019593176387829812,1.1216166963255594e-12,0.11816671983154725,3.798269928348846e-10,3.9721066426585403e-10,5.2826533564147885e-09,1.4657921351762866e-06,0.8812721102469638,1.1451870776490728e-05,1.535277422190451e-05,0.000328036018907084,6.887128056837046e-07,3.259710307271304e-14,6.258959316572156e-10,8.236302023267724e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3139387308678585e-09,8.627877457684085e-09,2.8759591505589816e-09,4.0481553363111294e-18,-5.751918305151678e-09,0.0,-5.929704287323547e-16,1.5049282470267742e-24,4.074969755474003e-20,5.2235172044822366e-23,3.6611013911597005e-21,-4.896909226313924e-22,4.764560328305438e-22,-5.929818924733678e-16,8.074162547753487e-24,2.6441544416075898e-20,1.1641475653735398e-22,5.917087877881765e-25,3.1242182420358605e-23,-3.6336103845811046e-24,5.929408836675985e-16,5.735277350660381e-09,4.3139387308678585e-09,9.028700275008028e-09,-8.627873368986192e-09,-7.340706015661342e-09,2.031431816152879e-12,1.1749544092263315e-09,1.647622472595254e-09,1.282543125250917e-09,1.647622472595254e-09,2.874139999351307e-09,2.874139999351307e-09,-4.0481553363111294e-18,5.7482800210574685e-09,-4.389335771611313e-18,1.4369463900692691e-21,-1.8908431077768372e-17,5.748280587636323e-09,4.811730856169062e-16,1.082748944090334e-13,1.2963981299991156e-12,-8.250012022018579e-13,-1.2411652651650774e-21,5.747568183054985e-09,1.082748944090334e-13,1.2963981299991156e-12,-1.8552466339166544e-09,7.118116404541187e-13,-2.8752473389185144e-09,-1.020712516642327e-09,-1.0207125166428037e-09,-9.426861487359776e-19,1.664828688422743e-11,6.065713062394099e-24,-4.088697893268018e-15,1.6640954491296656e-11,7.134399750871092e-15,8.077512419863947e-16,3.4779971535993836e-15,2.644500066813797e-24,9.426825151255929e-19
1000,8.98201798201798,498,101324.99999999996,2.7710000000000005e-08,0.07,0.88,0.04999999999999999,0.07954545454545456,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.04999284428353789,0.0,0.0,0.8794447164023298,0.0008586859754729322,0.000286228658293318,3.953459066871353e-13,0.06941752467997066,0.0,0.00019933271405654223,1.3191655116165272e-12,0.10424859017793713,3.858283204393832e-10,4.1804056225288265e-10,5.5024276926802276e-09,1.5007995144103943e-06,0.8951264624336007,1.1856630175967578e-05,1.824180787988359e-05,0.0003847969260681188,7.006585739378178e-07,3.8182455482366615e-14,5.512870328563833e-10,8.510993252142551e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464902610226823e-09,8.929805216344882e-09,2.976601736723519e-09,4.111787445130295e-18,-5.953203480917652e-09,0.0,4.3623713250582287e-16,-4.863040479808075e-24,-2.5294359453226755e-21,1.6353768442149043e-22,-3.077111878697263e-21,-1.4732086709569423e-21,1.4719679000381127e-21,4.395914748263096e-16,-1.6556103469064276e-23,3.356404482586897e-18,2.6767926425381546e-23,-8.899259778655828e-24,-1.3377958631895522e-23,-2.059846516367716e-24,-4.39589036226677e-16,5.933092788715145e-09,4.464902610226823e-09,9.46318181862534e-09,-8.92980033095412e-09,-7.575405289820932e-09,2.4518437167040884e-12,1.0731998062375907e-09,1.7661432531874862e-09,1.348853709562302e-09,1.7661432531874862e-09,2.974354463920667e-09,2.974354463920667e-09,-4.111787445130295e-18,5.9487089520493796e-09,-5.295597897618056e-18,1.7098524480121453e-21,-1.988448672869233e-17,5.948708484138088e-09,4.979504853588682e-16,1.3149899290800372e-13,1.5447439246923962e-12,-1.1374153146277003e-12,-1.4788148595649752e-21,5.947960614479632e-09,1.3149899290800372e-13,1.5447439246923962e-12,-1.9318343784664282e-09,7.483092474923652e-13,-2.975853427476025e-09,-1.0447673582570907e-09,-1.0447673582585626e-09,-9.718205872834375e-19,2.0119431300103422e-11,7.2476470894336e-24,-4.8853907624065284e-15,2.0110692202506e-11,8.622081889039214e-15,8.508165412350353e-16,4.1506181102604345e-15,3.1438515194333603e-24,9.718185274369212e-19
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.08,0.88,0.04,0.09090909090909093,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.039994121363026616,0.0,0.0,0.8794297722133815,0.0008817955460078482,0.00029393184846925166,4.001294886581782e-13,0.07940037902871466,0.0,0.0002020165817673836,1.5184480357176929e-12,0.09328327884838312,3.9055123659125963e-10,4.3498770548380634e-10,5.679299963497535e-09,1.5285209477439953e-06,0.906028780117076,1.2179136768409587e-05,2.1146290499328884e-05,0.00044162277806453025,7.100853026996412e-07,4.37722237201171e-14,4.926750264368074e-10,8.730642114527786e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.585865321206542e-09,9.171730638244502e-09,3.0572435440264577e-09,4.1618608428580795e-18,-6.114487090986072e-09,0.0,-2.993506754898419e-16,1.3482102659328922e-24,4.708067924442832e-20,-2.655181075815033e-22,7.06246806997775e-21,-1.750314176162206e-21,1.7174337468132233e-21,-3.0057445200883593e-16,-5.263310054678125e-23,-1.1815973663928568e-18,1.719449672967907e-22,2.0578541117957398e-25,7.915587387986459e-23,-1.5363534336230193e-24,3.0052721545373685e-16,6.090865494043016e-09,4.585865321206542e-09,9.81533503974234e-09,-9.171724945445552e-09,-7.762755750344748e-09,2.8770277513972925e-12,9.864366500810167e-10,1.86352332952222e-09,1.4025030299349432e-09,1.86352332952222e-09,3.054541207756136e-09,3.054541207756136e-09,-4.1618608428580795e-18,6.1090824414039094e-09,-6.2120556480634785e-18,1.9842559496141398e-21,-2.0674115529416143e-17,6.109082711924785e-09,5.113749533085594e-16,1.5502342972247745e-13,1.7945687097668088e-12,-1.5001532927291904e-12,-1.717873116310793e-21,6.108304462725111e-09,1.5502342972247745e-13,1.7945687097668088e-12,-1.9934406759697405e-09,7.779486724582819e-13,-3.0564655953539665e-09,-1.063802868056717e-09,-1.0638028680584344e-09,-9.941861034807992e-19,2.3631745993827174e-11,8.445478939724244e-24,-5.692798949080913e-15,2.362159694305673e-11,1.0127422702794176e-14,8.857259374476538e-16,4.827706900865057e-15,3.64266049098995e-24,9.941845671273658e-19
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.09,0.88,0.03,0.10227272727272728,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.02999549623146917,0.0,0.0,0.8794175126031387,0.0009007537061737296,0.00030025123518933564,4.0399425785516166e-13,0.08938598622362508,0.0,0.00020419138322516552,1.7194543786773007e-12,0.08441584141560289,3.943690773002385e-10,4.490549294743513e-10,5.8248526690258855e-09,1.5510448182181832e-06,0.9148337740524292,1.2442377400648226e-05,2.4062179529004904e-05,0.0004985023180943715,7.177238068059555e-07,4.936578577169188e-14,4.4537978672435424e-10,8.910389668500638e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.685067702980613e-09,9.370135401768534e-09,3.123378465128237e-09,4.202301270081776e-18,-6.24675693225689e-09,0.0,4.998197449734165e-16,1.5608987834802883e-24,-4.658299731805668e-20,-8.220648631528573e-23,-9.982415632289936e-21,-2.7797404484844487e-21,2.7751909551154075e-21,4.976055339704488e-16,-2.271837247173235e-23,-2.2487020811040358e-18,-1.5147028602789286e-22,-3.7833112682126576e-23,-5.370830271108418e-23,-1.7306735271171947e-24,-4.975584426661248e-16,6.219594015469967e-09,4.685067702980613e-09,1.0106520145280614e-08,-9.370128891836992e-09,-7.915909303044121e-09,3.3057539835341048e-12,9.119604644429648e-10,1.9449429951365687e-09,1.4468228253311705e-09,1.9449429951365687e-09,3.120194534405189e-09,3.120194534405189e-09,-4.202301270081776e-18,6.240389096260716e-09,-7.136015298856147e-18,2.259784017000418e-21,-2.132621314519145e-17,6.240388567002596e-09,5.223663158116787e-16,1.7877210925785197e-13,2.045504732956485e-12,-1.913281478858579e-12,-1.9579736376862804e-21,6.239586558858871e-09,1.7877210925785197e-13,2.045504732956485e-12,-2.044117582994826e-09,8.025057021698557e-13,-3.1225759594260624e-09,-1.0792608821334103e-09,-1.0792608821361857e-09,-1.0116394076105152e-18,2.7174476451978874e-11,9.657738274270151e-24,-6.509931543280618e-15,2.7162916786924087e-11,1.1645810155830285e-14,9.146109858002902e-16,5.508163825840769e-15,4.1400626749953656e-24,1.0116376769369879e-18
1000,8.98201798201798,498,101324.99999999996,2.7710000000000005e-08,0.1,0.88,0.01999999999999999,0.11363636363636365,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.019996944655539032,0.0,0.0,0.8794072631743759,0.0009166033382797592,0.0003055344458896611,4.071818253487264e-13,0.09937365438550852,0.0,0.00020599150017158328,1.922177631572524e-12,0.0770940198278349,3.9752219825391134e-10,4.609279573077975e-10,5.946841042999562e-09,1.5697285872550056e-06,0.9220935515371438,1.266149439981008e-05,2.6986809110211555e-05,0.000555427569228734,7.24046181289704e-07,5.496267081121316e-14,4.063948039576933e-10,9.060273679493401e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.767980360633992e-09,9.535960717031989e-09,3.178653570524459e-09,4.2356445748155365e-18,-6.3573072839737055e-09,0.0,1.5762168748063078e-15,3.3764907424785286e-23,5.894902175069308e-19,-1.9388984870072296e-21,7.565393882409991e-21,4.854268065736815e-20,-4.8486639170867685e-20,1.7149548379431532e-15,-1.6360773160811025e-21,1.3928088402123583e-16,4.4906113403607504e-21,5.1659812244959064e-23,5.09516281915077e-23,1.2027893722475438e-24,-1.7155496489549006e-15,6.326579833217214e-09,4.767980360633992e-09,1.0351316238183252e-08,-9.535953380894785e-09,-8.043548273456486e-09,3.737200344067228e-12,8.475282143469552e-10,2.0140407691314394e-09,1.4840732919991866e-09,2.0140407691314394e-09,3.1749617787675104e-09,3.1749617787675104e-09,-4.2356445748155365e-18,6.349923586448869e-09,-8.065667577009885e-18,2.5361886970008777e-21,-2.1873984568779548e-17,6.349921838344486e-09,5.315351897922716e-16,2.0269427457096149e-13,2.2973075500300934e-12,-2.3768607109826398e-12,-2.198871020057625e-21,6.3491003611543585e-09,2.0269427457096149e-13,2.2973075500300934e-12,-2.0865759329546307e-09,8.2319273977595e-13,-3.177830377784739e-09,-1.0920776375698284e-09,-1.0920776375213418e-09,-1.0254095349664735e-18,3.074041997982894e-11,1.0883458607471496e-23,-7.336137203262536e-15,3.072745075649149e-11,1.317415536269718e-14,9.389224342625437e-16,6.191257373030211e-15,4.635482362561076e-24,1.025410737755846e-18
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.11,0.8799999999999999,0.009999999999999992,0.125,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.009998449891959598,0.0,0.0,0.8793985580801258,0.0009300648242313543,0.00031002160787221524,4.098555290445005e-13,0.1093629055954012,0.0,0.0002075077558653542,2.1266131880410942e-12,0.07094459331911783,4.0017260743537663e-10,4.710915697844809e-10,6.050657297705765e-09,1.585494177217962e-06,0.9281812316396952,1.2846876649809435e-05,2.9918355814783196e-05,0.0006123926699032026,7.293714833439223e-07,6.056251411693736e-14,3.736969242384991e-10,9.187219487629217e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.838381566861509e-09,9.67676312945872e-09,3.2255877076623807e-09,4.2636044971961406e-18,-6.4511754199889095e-09,0.0,7.076881394883454e-17,-1.278641662470675e-25,-5.047941472383053e-20,-1.9655945310499366e-24,5.790264287871194e-23,5.790264287871194e-24,-6.617444900424223e-24,7.117005209627077e-17,-2.0716583887762027e-24,3.498760962304187e-19,-4.488384109135135e-22,2.2173933412676377e-24,3.228278743432629e-24,7.807027699768045e-26,-7.111893698104554e-17,6.416865210698741e-09,4.838381566861509e-09,1.0560013280563875e-08,-9.676754958485483e-09,-8.151643026207356e-09,4.170798222490616e-12,7.913437898100394e-10,2.073440039067061e-09,1.5158415171961495e-09,2.073440039067061e-09,3.221361964924952e-09,3.221361964924952e-09,-4.2636044971961406e-18,6.442723960153687e-09,-8.99975379919227e-18,2.8132987769815867e-21,-2.234076599019832e-17,6.4427238544162435e-09,5.393032965286934e-16,2.2675481057217058e-13,2.5498084283606607e-12,-2.8909475236375254e-12,-2.4403942548243568e-21,6.441883059696892e-09,2.2675481057217058e-13,2.5498084283606607e-12,-2.122699269518624e-09,8.408658382887589e-13,-3.224746841824092e-09,-1.1028884381437573e-09,-1.1028884381437506e-09,-1.0363552024220815e-18,3.432458583523486e-11,1.2121983048265967e-23,-8.170973235109286e-15,3.4310209290167404e-11,1.4710318014150326e-14,9.596815972941246e-16,6.876482342710321e-15,5.128521229894507e-24,1.0363552804923587e-18
