,Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s].1,NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s].1,NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s].1,HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s].1,N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.066,0.2,0.7339999999999999,0.33,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.7338144375672401,0.0,0.0,0.1978129090130628,0.003731679766551826,0.001241150201747212,3.886914274894981e-13,0.06339982345100928,0.0,0.0008765972543793652,1.1031816815417204e-11,0.11694604352144422,8.024071237382445e-10,7.898949525480677e-09,3.7596662751409e-08,2.3371820798171227e-06,0.8805466499434579,2.608317956798061e-05,7.326651775277773e-05,0.0014906970456216768,1.4611418042280478e-06,1.103685973847455e-13,1.3833738738356376e-10,3.681776639313371e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.942122026282725e-08,3.8842440521545886e-08,1.2947480171901834e-08,4.043275980849003e-18,-2.5894960346998672e-08,0.0,-1.5086690807723808e-16,-7.675151744342349e-24,1.0233140154221636e-19,2.06878050810867e-22,6.791483701305377e-20,-1.2776631741494064e-20,1.2754297864955134e-20,-1.5166259089283604e-16,2.4299264319722007e-22,-7.445122636206542e-19,1.256877565247982e-21,-1.1094398407154094e-22,-2.5234323254963627e-23,2.5758555337635438e-24,1.515575009709727e-16,2.5540231672019787e-08,1.942122026282725e-08,4.2614840815462186e-08,-3.8842355893540954e-08,-3.262620840044049e-08,2.047631472467157e-11,2.648318531139771e-09,8.546498168908083e-09,6.170781439163406e-09,8.546498168908083e-09,1.2925306140407943e-08,1.2925306140407943e-08,-4.043275980849003e-18,2.5850612339687588e-08,-2.0081531144944795e-17,1.0267157060689936e-20,-4.30284445717713e-17,2.5850612428435227e-08,2.1638875366841216e-15,1.1206109637752158e-12,1.2444869634950665e-11,-1.7144234009065854e-11,-5.6352729964571155e-21,2.5843862030645247e-08,1.1206109637752158e-12,1.2444869634950665e-11,-1.1526764187104988e-08,6.7502462324754276e-12,-1.2940729925669337e-08,-1.4207159847968468e-09,-1.4207159848096008e-09,-4.233611291081126e-18,3.548750718774213e-10,1.255483890331488e-22,-8.462800494499644e-14,3.547286749788857e-10,1.5208223962329695e-13,8.230604209994435e-15,7.070782609761951e-14,5.369010839367864e-23,4.233613866936661e-18
1000,8.98201798201798,498,101324.99999999996,2.7710000000000005e-08,0.066,0.29999999999999993,0.6339999999999998,0.22000000000000006,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.633861318878514,0.0,0.0,0.2984718233684057,0.002488207699693613,0.0008274070734871885,3.900192367716178e-13,0.06435124297950946,0.0,0.0005821859675319442,6.045612095866383e-12,0.11461576143372587,6.54837309173538e-10,3.5038779228834204e-09,2.198190398366932e-08,2.056786908379595e-06,0.8836911652095712,2.1013129083806422e-05,4.938970252182854e-05,0.001012669470016459,1.1920626196903749e-06,8.019770844684011e-14,2.0487307951549163e-10,2.453988640264929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2925851291004576e-08,2.5851702577903703e-08,8.617234190661595e-09,4.058386350940136e-18,-1.7234468382577546e-08,0.0,5.863123970261035e-16,-3.0801408958766314e-25,7.916725433626798e-20,1.07345018990214e-22,4.8280877993495113e-20,-2.7991791928794457e-21,2.6248508787838947e-21,5.835528858998845e-16,-1.1590771145735777e-22,-2.723986929031001e-18,8.2996524737224725e-22,7.482349472553642e-23,-8.18276069688919e-23,2.8923601575888717e-25,-5.836332941861028e-16,1.7075578311672064e-08,1.2925851291004576e-08,2.815962637665047e-08,-2.5851664664279697e-08,-2.176946294133336e-08,1.1265642633551837e-11,2.0910771481478166e-09,5.5470776181478446e-09,4.057137068404135e-09,5.5470776181478446e-09,8.605751960640344e-09,8.605751960640344e-09,-4.058386350940136e-18,1.721150396703816e-08,-1.3788020000070574e-17,6.090988421466206e-21,-3.4789270299937516e-17,1.7211503333669498e-08,1.4407296697157946e-15,6.133015582681993e-13,6.899505975389959e-12,-7.905506204181547e-12,-3.841953536540093e-21,1.7207833190133374e-08,6.133015582681993e-13,6.899505975389959e-12,-7.2687399428742214e-09,3.670727169414844e-12,-8.613563463492008e-09,-1.348494247787373e-09,-1.348494247789998e-09,-2.8176243899611887e-18,1.5895658671932802e-10,5.624610301348615e-23,-3.791362400478794e-14,1.588900709054767e-10,6.812073623526578e-14,4.403868913387973e-15,3.1902015114482926e-14,2.4214136984435408e-23,2.8176246791972048e-18
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.066,0.4,0.534,0.165,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.5338927415327273,0.0,0.0,0.398806899460793,0.001867068321028375,0.0006207788221550147,3.9081559645743533e-13,0.06481251186290553,0.0,0.0004361606860497089,3.953312812589628e-12,0.11314057959146552,5.673937545680592e-10,1.9730612721138765e-09,1.5225910976967104e-08,1.900955282012449e-06,0.885577097746332,1.8007950051309313e-05,3.726689970735191e-05,0.0007695117010647392,1.0323472958931469e-06,6.428335106691065e-14,2.705204055800133e-10,1.842408184767097e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.693784597510616e-09,1.938756919095387e-08,6.4625230615953614e-09,4.067381364839785e-18,-1.2925046127281584e-08,0.0,1.0236528075556247e-17,-5.921886295135103e-25,-4.3842264561024825e-20,3.1640514567868595e-24,-5.161607022330893e-22,-1.3565762045869654e-22,1.329692834678992e-22,1.0259848390825044e-17,1.576539307945097e-24,-2.055074140722192e-20,-3.069450777130118e-22,4.417015224062456e-24,-1.3276661084330334e-24,3.3500252188794083e-25,-1.0215511697400307e-17,1.283520087517467e-08,9.693784597510616e-09,2.097656254649011e-08,-1.9387547691057768e-08,-1.635843951397123e-08,7.365647454551094e-12,1.7689805471799444e-09,4.073983531263045e-09,3.012656964298546e-09,4.073983531263045e-09,6.455290614773468e-09,6.455290614773468e-09,-4.067381364839785e-18,1.2910581267826413e-08,-1.0515973258619966e-17,4.2313383517504086e-21,-2.987791915885057e-17,1.2910581215219707e-08,1.080710532393563e-15,3.993929972069248e-13,4.542782664334629e-12,-4.561304051099157e-12,-2.9257067983797248e-21,1.2908194527346766e-08,3.993929972069248e-13,4.542782664334629e-12,-5.180178292168764e-09,2.3866980884531165e-12,-6.460136363506906e-09,-1.2823447694265985e-09,-1.2823447694267317e-09,-2.113098739022984e-18,8.988326271758665e-11,3.1895804935817145e-23,-2.1499896099730585e-14,8.984525210691355e-11,3.851925509340036e-14,2.8274707325732773e-15,1.8161667865321082e-14,1.3782133125536468e-23,2.1130990740255056e-18
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.066,0.5,0.4340000000000001,0.132,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.4339200012529916,0.0,0.0,0.4990101199337662,0.0014942600638596956,0.0004967831707055986,3.913820031753329e-13,0.06507883557828552,0.0,0.0003487869956674317,2.8459600779117345e-12,0.11204615351710072,5.078302178618793e-10,1.2648873951697441e-09,1.1447981448502728e-08,1.7867197503452873e-06,0.8869198640829826,1.5962392489863412e-05,2.9923889241553552e-05,0.0006218296969916367,9.234668956534129e-07,5.432906533141751e-14,3.355234052097877e-10,1.4755679757340546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.756588974267752e-09,1.5513177944469948e-08,5.171059312772243e-09,4.073748624839868e-18,-1.0342118630408657e-08,0.0,-4.107489419968428e-16,3.342721810396663e-24,-2.2497096243069413e-20,-2.6821905566512675e-23,-8.483564362343852e-21,1.4318496403292907e-21,-1.4461185058958303e-21,-4.099652454548358e-16,1.6104445496514964e-24,7.677222271474356e-19,-1.0694929184397577e-22,4.5868538215129186e-24,-1.2134215466597707e-23,-1.5766458679155831e-24,4.099880805341635e-16,1.028441631469978e-08,7.756588974267752e-09,1.6681755928418012e-08,-1.5513164084648026e-08,-1.3111174537908617e-08,5.2935833071873005e-12,1.552882358791376e-09,3.2010428884740493e-09,2.390124753148361e-09,3.2010428884740493e-09,5.16599318012591e-09,5.16599318012591e-09,-4.073748624839868e-18,1.0331986393590427e-08,-8.505886999079876e-18,3.2011954691440244e-21,-2.6524390806316378e-17,1.0331986766143329e-08,8.648630788672557e-16,2.8608400309552045e-13,3.28560513607833e-12,-2.976290007187397e-12,-2.367817504192715e-21,1.0330276460736636e-08,2.8608400309552045e-13,3.28560513607833e-12,-3.94900562456252e-09,1.709895418614396e-12,-5.1693494173536135e-09,-1.2220536882097233e-09,-1.2220536882082774e-09,-1.6908412342881389e-18,5.7726936707159607e-11,2.0561505422678726e-23,-1.3859821920170916e-14,5.770231570887454e-11,2.4738655262226345e-14,2.004235887128019e-15,1.1736238231230697e-14,8.905006077119751e-24,1.6908396576422712e-18
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.066,0.6,0.33399999999999996,0.11,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.3339308057754005,0.0,0.0,0.5992541939861575,0.0012430100227437593,0.0004143366740517816,3.9219422826231424e-13,0.06515765354125423,0.0,0.0002905094563763898,2.1730220695979184e-12,0.11129175671856248,4.6378223107180556e-10,8.778874437146505e-10,9.03608117627126e-09,1.6926291486062272e-06,0.8878418646560672,1.4449486775756097e-05,2.4954202341009936e-05,0.0005216161517693641,8.429045508744892e-07,4.73860658979531e-14,4.005346702276973e-10,1.2303013902139704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.4621140567689085e-09,1.2924228109451202e-08,4.308076034463374e-09,4.078116418328872e-18,-8.616152074403936e-09,0.0,-4.709150862464432e-16,1.1475118484362666e-24,3.1524102238967755e-20,4.33498789599796e-23,8.663889735880412e-21,-6.534726839168919e-23,7.403266482349599e-23,-4.695075763051653e-16,-4.63238338225277e-23,1.4306495743239371e-18,1.931647142800344e-22,-9.497834811763047e-24,-1.2607797332772802e-23,4.1652732729351e-25,4.694758576318014e-16,8.57606643216342e-09,6.4621140567689085e-09,1.3818516501492342e-08,-1.2924218441493147e-08,-1.0939217499153488e-08,4.03160197414141e-12,1.3962436303285305e-09,2.6230321979125217e-09,1.975935231142126e-09,2.6230321979125217e-09,4.3042909268922175e-09,4.3042909268922175e-09,-4.078116418328872e-18,8.608581883541564e-09,-7.130904490131921e-18,2.5501978856292612e-21,-2.403550950204045e-17,8.608582319213909e-09,7.206014095857551e-16,2.1723495831132054e-13,2.517054614745201e-12,-2.092719500406309e-12,-1.9882965957548528e-21,8.607280538915098e-09,2.1723495831132054e-13,2.517054614745201e-12,-3.141337145014873e-09,1.3013108229531492e-12,-4.306774723640429e-09,-1.1667388894485003e-09,-1.1667388894485746e-09,-1.408728701437515e-18,4.0102872649549314e-11,1.4342737591326288e-23,-9.667958053088106e-15,4.008564224051354e-11,1.7185877052863663e-14,1.511142529347324e-15,8.199938786801422e-15,6.221473132982554e-24,1.408729117964842e-18
1000,8.98201798201798,498,101324.99999999996,2.7710000000000005e-08,0.066,0.7,0.23400000000000004,0.09428571428571428,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.2339639729854617,0.0,0.0,0.6992435686129015,0.0010679125685616837,0.00035500669434134136,3.921935293865343e-13,0.06536953913834187,0.0,0.00024907526717424537,1.7361977374811052e-12,0.11041335760416908,4.2974991818675335e-10,6.477248766660698e-10,7.38134339914672e-09,1.61213921550387e-06,0.8888388489095205,1.3285523428246775e-05,2.146466419778356e-05,0.00045100615897299834,7.806605476645442e-07,4.2411625463275975e-14,4.6399768194680044e-10,1.05601481795269e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.542863644951608e-09,1.108572728582022e-08,3.695242426565223e-09,4.0827915983735925e-18,-7.390484858667904e-09,0.0,-2.837937630733752e-16,2.2970740726762583e-24,-2.25382072464983e-22,-7.9646313151925e-23,1.5550995515996918e-22,-2.3491929396505986e-22,2.2995621028974165e-22,-2.823391542822745e-16,-2.0056359374911785e-23,1.4543618422001073e-18,-2.7671455362924573e-23,8.865736345627557e-24,3.1990711061322466e-23,9.511701731540882e-25,2.823394781226765e-16,7.360918733107046e-09,5.542863644951608e-09,1.1792984861794938e-08,-1.1085720126453086e-08,-9.395015926897396e-09,3.21339753613134e-12,1.2736426994266567e-09,2.2174734062077527e-09,1.6834575320835884e-09,2.2174734062077527e-09,3.6922680465117813e-09,3.6922680465117813e-09,-4.0827915983735925e-18,7.384536120099886e-09,-6.160804881061545e-18,2.1151704423845746e-21,-2.2124250966379007e-17,7.384536371279892e-09,6.181397660606816e-16,1.726986408713776e-13,2.01663496699974e-12,-1.5634000881742037e-12,-1.7210818902741892e-21,7.383501602296658e-09,1.726986408713776e-13,2.01663496699974e-12,-2.578570921020727e-09,1.0344866437567377e-12,-3.694207939921461e-09,-1.1166715055444964e-09,-1.1166715055447262e-09,-1.2083003574740787e-18,2.9578913256441864e-11,1.0621160649929226e-23,-7.159367134332085e-15,2.95661255608595e-11,1.2675858058927755e-14,1.1912517385501915e-15,6.078744626215978e-15,4.6116113196249354e-24,1.2083013086442518e-18
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.066,0.88,0.053999999999999986,0.075,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.053992368424932366,0.0,0.0,0.8794516571986314,0.0008479527853172512,0.00028265092824251184,3.930978301988031e-13,0.06542537066248334,0.0,0.00019807358417561782,1.2399372710113203e-12,0.10939902744090732,3.836085371809512e-10,4.1024526413450025e-10,5.420493973673406e-09,1.487822899788949e-06,0.8900014250150458,1.1706255931757156e-05,1.708404931906157e-05,0.0003620839905561837,6.962359554986108e-07,3.594774337867801e-14,5.788677749279941e-10,8.408810717487437e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.408709339088799e-09,8.817418674060074e-09,2.9391395560585877e-09,4.088248527595118e-18,-5.8782791098110844e-09,0.0,-1.8641114704813416e-15,2.1613371277042872e-24,1.4480894630551785e-19,5.225503959474619e-23,3.001673006832427e-20,3.625119034513644e-21,-3.609402602875136e-21,-1.870473033114493e-15,5.694679875669452e-23,-6.249213300710578e-18,4.3128767651083615e-22,-4.013279999302688e-23,1.084016967592695e-22,-1.4416516718792283e-24,1.8703273206716238e-15,5.859562020042362e-09,4.408709339088799e-09,9.300776733566774e-09,-8.817414108703747e-09,-7.48815575955353e-09,2.2830184198365092e-12,1.111938329824492e-09,1.7216307097284406e-09,1.324084927283585e-09,1.7216307097284406e-09,2.9370667947226827e-09,2.9370667947226827e-09,-4.088248527595118e-18,5.874133612935502e-09,-4.931677566151889e-18,1.600483580005712e-21,-1.9519898375189428e-17,5.874135455830043e-09,4.917079708903411e-16,1.221678653448686e-13,1.4452017376031604e-12,-1.0064147444833211e-12,-1.3835597824977526e-21,5.873398926951064e-09,1.221678653448686e-13,1.4452017376031604e-12,-1.9032867916809567e-09,7.346585516587158e-13,-2.9384048975069447e-09,-1.0358527643776317e-09,-1.035852764374022e-09,-9.61111390085443e-19,1.8725265608936966e-11,6.772859722721969e-24,-4.5653563279301674e-15,1.871708976872357e-11,8.02456085871089e-15,8.347198675414826e-16,3.880954711116601e-15,2.944114080225493e-24,9.611099484337711e-19
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.066,0.8,0.13399999999999995,0.0825,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.1339791711167066,0.0,0.0,0.7994093301750599,0.0009326365653840893,0.0003108788549315691,3.928714870947213e-13,0.06536798328752512,0.0,0.0002178776495138564,1.4254021617873688e-12,0.10987799780824922,4.021509542016632e-10,4.956649742145467e-10,6.170046028563081e-09,1.5400306251347558e-06,0.8894650044949451,1.2339645403943574e-05,1.8775686049687287e-05,0.00039648295737047037,7.301608967473188e-07,3.8468087305707793e-14,5.28236847048317e-10,9.243969382829544e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.848866471079691e-09,9.697732938159606e-09,3.232577643825449e-09,4.085738939208486e-18,-6.465155290704963e-09,0.0,-8.760480765660032e-17,-4.293623864043703e-24,-3.115396875067369e-19,4.549665034101304e-22,-8.717160167328827e-20,7.228731373100909e-21,-7.214876097840646e-21,-8.871520599931289e-17,1.7364850788566527e-22,-1.3433180517513383e-18,-7.867575283129585e-22,-5.814114392935285e-23,-3.81036425813736e-23,5.497027989276809e-24,8.902752606862593e-17,6.442529886134594e-09,4.848866471079691e-09,1.0266112313823285e-08,-9.697727436875559e-09,-8.228589459673625e-09,2.6303468359074695e-12,1.1772315813221395e-09,1.91297022736121e-09,1.463189650112087e-09,1.91297022736121e-09,3.2301713449992124e-09,3.2301713449992124e-09,-4.085738939208486e-18,6.460342714911851e-09,-5.407110656674723e-18,1.7954055843060307e-21,-2.0563622475323025e-17,6.460342774627924e-09,5.407779804354229e-16,1.4101201730209713e-13,1.6589900824831016e-12,-1.2073825282773388e-12,-1.5140860846377122e-21,6.459495710082223e-09,1.4101201730209713e-13,1.6589900824831016e-12,-2.162397249179006e-09,8.469755181765236e-13,-3.2317306683072864e-09,-1.0701803946464427e-09,-1.070180394639228e-09,-1.0570556557451626e-18,2.2635246911259174e-11,8.161339462582665e-24,-5.501284044977903e-15,2.2625404570369447e-11,9.700168631877915e-15,9.678561148540077e-16,4.674543127145654e-15,3.5462595593843964e-24,1.0570611527731519e-18
1000,8.98201798201798,498,101325.0,2.7710000000000005e-08,0.066,0.9,0.033999999999999975,0.07333333333333332,498.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.03399530158773534,0.0,0.0,0.8994610644753209,0.0008291315761266511,0.00027637719184566106,3.931514408700449e-13,0.06543812516857833,0.0,0.00019367280163711987,1.1998735734910178e-12,0.10928514877872833,3.7936336758483604e-10,3.9235832192491933e-10,5.256128892238714e-09,1.4753928303703649e-06,0.8901280942053766,1.156135660244226e-05,1.6707733966461746e-05,0.0003544214852187198,6.884688898872074e-07,3.538139481836922e-14,5.914891626508789e-10,8.22315617484313e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.310882395060107e-09,8.621764786022891e-09,2.8739215933152896e-09,4.088840510129496e-18,-5.74784319064665e-09,0.0,-1.9681596857037484e-16,8.854225609727931e-25,3.1676971751964163e-20,4.5979286745400466e-23,8.591925022588298e-21,2.313210583004542e-21,-2.329960990408741e-21,-1.9687788035734982e-16,-1.3990618350834943e-23,-4.1036897700860295e-20,1.2128692083790183e-22,2.3699754486442102e-23,-4.254927798491513e-23,-2.274468050991308e-24,1.9684609557759362e-16,5.729944762787045e-09,4.310882395060107e-09,9.086515204117081e-09,-8.621760416958069e-09,-7.323529996013717e-09,2.2080239222702478e-12,1.0970320961581583e-09,1.6792749694275413e-09,1.2932244693907435e-09,1.6792749694275413e-09,2.8719203619970325e-09,2.8719203619970325e-09,-4.088840510129496e-18,5.743840747160847e-09,-4.825696393522076e-18,1.5578507247087493e-21,-1.928103351299941e-17,5.74384091678315e-09,4.808015009776835e-16,1.1810237932574243e-13,1.3989638191822605e-12,-9.641390691971574e-13,-1.3544738206673875e-21,5.743130296084813e-09,1.1810237932574243e-13,1.3989638191822605e-12,-1.8463116650301121e-09,7.104238522421026e-13,-2.873211169463031e-09,-1.0276099282851777e-09,-1.0276099282828475e-09,-9.39786467098673e-19,1.7906253807658392e-11,6.481654769577609e-24,-4.3690648227034e-15,1.7898427859605625e-11,7.673576767724502e-15,8.060718810101763e-16,3.714424447093953e-15,2.8177605563261583e-24,9.39784192630622e-19
1000,8.98201798201798,523,101325.0,2.7710000000000005e-08,0.066,0.1,0.8340000000000001,0.66,523.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.8277256423844127,0.0,0.0,0.07484593402924694,0.04812684413778389,0.016037310675226825,2.718711116172079e-12,0.0332642687706109,0.0,0.0050383930056381344,7.556518762660491e-11,0.4156016057680959,3.940410690177693e-09,4.602549396811146e-07,8.709201644422594e-07,2.1030465559847618e-05,0.5772811905026569,6.309072359298384e-05,0.00010338282300176466,0.0017086907875398607,4.799254241325992e-06,2.7914852259140963e-13,2.644636823429629e-10,0.00017648121385048488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2549837948361693e-07,4.509967589905342e-07,1.503322529684216e-07,2.5111367231141557e-17,-3.006645059664643e-07,0.0,5.486876634096939e-15,-2.5942558067837917e-22,5.194420316601544e-19,-1.8160760959266078e-21,-4.8399621424788325e-17,3.362985498395589e-19,-3.395377891183166e-19,5.44331408117141e-15,1.5321519538982726e-21,5.039478341456109e-18,4.285648401082987e-21,3.3128583532748763e-22,-1.281773561821737e-22,8.367869058291935e-24,-5.4438434431850826e-15,2.932182494632665e-07,2.2549837948361693e-07,4.6355687244735927e-07,-4.509943376669297e-07,-3.764651225555175e-07,2.085292454863401e-10,5.6105074305150616e-08,8.526611807345362e-08,7.409954950987892e-08,8.526611807345362e-08,1.501751150798201e-07,1.501751150798201e-07,-2.5111367231141557e-17,3.003502306438305e-07,-1.109982623777059e-16,1.8317095949341534e-19,-4.658735940346664e-16,3.003502246912149e-07,5.237475392055917e-14,9.253375354877973e-12,1.1056815372806094e-10,-7.276177405426481e-11,-5.05386441358166e-20,3.001403202737723e-07,9.253375354877973e-12,1.1056815372806094e-10,-1.4720449927033166e-07,2.099098612859981e-10,-1.5012234310713233e-07,-3.12775369808992e-09,-3.1277536977503827e-09,-9.254649638938536e-17,7.449651726555939e-09,7.936488845783028e-21,-2.421323604487021e-12,7.446256503197758e-09,3.5905520000311544e-12,4.073076670901636e-13,1.818594754107984e-12,2.6097847527684007e-21,9.25465047572544e-17
