Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,598,101324.99999999999,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.05888888888888887,0.0,0.0,0.88,0.0,0.0,0.0,0.06111111111111114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08545325180890419,0.0,0.0,0.0,-0.2693607183113917,0.0,-0.44117712761714306,0.000909905687943029,0.17090650361780838,0.0,0.0,0.0,0.0,0.0,0.000909905687943029,0.26845081262344866,0.0,0.0,0.0,0.0,0.0,0.26845081262344866,0.08545325180890419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000909905687943029,0.0,0.0,0.0,0.0,0.0
0.009,598,101324.99999999999,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.05888782589947522,0.0,0.0,0.8799299630370097,0.00010830458176887737,3.6101527142818734e-05,2.2669786784290365e-13,0.06103780495437684,0.0,0.002566643684189798,4.561167375062627e-11,0.7978833940099592,1.2770942666419566e-08,6.650171653009594e-10,2.3651598910425766e-08,8.170097169717139e-06,0.19927162478366778,2.991121844952174e-05,1.4721953999655849e-05,0.00016192832779938872,6.896677889349722e-06,3.8734894986759265e-13,1.6319995466291493e-08,5.66557933223284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.628283457072194e-07,1.1256566890512304e-06,3.752188951831469e-07,2.356169676038146e-15,-7.504377926414254e-07,0.0,9.379419678218598e-15,-4.5448966991000505e-22,1.681674260169279e-17,-1.1220483266702237e-19,7.164204667876872e-18,-3.0969642133985356e-20,1.045556294267027e-21,9.305392891340535e-15,-1.6860361841150842e-20,-6.413641513916389e-17,1.6038903638226062e-20,-1.1112137553884236e-20,2.599587306712668e-20,-1.466864193228969e-22,-9.32224865353403e-15,7.446527937108021e-07,5.628283457072194e-07,8.910842717790768e-07,-1.1256517971200335e-06,-1.008077616762839e-06,2.5618419322420893e-10,4.86659658148506e-07,7.333938278195307e-08,1.1710536529656379e-07,7.333938278195307e-08,3.7510031586575343e-07,3.7510031586575343e-07,-2.356169676038146e-15,7.502006405141206e-07,-6.322080485920048e-16,2.2462647297014245e-18,-9.235573018145636e-15,7.502006200699185e-07,8.183947944617237e-13,6.358582467850915e-12,1.0631543610214817e-10,-8.354289217898452e-12,-8.02053626801212e-19,7.496699267154314e-07,6.358582467850915e-12,1.0631543610214817e-10,-3.6058650155502907e-07,5.30702676735745e-10,-3.7468819250638126e-07,-1.4632393628117842e-08,-1.4632393628118888e-08,-1.0836793413988117e-15,5.788916984623695e-09,1.2035101073702115e-19,-4.891931196923558e-12,5.784998930623213e-09,3.81989927128449e-12,2.3487502476034173e-12,2.6402521013448173e-12,1.7873754324819674e-20,1.0836791947123924e-15
0.018,598,101325.00000000003,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.058886764666882245,0.0,0.0,0.8798600418252998,0.00021643016671187668,7.214338867728322e-05,4.5323569304619313e-13,0.06096461995197561,0.0,0.002564669784253906,4.553754511764234e-11,0.7980190852055941,1.2762487894085019e-08,9.571893148435835e-10,2.364072791312213e-08,8.17262844889143e-06,0.1991383505470254,2.98705791425894e-05,1.4692988016027358e-05,0.00016163906992373527,6.891103198454162e-06,3.867096774272023e-13,1.6324408557457177e-08,5.65743636590899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.619184190775283e-07,1.1238368358035334e-06,3.746122774199647e-07,2.35459117694698e-15,-7.492245572023427e-07,0.0,-1.35796275616259e-15,-1.9362375618342047e-21,-5.7753418829755985e-18,1.2483821111043731e-20,-3.089764433346874e-18,-2.541098841762901e-21,1.6096934720281919e-21,-1.353214066121517e-15,-9.507252069166508e-21,2.050369178191566e-18,-1.868741559837938e-21,7.436353706851719e-22,8.29491559078413e-22,5.53317184659335e-22,1.3589971177046395e-15,7.434553278209011e-07,5.619184190775283e-07,8.894891724994202e-07,-1.1238319562343605e-06,-1.0064954815522867e-06,2.55508839394556e-10,4.860811810836949e-07,7.31402432165379e-08,1.1686885527694747e-07,7.31402432165379e-08,3.744940001448658e-07,3.744940001448658e-07,-2.35459117694698e-15,7.489880090537428e-07,-6.305598160953655e-16,2.240810916525555e-18,-9.216858056773371e-15,7.48987999288353e-07,8.170719329314313e-13,6.338601205424301e-12,1.0605528014052808e-10,-8.318565867888793e-12,-8.000855616763775e-19,7.484584862879206e-07,6.338601205424301e-12,1.0605528014052808e-10,-3.59992742469427e-07,5.295116414353446e-10,-3.740827657785284e-07,-1.4619534950537663e-08,-1.4619534950539273e-08,-1.0819466825656438e-15,5.7731376439517975e-09,1.2004687568644337e-19,-4.8795691728446374e-12,5.7692293814416005e-09,3.8094849629711566e-12,2.343755593642054e-12,2.6335092794739394e-12,1.7828432142932952e-20,1.0819472358828285e-15
0.026999999999999996,598,101325.00000000003,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.05888570518781942,0.0,0.0,0.8797902361480691,0.00032437709008919407,0.00010812569635679677,6.796136718012061e-13,0.06089155587698593,0.0,0.00256269763500146,4.546355980396992e-11,0.7981546268411477,1.27540406891535e-08,1.248428371709756e-09,2.362979519551805e-08,8.17513667465608e-06,0.19900522327611067,2.9829996090640436e-05,1.4664088348576212e-05,0.00016135041305370706,6.88553406620922e-06,3.860716951262254e-13,1.632882257299138e-08,5.649307256970524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.61010135358829e-07,1.122020268364659e-06,3.7400675494777823e-07,2.35301442141701e-15,-7.480135122431985e-07,0.0,4.557480625036464e-18,-7.371172113876408e-23,5.447051483711539e-18,1.0139532361860405e-21,8.470329472543003e-22,6.988021814847978e-21,-7.12533379653178e-21,-8.2313073627396805e-19,3.134501572660964e-22,9.083647626819918e-20,1.1912014743874478e-21,-1.489959078361141e-22,-2.4629565133625e-22,4.814663440305359e-24,-4.641089663209063e-18,7.422600052211029e-07,5.61010135358829e-07,8.878973062783642e-07,-1.1220154011231784e-06,-1.0049161290172556e-06,2.548354685996829e-10,4.855033034137057e-07,7.294164944209425e-08,1.166328449702299e-07,7.294164944209425e-08,3.738887788366315e-07,3.738887788366315e-07,-2.35301442141701e-15,7.477775664186904e-07,-6.289164694672634e-16,2.2353719946592066e-18,-9.198184010458372e-15,7.477775553210719e-07,8.157514591951423e-13,6.318686251875011e-12,1.05795832369521e-10,-8.28299505503871e-12,-7.981229744348186e-19,7.47249231764551e-07,6.318686251875011e-12,1.05795832369521e-10,-3.5940006450040623e-07,5.283235611620352e-10,-3.73478431386616e-07,-1.4606690447371977e-08,-1.4606690447364852e-08,-1.080218338306551e-15,5.7574055196970945e-09,1.1974358530041038e-19,-4.867241480610295e-12,5.753507022095572e-09,3.799101823756028e-12,2.3387718540761223e-12,2.6267852878426814e-12,1.778323525060846e-20,1.0802183431212145e-15
0.036,598,101324.99999999999,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.0588846474590026,0.0,0.0,0.87972054578893,0.00043214568652130507,0.0001440485617210555,9.058320000263721e-13,0.060818612502919395,0.0,0.002560727235699667,4.538971751184825e-11,0.7982900190873518,1.2745601046801372e-08,1.5387369548923586e-09,2.36188011443518e-08,8.177621924927176e-06,0.19887224280264804,2.9789469233191845e-05,1.463525483522116e-05,0.0001610623558508226,6.879970488051278e-06,3.8543500010528283e-13,1.633323751261694e-08,5.6411919816608526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.601034916439548e-07,1.120206980937081e-06,3.734023258023699e-07,2.351439407447193e-15,-7.468046539574971e-07,0.0,1.1641710873944586e-15,6.10066720589499e-22,-1.4607505691920264e-18,-4.578242725890371e-21,-6.111342714439777e-19,-4.648093298057973e-20,4.6143443290658096e-20,1.1648343886384139e-15,-1.4791677641003053e-21,-1.4651646949290336e-19,-6.000270420438062e-22,9.535324511205027e-22,-6.241605325691071e-22,-6.327277278578127e-22,-1.1633668978534412e-15,7.410668222523334e-07,5.601034916439548e-07,8.863086665572267e-07,-1.1202021259890607e-06,-1.0033395543528546e-06,2.5416407468912597e-10,4.849260250964496e-07,7.274360004085298e-08,1.1639733337705055e-07,7.274360004085298e-08,3.732846500055102e-07,3.732846500055102e-07,-2.351439407447193e-15,7.465693087379058e-07,-6.272779931123609e-16,2.2299479206997256e-18,-9.179550790298663e-15,7.465692964947479e-07,8.144333690298831e-13,6.298837382105428e-12,1.0553709075284681e-10,-8.247576118499627e-12,-7.961658486614835e-19,7.460421592297516e-07,6.298837382105428e-12,1.0553709075284681e-10,-3.5880846569977856e-07,5.271384283631764e-10,-3.7287518737400644e-07,-1.459386010259138e-08,-1.4593860102637523e-08,-1.0784931439512308e-15,5.741720464368439e-09,1.1944113712106907e-19,-4.854948020323122e-12,5.737831705163784e-09,3.788749756250701e-12,2.3337990068063852e-12,2.62008007172366e-12,1.7738163289329616e-20,1.078492511223503e-15
0.045,598,101325.00000000003,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.05888359147715373,0.0,0.0,0.8796509705319079,0.0005397362899883971,0.00017991209609735694,1.1318908733744318e-12,0.06074578960372081,0.0,0.002558758585616901,4.531601794421078e-11,0.7984252621162701,1.273716896222164e-08,1.8281176765634203e-09,2.3607746144573007e-08,8.180084277334353e-06,0.19873940895702302,2.974899850980222e-05,1.4606487314299902e-05,0.00016077489697986108,6.874412459392236e-06,3.8479958951049994e-13,1.6337653375934446e-08,5.633090516224121e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.591984850316863e-07,1.1183969677527386e-06,3.7279898801990494e-07,2.349866133020649e-15,-7.455979785094054e-07,0.0,2.640901565836129e-15,-1.5268533022869629e-21,-8.540384260203548e-17,2.7861814036562277e-20,-3.955432105440769e-17,8.269159147570107e-20,-3.1570175258698854e-20,2.7214369472634495e-15,-3.47923515139419e-21,3.395332828015137e-17,-2.119182324464123e-20,8.616120055505475e-22,-1.0249969890489268e-20,1.0971855204025384e-21,-2.635730283799161e-15,7.398757752257032e-07,5.591984850316863e-07,8.847232467914642e-07,-1.1183921250640461e-06,-1.0017657527640883e-06,2.534946515325575e-10,4.843493460890505e-07,7.254609359840554e-08,1.1616231950000625e-07,7.254609359840554e-08,3.726816117198914e-07,3.726816117198914e-07,-2.349866133020649e-15,7.45363232148178e-07,-6.256443714829915e-16,2.2245386513719997e-18,-9.160958307511862e-15,7.453632183684888e-07,8.131176582212547e-13,6.2790543717957e-12,1.0527905326050155e-10,-8.212308400365294e-12,-7.942141679876967e-19,7.448372647687194e-07,6.2790543717957e-12,1.0527905326050155e-10,-3.582179441198469e-07,5.259562354997578e-10,-3.7227303178445634e-07,-1.4581043900058062e-08,-1.4581043900026492e-08,-1.0767686378101803e-15,5.726082330949339e-09,1.191395286981392e-19,-4.842688692393515e-12,5.722203283702204e-09,3.778428663382342e-12,2.328837029774107e-12,2.613393576555967e-12,1.7693215901648074e-20,1.0767697349957007e-15
0.054,598,101325.00000000003,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.058882537239001186,0.0,0.0,0.8795815101614414,0.0006471492338338627,0.00021571641059953993,1.35779048722261e-12,0.06067308695376616,0.0,0.0025567916838327214,4.5242460801305823e-11,0.7985603560426197,1.2728744429684413e-08,2.116573141859827e-09,2.3596630585346973e-08,8.182523811908596e-06,0.19860672162715431,2.970858385787603e-05,1.4577785623487585e-05,0.00016048803509695998,6.868859976509679e-06,3.8416546053264287e-13,1.6342070167280098e-08,5.625002838154647e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.582951125437817e-07,1.1165902227435098e-06,3.7219673973371184e-07,2.348294596800787e-15,-7.443934818331917e-07,0.0,1.2453829834488391e-15,-3.500979067097444e-22,-1.0424664738681964e-17,5.800610333081431e-21,-4.284716163685878e-18,2.456395547037471e-19,-2.5942038370888054e-19,1.2588706894233858e-15,4.706274791275995e-21,7.037443990444882e-18,-9.709690791598224e-21,3.811441467491213e-21,6.884452273109614e-21,-1.719407880497655e-21,-1.2484114657929147e-15,7.386868602227972e-07,5.582951125437817e-07,8.831410403203159e-07,-1.116585392280113e-06,-1.000194719318276e-06,2.528271929823254e-10,4.837732662765513e-07,7.234912869300449e-08,1.1592780232652559e-07,7.234912869300449e-08,3.7207966199717686e-07,3.7207966199717686e-07,-2.348294596800787e-15,7.441593326842744e-07,-6.240155892268029e-16,2.219144143590182e-18,-9.14240647546983e-15,7.441593203871832e-07,8.118043224436131e-13,6.259336996474644e-12,1.0502171785320468e-10,-8.177191243597987e-12,-7.922679162671874e-19,7.436345446603637e-07,6.259336996474644e-12,1.0502171785320468e-10,-3.57628497905359e-07,5.247769752309734e-10,-3.716719627584671e-07,-1.4568241828352846e-08,-1.4568241828093425e-08,-1.0750517284958754e-15,5.710490972042828e-09,1.1883875757125564e-19,-4.830463396821609e-12,5.706621610394472e-09,3.768138447833496e-12,2.3238859006166193e-12,2.606725747557816e-12,1.7648392728444026e-20,1.075050009087995e-15
0.06299999999999999,598,101325.0,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.05888148474127947,0.0,0.0,0.879512164462381,0.0007543848507629615,0.0002514616161297446,1.5835310366830917e-12,0.060600504327863215,0.0,0.002554826529718172,4.516904578923496e-11,0.7986953010721072,1.2720327444911827e-08,2.404105949429118e-09,2.3585454844876178e-08,8.184940604286259e-06,0.19847418060967653,2.9668225218218743e-05,1.4549149602528307e-05,0.00016020176887970728,6.863313034296224e-06,3.835326103080654e-13,1.634648788345781e-08,5.6169289230364794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.573933713348991e-07,1.114786740327564e-06,3.715955789294834e-07,2.3467247963717166e-15,-7.431911602155301e-07,0.0,-6.889964086179573e-16,1.9499610711064542e-21,-9.612723613686093e-18,-1.608404969801566e-20,-4.522732421864337e-18,-6.066873484708926e-20,6.260268311923824e-20,-6.837189863837016e-16,-2.4123640121729344e-21,1.7355179587213573e-19,-2.941889255074367e-21,5.77051535074649e-21,8.856812844547713e-21,3.0917811357438435e-22,6.933702566979707e-16,7.375000736758314e-07,5.573933713348991e-07,8.815620406966523e-07,-1.1147819220555291e-06,-9.986264493184467e-07,2.521616929680733e-10,4.831977856523476e-07,7.215270392265002e-08,1.1569378087221575e-07,7.215270392265002e-08,3.7147879894278745e-07,3.7147879894278745e-07,-2.3467247963717166e-15,7.429576065570785e-07,-6.223916308123074e-16,2.2137643543001878e-18,-9.123895204549956e-15,7.429575962225599e-07,8.104933575633538e-13,6.239685033865111e-12,1.0476508252171904e-10,-8.142223997238255e-12,-7.903270771299846e-19,7.424339948892427e-07,6.239685033865111e-12,1.0476508252171904e-10,-3.5704012506091215e-07,5.236006399469428e-10,-3.7107197828953844e-07,-1.4555453868571289e-08,-1.4555453868633891e-08,-1.0733330192365577e-15,5.6949462420358415e-09,1.1853882131459266e-19,-4.818272035011896e-12,5.691086539698708e-09,3.757879013457112e-12,2.3189455975392728e-12,2.600076530705869e-12,1.7603693415855387e-20,1.0733333284146712e-15
0.07199999999999998,598,101324.99999999999,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.05888043398072943,0.0,0.0,0.8794429332199883,0.0008614434728455142,0.00028714782337781566,1.8091127165965263e-12,0.06052804150124996,0.0,0.002552863122445394,4.509577261123072e-11,0.7988300973500037,1.2711918002652764e-08,2.690718690907277e-09,2.357421930591125e-08,8.187334732649852e-06,0.1983417857618548,2.9627922529363108e-05,1.4520579090443322e-05,0.0001599160969963925,6.857771628556986e-06,3.8290103601977055e-13,1.6350906526262475e-08,5.6088687477695494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.564932584782301e-07,1.1129865146135817e-06,3.7099550369522905e-07,2.3451567300344356e-15,-7.419910097458914e-07,0.0,-5.721610133370252e-16,-6.373209824370549e-23,-5.22199558978234e-18,2.7168613802474393e-21,-2.298000385900917e-18,9.640293730938006e-20,-9.248871865077913e-20,-5.640691239578089e-16,-3.641937296577466e-22,5.036008416529472e-18,-2.8280868934661865e-21,-3.721899166182348e-21,-6.186533170960556e-22,-2.0737550173736423e-22,5.693095629468773e-16,7.363154118202389e-07,5.564932584782301e-07,8.799862413501098e-07,-1.1129817084990738e-06,-9.970609379219719e-07,2.514981453999704e-10,4.826229041339395e-07,7.195681787741017e-08,1.154602541365841e-07,7.195681787741017e-08,3.708790206082059e-07,3.708790206082059e-07,-2.3451567300344356e-15,7.417580498695521e-07,-6.207724809107805e-16,2.2083992406393496e-18,-9.105424407389991e-15,7.417580394353251e-07,8.091847593291909e-13,6.220098261483081e-12,1.0450914524665341e-10,-8.107406011058179e-12,-7.883916344374683e-19,7.412356116437699e-07,6.220098261483081e-12,1.0450914524665341e-10,-3.564528236884439e-07,5.224272222456612e-10,-3.704730764729873e-07,-1.4542680006785165e-08,-1.4542680006692676e-08,-1.0716198951007358e-15,5.679447994897624e-09,1.1823971749124456e-19,-4.8061145079181616e-12,5.675597925652483e-09,3.747650263829469e-12,2.3140160984248547e-12,2.593445871734125e-12,1.755911760819483e-20,1.071619687725234e-15
0.08099999999999999,598,101325.00000000003,2.771e-08,0.061111111111111116,0.8799999999999999,0.058888888888888866,0.06944444444444445,598.0,1e-11,1e-22,IdealGasReactor,off,0.05887938495409802,0.0,0.0,0.8793738162199349,0.0009683254315164028,0.0003227751428219866,2.0345357215347626e-12,0.06045569824959403,0.0,0.0025509014612184917,4.502264097176357e-11,0.7989647450323584,1.2703516097824937e-08,2.9764139511824262e-09,2.3562924348455464e-08,8.189706274460363e-06,0.19820953693014032,2.9587675730243177e-05,1.4492073926845758e-05,0.00015963101812048775,6.852235754929245e-06,3.8227073484989307e-13,1.6355326096589428e-08,5.600822289052655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.555947710664366e-07,1.111189539778331e-06,3.703965121035964e-07,2.3435903959621084e-15,-7.407930265074188e-07,0.0,5.2180229470248835e-15,-1.2444572169342113e-21,2.4473009744676325e-17,1.8600226063672337e-20,1.105377996166862e-17,-4.983200707815456e-19,5.356474231036135e-19,5.185061364640364e-15,4.453408747634089e-21,-1.88489955260433e-17,3.793333966894545e-21,-4.510202289945383e-22,3.5596457603834875e-21,4.296074991617966e-21,-5.209667197680213e-15,7.351328708845141e-07,5.555947710664366e-07,8.784136357457301e-07,-1.111184745787614e-06,-9.954981803201967e-07,2.508365442142351e-10,4.820486216496982e-07,7.176146915246332e-08,1.1522722112390125e-07,7.176146915246332e-08,3.7028032505782225e-07,3.7028032505782225e-07,-2.3435903959621084e-15,7.405606587504499e-07,-6.1915812421644865e-16,2.2030487598612592e-18,-9.086993996417269e-15,7.405606425869848e-07,8.078785235179994e-13,6.20057645776599e-12,1.042539040173803e-10,-8.072736638062211e-12,-7.864615720681814e-19,7.400393910819434e-07,6.20057645776599e-12,1.042539040173803e-10,-3.5586659187542157e-07,5.212567147086262e-10,-3.698752553889251e-07,-1.4529920228174828e-08,-1.4529920228710476e-08,-1.0699047857314439e-15,5.663996085198441e-09,1.1794144367469025e-19,-4.793990716916314e-12,5.660155622904668e-09,3.737452102930813e-12,2.3090973812531886e-12,2.586833716604984e-12,1.7514664951283207e-20,1.0699090818064355e-15
