Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,598,101324.99999999999,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.36915151515151506,0.0,0.0,0.564848484848485,0.0,0.0,0.0,0.066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054850158874585886,0.0,0.0,0.0,-0.29090957577630294,0.0,-0.4015925916684532,0.0009826981429784708,0.10970031774917177,0.0,0.0,0.0,0.0,0.0,0.0009826981429784708,0.2899268776333245,0.0,0.0,0.0,0.0,0.0,0.2899268776333245,0.054850158874585886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009826981429784708,0.0,0.0,0.0,0.0,0.0
0.009,598,101324.99999999999,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.36914046454453214,0.0,0.0,0.5647417705645544,0.00017961091632186593,5.9870305328314235e-05,2.2414752847169926e-13,0.06587828366903926,0.0,0.004128019321188396,9.441873622621296e-11,0.7981903523385719,1.6332922312714952e-08,1.3998071372360819e-09,3.992543765627764e-08,8.577249292418801e-06,0.19723587861599243,4.3776016839170624e-05,2.5556881659012413e-05,0.0002686995411169503,8.884737899544124e-06,5.702387461426573e-13,1.0047346975316717e-08,9.018749693685475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.343313226923132e-07,1.8686626430525805e-06,6.228875465157581e-07,2.332019242288355e-15,-1.2457750953685667e-06,0.0,2.672925888066538e-16,8.33849567514276e-23,-4.825578040936644e-18,2.7658332857084413e-22,0.0,1.5670109524204556e-20,-1.5226740715876133e-20,2.7236622351647845e-16,-4.1396189131730914e-23,1.8010761824030545e-19,-1.4126217300552677e-21,-2.9840540597850473e-22,-3.869863777224405e-22,-6.792124461148709e-23,-2.6751370514453234e-16,1.2296730424082077e-06,9.343313226923132e-07,1.5432779090217665e-06,-1.868649694857968e-06,-1.648454896078484e-06,5.687264684107149e-10,7.12468003819124e-07,1.5707667245730872e-07,2.19174858668028e-07,1.5707667245730872e-07,6.2262897079547e-07,6.2262897079547e-07,-2.332019242288355e-15,1.2452579542333998e-06,-1.0656140060488803e-15,4.228777310810755e-18,-1.337756925366511e-14,1.2452579389865548e-06,1.3584537679872416e-12,1.5441072298323482e-11,2.2560681924903256e-10,-2.6653638976544202e-11,-1.3172215078639178e-18,1.2441696888743712e-06,1.5441072298323482e-11,2.2560681924903256e-10,-6.07554701094902e-07,1.0882503796973128e-09,-6.217992961360611e-07,-1.5332845420856045e-08,-1.5332845420840818e-08,-1.7977645648206984e-15,1.6112313603006384e-08,3.1854989572112504e-19,-1.2948194612453622e-11,1.610205296035899e-08,1.0632911450229315e-11,5.528228024288804e-12,7.045900291792672e-12,4.7671293997315183e-20,1.797764496899454e-15
0.018,598,101325.00000000003,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.36912944111217777,0.0,0.0,0.5646353187025013,0.00035878015012271423,0.00011959338314998149,4.4804024827793045e-13,0.0657568666516002,0.0,0.004123451686162344,9.41924822244368e-11,0.7984080839836118,1.631711193149254e-08,2.1780630374986055e-09,3.99488194880981e-08,8.59178328212967e-06,0.19702378315173855,4.369258220246093e-05,2.5481537578413678e-05,0.00026798176041370155,8.874078103794711e-06,5.687985682071907e-13,1.0050401177959418e-08,8.999084775015154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.320894375513217e-07,1.8641788727661139e-06,6.213929564303312e-07,2.329507430708463e-15,-1.2427859151380092e-06,0.0,-8.559422257437228e-15,-1.8647559594895136e-21,8.068986559104236e-18,1.4369800935205915e-20,7.052396318839305e-18,9.476181097407485e-20,-6.26473508723161e-20,-8.604502747170976e-15,-7.470500756513673e-21,-4.4102093790840004e-17,-4.668570218745209e-22,-2.1504627974847337e-21,3.5227909403395506e-21,-2.201867312252658e-22,8.596386036789914e-15,1.2267489305581997e-06,9.320894375513217e-07,1.5391596828831941e-06,-1.8641659731499485e-06,-1.6446044560726722e-06,5.664930332122663e-10,7.113043374636396e-07,1.5647854767730468e-07,2.1854545117552463e-07,1.5647854767730468e-07,6.211353665563855e-07,6.211353665563855e-07,-2.329507430708463e-15,1.2422707457154045e-06,-1.0613717116150067e-15,4.213323985979194e-18,-1.3337719610240846e-14,1.242270739387763e-06,1.3551950163218112e-12,1.5370479185503417e-11,2.2478643553055793e-10,-2.6493737774669778e-11,-1.3122906362558694e-18,1.2411861556810938e-06,1.5370479185503417e-11,2.2478643553055793e-10,-6.060803839998268e-07,1.0845751102831308e-09,-6.203083813200802e-07,-1.5312572430504418e-08,-1.531257243044177e-08,-1.793506000799259e-15,1.6047207588598187e-08,3.173547503096645e-19,-1.2899616165276992e-11,1.6036984579809595e-08,1.0589937503768892e-11,5.511588399935704e-12,7.019305812380092e-12,4.749278740260641e-20,1.793505780612528e-15
0.026999999999999996,598,101324.99999999999,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.3691184447803278,0.0,0.0,0.5645291285465204,0.000537508906174833,0.00017916963505644766,6.716786314989179e-13,0.06563574813124883,0.0,0.004118889293485743,9.396686283823249e-11,0.7986254555008399,1.6301321614669805e-08,2.9526794630555682e-09,3.997162896497945e-08,8.6062152727956e-06,0.19681203957101326,4.360930275265142e-05,2.540644571322158e-05,0.00026726617601723594,8.863433388970495e-06,5.673627305155728e-13,1.0053456892694567e-08,8.979468789499697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.298534138256442e-07,1.8597068253243885e-06,6.199022739540914e-07,2.326999792762827e-15,-1.239804550215627e-06,0.0,-3.435565700237891e-16,3.359823472231655e-23,1.8827109305474316e-17,-1.3375074295481786e-22,-6.352747104407253e-22,4.658681209898652e-21,-5.350204201992983e-21,-3.6320714544749275e-16,1.181883575592722e-21,-6.349601184672523e-19,6.999085355540875e-21,-1.2200914035157158e-21,2.188661547985291e-22,1.2009878745183407e-24,3.442802482146304e-16,1.2238323512845338e-06,9.298534138256442e-07,1.535053480107419e-06,-1.8596939740892228e-06,-1.640763870794724e-06,5.642692066220783e-10,7.101421355291939e-07,1.558826728947536e-07,2.179178954155695e-07,1.558826728947536e-07,6.196456657607972e-07,6.196456657607972e-07,-2.326999792762827e-15,1.2392913440845424e-06,-1.0571482706561015e-15,4.1979333272279775e-18,-1.329799585551988e-14,1.2392913295578012e-06,1.3519447812106376e-12,1.5300223413745536e-11,2.2396933389627116e-10,-2.6334814628280822e-11,-1.3073804082110957e-18,1.2382104159531865e-06,1.5300223413745536e-11,2.2396933389627116e-10,-6.046099409110401e-07,1.0809132603343944e-09,-6.188213606937563e-07,-1.5292333043051266e-08,-1.5292333043045916e-08,-1.7892579452803215e-15,1.5982384453175313e-08,3.1616446271979804e-19,-1.2851235165806296e-11,1.5972198931093218e-08,1.0547150313861065e-11,5.494998622419659e-12,6.992819322560914e-12,4.7314997237372567e-20,1.7892579464813094e-15
0.036,598,101324.99999999999,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.36910747547505623,0.0,0.0,0.5644231993827121,0.0007157983860449448,0.00023859946156801684,8.950631492450324e-13,0.06551492729372353,0.0,0.004114332143753301,9.374187621060317e-11,0.7988424674556366,1.6285551348092485e-08,3.723670968331285e-09,3.999387002290174e-08,8.620545717447496e-06,0.19660064731663263,4.3526178300407685e-05,2.53316051887759e-05,0.0002665527808863272,8.852803741451784e-06,5.659312190638047e-13,1.0056514119376507e-08,8.959901622871571e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.276232372689819e-07,1.8552464722305374e-06,6.184154895620172e-07,2.3244963218282038e-15,-1.2368309815459638e-06,0.0,-7.142506205014724e-15,-1.3220505992990416e-21,-2.675574793677418e-17,-1.4099561220193945e-20,-1.7238602784282707e-17,-3.663417496874849e-19,4.0422000429751314e-19,-7.062542079481517e-15,-1.616880169055243e-20,7.045332830202934e-17,-6.824608407429006e-21,-9.43999194560829e-21,-1.2863446160214955e-20,3.218149371968525e-21,7.0894874190726455e-15,1.2209232867787558e-06,9.276232372689819e-07,1.5309592675822998e-06,-1.855233669179746e-06,-1.6369331167422734e-06,5.620549458738299e-10,7.089813993383964e-07,1.5528904040757843e-07,2.172921864684599e-07,1.5528904040757843e-07,6.181598589296228e-07,6.181598589296228e-07,-2.3244963218282038e-15,1.2363197303826515e-06,-1.0529435947207518e-15,4.182605067933375e-18,-1.3258397605602055e-14,1.236319722597301e-06,1.3487030419721793e-12,1.5230303357459648e-11,2.2315550070142891e-10,-2.6176863448133742e-11,-1.3024907322219345e-18,1.235242450726605e-06,1.5230303357459648e-11,2.2315550070142891e-10,-6.031433623566095e-07,1.0772647812085655e-09,-6.173382247808466e-07,-1.527212720540773e-08,-1.527212720581195e-08,-1.7850177512859257e-15,1.5917842949168557e-08,3.149790127120565e-19,-1.2803050791435772e-11,1.5907694767208004e-08,1.0504549056669672e-11,5.4784585637744115e-12,6.966440377092561e-12,4.713792060294228e-20,1.7850209694352977e-15
0.045,598,101325.0,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.36909653312263313,0.0,0.0,0.5643175304990801,0.000893649788093701,0.0002978832621397336,1.1181942716753201e-12,0.06539440332693512,0.0,0.004109780237394287,9.351752048664888e-11,0.7990591203907456,1.6269801117062156e-08,4.4910520563286624e-09,4.0015546580503773e-08,8.634775068498854e-06,0.1963896058541908,4.344320865473387e-05,2.5257015132492924e-05,0.00026584156799307093,8.842189147998878e-06,5.645040199080334e-13,1.0059572859022543e-08,8.940383161769881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.253988936004375e-07,1.8507977848789184e-06,6.169325938024114e-07,2.32199701155074e-15,-1.2338651899192908e-06,0.0,-4.031913621924116e-16,9.350129793512914e-23,7.502003262039889e-18,3.394324338048012e-22,-2.117582368135751e-22,8.152692117322641e-21,-8.341289296984731e-21,-4.107521635680607e-16,7.246465673069648e-22,1.0657336850996388e-20,2.1543345520511074e-21,-2.074155385976717e-22,-3.814432757835191e-22,8.733113839102704e-24,4.0321022790743725e-16,1.2180217190739008e-06,9.253988936004375e-07,1.526877012166631e-06,-1.8507850298166964e-06,-1.6331121703494146e-06,5.598502083531874e-10,7.07822130152712e-07,1.5469764252398382e-07,2.1666831940976017e-07,1.5469764252398382e-07,6.166779365610031e-07,6.166779365610031e-07,-2.32199701155074e-15,1.2333558856059772e-06,-1.0487575958710978e-15,4.167338942592674e-18,-1.3218924478654982e-14,1.2333558712107617e-06,1.3454697778752008e-12,1.5160717397689655e-11,2.2234492234341291e-10,-2.6019878180835603e-11,-1.2976215172983324e-18,1.232282241182993e-06,1.5160717397689655e-11,2.2234492234341291e-10,-6.016806389359827e-07,1.0736296245584053e-09,-6.158589641778528e-07,-1.5251954866428683e-08,-1.5251954866420342e-08,-1.78079481558783e-15,1.5853581833234774e-08,3.137983801087874e-19,-1.2755062222071635e-11,1.584347084538989e-08,1.0462132911160646e-11,5.461968095853083e-12,6.940168532041798e-12,4.6961554608536907e-20,1.780794824320944e-15
0.054,598,101325.0,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.3690856176495257,0.0,0.0,0.5642121211855263,0.001071064307488263,0.0003570214351597596,1.341072467982867e-12,0.06527417542095873,0.0,0.004105233574949619,9.329379381990687e-11,0.7992754148791638,1.6254070907420997e-08,5.254837179109282e-09,4.003666253015692e-08,8.64890377522713e-06,0.19617891461889453,4.336039362587931e-05,2.518267467555042e-05,0.00026513253034069373,8.831589594734697e-06,5.630811191244207e-13,1.0062633111081697e-08,8.920913291919767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.231803686294857e-07,1.8463607349376618e-06,6.154535771540127e-07,2.319501855217374e-15,-1.2309071566405154e-06,0.0,-2.1512144201114137e-14,1.0575783337150208e-21,1.462300304549424e-18,-7.701540570185558e-21,1.786180727522506e-18,7.386127300057499e-19,-6.417531889982406e-19,-2.1496687252725065e-14,-3.49667177943351e-21,1.4227507314625075e-17,-6.289206062431255e-22,3.0816613720663046e-21,-1.6778439702289153e-20,-6.787796131245333e-22,2.149527278752608e-14,1.2151276307112782e-06,9.231803686294857e-07,1.5228066808939403e-06,-1.84634802766902e-06,-1.6293010082047923e-06,5.576549516720913e-10,7.066643292667803e-07,1.5410847158318195e-07,2.1604628933929405e-07,1.5410847158318195e-07,6.151998892127204e-07,6.151998892127204e-07,-2.319501855217374e-15,1.2303997908701383e-06,-1.0445901864464363e-15,4.152134686803277e-18,-1.3179576092211593e-14,1.2303997976026437e-06,1.3422449683185932e-12,1.5091463924119722e-11,2.2153758529135334e-10,-2.5863852813553635e-11,-1.2927726727010681e-18,1.229329768365382e-06,1.5091463924119722e-11,2.2153758529135334e-10,-6.002217611816326e-07,1.0700077419888652e-09,-6.143835694121208e-07,-1.5231815972380163e-08,-1.523181597173841e-08,-1.77658016493075e-15,1.5789599868405162e-08,3.126225448361939e-19,-1.2707268641841386e-11,1.5779525929237135e-08,1.0419901060499485e-11,5.445527091063741e-12,6.9140033457153815e-12,4.678589637787103e-20,1.776579486151137e-15
0.06299999999999999,598,101324.99999999999,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.36907472898239746,0.0,0.0,0.5641069707338489,0.0012480431362044463,0.0004160143779537563,1.563698206406688e-12,0.06515424276803211,0.0,0.004100692156798915,9.307069436608577e-11,0.7994913514719315,1.623836070448278e-08,6.015040737551402e-09,4.005722174696517e-08,8.662932286271683e-06,0.19596857306804602,4.327773302248191e-05,2.510858295121405e-05,0.00026442566094591865,8.821005068150192e-06,5.616625028485448e-13,1.0065694876131177e-08,8.901491899931278e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.209676481328915e-07,1.8419352939339833e-06,6.13978430167494e-07,2.3170108463763517e-15,-1.2279568628355492e-06,0.0,3.3692192439883522e-15,1.1999293682999383e-20,1.9344162293173366e-17,-1.4760717006306212e-19,1.4906932838728432e-17,-7.761998170401595e-19,7.287494283816676e-19,3.566821488993054e-15,-4.8480020110380127e-20,2.0302315248570872e-16,1.6175479719970377e-20,-2.8204377346220585e-20,1.4159699474972315e-20,3.1157784091206897e-21,-3.586156153180681e-15,1.212241004048967e-06,9.209676481328915e-07,1.5187482407718645e-06,-1.841922634264746e-06,-1.6254996068368745e-06,5.55469133594176e-10,7.055079979155666e-07,1.5352151993499035e-07,2.1542609135262246e-07,1.5352151993499035e-07,6.137257074210759e-07,6.137257074210759e-07,-2.3170108463763517e-15,1.2274514272476603e-06,-1.0404412792928712e-15,4.136992037275297e-18,-1.3140352065836792e-14,1.2274514089583022e-06,1.3390285926543795e-12,1.5022541333038172e-11,2.2073347605656084e-10,-2.5708781368919236e-11,-1.2879441082017193e-18,1.226385013459063e-06,1.5022541333038172e-11,2.2073347605656084e-10,-5.987667196960724e-07,1.0663990853953023e-09,-6.129120310820512e-07,-1.52117104714216e-08,-1.521171047215035e-08,-1.772371814081215e-15,1.5725895821932854e-08,3.114514868823859e-19,-1.265966923738809e-11,1.5715858786582123e-08,1.0377852690651588e-11,5.42913542164702e-12,6.887944377732856e-12,4.661094304258739e-20,1.7723749298596241e-15
0.07199999999999998,598,101324.99999999999,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.3690638670481074,0.0,0.0,0.564002078437736,0.0014245874630353424,0.00047486248678554725,1.7860719542271522e-12,0.06503460456254974,0.0,0.004096155983362878,9.284822028774023e-11,0.7997069307363345,1.6222670493823874e-08,6.771677081788169e-09,4.0077228082320434e-08,8.67686104780505e-06,0.1957585806426364,4.3195226653698016e-05,2.5034739096082423e-05,0.00026372095285207155,8.810435554370654e-06,5.602481572469442e-13,1.0068758153894868e-08,8.882118871989568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.187607179458396e-07,1.8375214335770913e-06,6.12507143361647e-07,2.3145239783831322e-15,-1.22501428905126e-06,0.0,4.0498425300906313e-16,-1.3047281870766634e-23,-1.3505555205415937e-17,1.6419343286947035e-21,-6.1409888675936775e-21,-6.03510974918689e-21,6.485096002415737e-21,4.1848507145068e-16,-6.029613521757387e-22,-1.278640959794581e-19,-4.485197847874127e-21,1.031907814159902e-21,-9.709105385809068e-22,9.131747894818861e-23,-4.0491001334229135e-16,1.2093618208602278e-06,9.187607179458396e-07,1.5147016589309773e-06,-1.837508821313892e-06,-1.6217079428727369e-06,5.532927120890213e-10,7.043531373429307e-07,1.529367799549774e-07,2.1480772056219966e-07,1.529367799549774e-07,6.122553817609481e-07,6.122553817609481e-07,-2.3145239783831322e-15,1.2245107758883937e-06,-1.0363107875940067e-15,4.121910731821104e-18,-1.3101252019189413e-14,1.2245107607888883e-06,1.335820630318752e-12,1.4953948028798857e-11,2.1993258121413692e-10,-2.5554657908414558e-11,-1.2831357338915098e-18,1.2234479575870815e-06,1.4953948028798857e-11,2.1993258121413692e-10,-5.97315505051338e-07,1.0628036067168185e-09,-6.114443397549306e-07,-1.5191638310308937e-08,-1.5191638310315422e-08,-1.7681810391653355e-15,1.5662468466891683e-08,3.1028518632806124e-19,-1.2612263199117986e-11,1.5652468191032178e-08,1.0335986991403881e-11,5.412792960213406e-12,6.861991189706119e-12,4.643669174708111e-20,1.7681811304828145e-15
0.08099999999999999,598,101325.0,2.771e-08,0.066,0.5648484848484849,0.369151515151515,0.11684549356223174,598.0,1e-11,1e-22,IdealGasReactor,off,0.36905303177371024,0.0,0.0,0.5638974435927652,0.001600698473594492,0.0005335661568609453,2.0081941777754048e-12,0.06491526000106079,0.0,0.004091625054913776,9.262636974981171e-11,0.7999221532204714,1.6207000260541806e-08,7.524760510977603e-09,4.009668537001197e-08,8.690690505236976e-06,0.19554893680297236,4.311287432719677e-05,2.496114224888142e-05,0.0002630183991165093,8.799881039834923e-06,5.588380685426511e-13,1.0071822945090316e-08,8.862794095064417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.165595638767569e-07,1.833119125449148e-06,6.110397073194857e-07,2.3120412448216115e-15,-1.2220794169746298e-06,0.0,4.335565913937383e-15,-8.929660227016275e-22,-9.776513915879866e-18,8.621937467130996e-21,-7.762633445112035e-18,7.517417406881916e-20,-4.470414902481583e-20,4.351551933663689e-15,-5.905863586269046e-21,1.3709574335924325e-17,-7.911047941912753e-21,4.2486064212254884e-21,1.3411271776654508e-21,-9.892263459854233e-22,-4.341696498113642e-15,1.206490064054131e-06,9.165595638767569e-07,1.5106669024850344e-06,-1.833106560399428e-06,-1.6179259928896642e-06,5.511256452795205e-10,7.031997487376571e-07,1.5235424403020083e-07,2.1419117207754126e-07,1.5235424403020083e-07,6.107889027895561e-07,6.107889027895561e-07,-2.3120412448216115e-15,1.2215778179067121e-06,-1.0321986250221036e-15,4.106890509350243e-18,-1.306227557380131e-14,1.2215777989155185e-06,1.3326210607093727e-12,1.4885682422380504e-11,2.1913488738222812e-10,-2.5401476528731282e-11,-1.2783474603529133e-18,1.220518581999052e-06,1.4885682422380504e-11,2.1913488738222812e-10,-5.958681078820304e-07,1.0592212581630116e-09,-6.099804860613532e-07,-1.517159943745535e-08,-1.5171599437410646e-08,-1.7639990522162838e-15,1.559931658059393e-08,3.091236233171112e-19,-1.2565049720005212e-11,1.5589352920498634e-08,1.0294303155377212e-11,5.396499579240964e-12,6.836143344588888e-12,4.626313964390122e-20,1.7639980629899379e-15
