Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),ONOOJ(37),N2O2(48),X(1),HX(9),OX(10),HOX(13),H2OX(14),NH3_X(22),N_X(23),NO_X(24),N2X2(28),NN_ads(29),H2NX(30),O2_ads(49),NH_ads(60),NOX2(87),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],ONOOJ(37) ROP [kmol/m^3 s],N2O2(48) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],ONOOJ(37) surface ROP [kmol/m^2 s],N2O2(48) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],NH3_X(22) ROP [kmol/m^2 s],N_X(23) ROP [kmol/m^2 s],NO_X(24) ROP [kmol/m^2 s],N2X2(28) ROP [kmol/m^2 s],NN_ads(29) ROP [kmol/m^2 s],H2NX(30) ROP [kmol/m^2 s],O2_ads(49) ROP [kmol/m^2 s],NH_ads(60) ROP [kmol/m^2 s],NOX2(87) ROP [kmol/m^2 s],2 NO(5) <=> N2O2(48) ROP [kmol/m^3 s],NO(5) + O2(2) <=> ONOOJ(37) ROP [kmol/m^3 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3_X(22) ROP [kmol/m^2 s],O2_ads(49) <=> 2 OX(10) ROP [kmol/m^2 s],O2_ads(49) <=> 2 OX(10) ROP [kmol/m^2 s],NH3_X(22) + OX(10) <=> H2NX(30) + HOX(13) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(30) + HX(9) ROP [kmol/m^2 s],NH3_X(22) + X(1) <=> H2NX(30) + HX(9) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],HOX(13) + NH3_X(22) <=> H2NX(30) + H2OX(14) ROP [kmol/m^2 s],H2NX(30) + X(1) <=> HX(9) + NH_ads(60) ROP [kmol/m^2 s],HOX(13) + NH_ads(60) <=> H2NX(30) + OX(10) ROP [kmol/m^2 s],NH3_X(22) + NH_ads(60) <=> 2 H2NX(30) ROP [kmol/m^2 s],H2OX(14) + NH_ads(60) <=> H2NX(30) + HOX(13) ROP [kmol/m^2 s],NH3_X(22) + NH_ads(60) <=> 2 H2NX(30) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> 2 N_X(23) ROP [kmol/m^2 s],NH_ads(60) + X(1) <=> HX(9) + N_X(23) ROP [kmol/m^2 s],HOX(13) + N_X(23) <=> NH_ads(60) + OX(10) ROP [kmol/m^2 s],NH3_X(22) + N_X(23) <=> H2NX(30) + NH_ads(60) ROP [kmol/m^2 s],H2OX(14) + N_X(23) <=> HOX(13) + NH_ads(60) ROP [kmol/m^2 s],H2NX(30) + N_X(23) <=> 2 NH_ads(60) ROP [kmol/m^2 s],NOX2(87) <=> N_X(23) + OX(10) ROP [kmol/m^2 s],N_X(23) + O2_ads(49) <=> NOX2(87) + OX(10) ROP [kmol/m^2 s],NOX2(87) <=> N_X(23) + OX(10) ROP [kmol/m^2 s],NO_X(24) + X(1) <=> N_X(23) + OX(10) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_X(24) ROP [kmol/m^2 s],NO_X(24) + X(1) <=> NOX2(87) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(29) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(28) ROP [kmol/m^2 s],N2X2(28) <=> 2 N_X(23) ROP [kmol/m^2 s],NOX2(87) + N_X(23) <=> N2X2(28) + OX(10) ROP [kmol/m^2 s],NN_ads(29) + X(1) <=> N2X2(28) ROP [kmol/m^2 s],N2O2(48) + 2 X(1) <=> 2 NO_X(24) ROP [kmol/m^2 s]
0,598,101324.99999999999,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666666667,0.0,0.0,0.7833333333333333,0.0,0.0,0.0,0.066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07606634157232,0.0,0.0,0.0,-0.01710568578036615,0.0,0.0,0.0,-0.18315485905140577,0.01391649012639958,0.15213268314464,0.0,0.0,0.0031891956539665694,0.0,0.0,0.0,0.0,0.01391649012639958,0.0,0.0,0.0,0.0,0.0,0.07606634157232,0.0031891956539665694,0.0,0.0,0.0,0.0,0.0,0.01391649012639958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,598,101324.99999999999,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666639977,0.0,0.0,0.7833333333238357,1.0629243595497948e-11,7.476270710768397e-13,5.590908254554542e-12,0.06599999999279693,0.0,2.7599197065191064e-22,3.1275818152488224e-30,1.0534307155931423e-06,7.101108211740894e-18,0.9999903031761447,4.229110283255097e-12,3.648665172418033e-17,6.540539206167234e-09,5.353634387433594e-13,8.636842908198279e-06,1.2863677987182652e-24,8.313521827160913e-20,9.008791787626892e-14,2.9670712209791997e-15,3.826844079979066e-12,1.007909075730105e-12,0.0,0.0,0.0,-5.742642256004423e-19,0.0,0.0,-5.7426423862611355e-19,0.0,0.0,5.742642256004423e-19,6.512835633504673e-27,0.0,0.0,0.0,-8.437431063294619e-14,1.1058282427807586e-13,7.778042932950671e-15,5.816579698762309e-14,-7.372188245036035e-14,0.0,0.0,1.6026542528844616e-36,3.752437984403219e-22,-5.8365357184296725e-28,-1.0557019668977065e-21,-6.020586428646762e-27,1.2700058839518486e-25,-4.0177398246599818e-22,-1.0477571207687815e-21,-2.772741321123643e-23,-1.1002627123696611e-34,-1.5575727276022624e-29,2.0633296472724078e-27,4.704588221929726e-24,-2.4045466467267966e-28,1.0740926481747024e-21,6.512835633504673e-27,5.742642256004423e-19,8.437431063294619e-14,5.827852690329572e-14,-2.3522948669476725e-24,-2.3522948669476725e-24,5.521418515609429e-14,1.8660678142491646e-14,-8.098851543053836e-23,1.5443355547064628e-14,3.0638305408045685e-15,-1.1058282419708735e-13,-1.105823125876316e-13,6.2073892211866195e-30,5.116079183589586e-19,3.853952729682191e-20,-7.372184463444105e-14,1.298587782857961e-25,-8.33064721705646e-25,1.298587782857961e-25,-7.77804162704037e-15,1.534535960830895e-16,-7.356842893280144e-14,-7.227808884306129e-27,-8.313311076566643e-25,-3.224094249108103e-22,-2.9082898869020517e-14,1.5119656192603666e-30,-2.9082898869020517e-14,-5.900113764020165e-22,-5.816579698762309e-14,-5.81657963698843e-14,-1.2990378876731953e-21,-6.872411972847159e-24,-1.0118461990821997e-21,2.9406408498800543e-22,-1.299037872097468e-21,-1.6026542528844616e-36
0.018,598,101324.99999999999,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666613282,0.0,0.0,0.7833333333143383,2.1258005928264566e-11,1.4954403641614496e-12,1.1181123223286088e-11,0.06599999998559415,0.0,5.519497421182458e-22,1.2508775998971719e-29,1.0533925909597192e-06,7.10066009288553e-18,0.9999903018262978,4.22901478080535e-12,3.649682963879573e-17,6.540302497495625e-09,5.354301098292509e-13,8.638231116674688e-06,1.3849281910741493e-24,1.65886723007609e-19,9.008383906723247e-14,2.967071212969018e-15,3.8266711044671095e-12,1.0080345937919563e-12,0.0,0.0,0.0,-5.741930638339557e-19,0.0,0.0,-5.741931028604824e-19,0.0,0.0,5.741930638339557e-19,1.9513263351546948e-26,0.0,0.0,0.0,-8.436820084151107e-14,1.1057781739308364e-13,7.779980319110482e-15,5.815858428995656e-14,-7.371854519435237e-14,0.0,0.0,1.6031690970498107e-36,-2.2245777024841785e-22,4.0715625748946075e-28,5.0281547287970575e-22,-2.600085543608455e-27,5.05882170201265e-28,2.656303090861545e-22,5.02445362566296e-22,4.369938529593763e-23,1.034435028723613e-35,5.380104859871741e-30,2.975456900578231e-29,-4.652906063392137e-25,-8.874685183736383e-30,-5.456002375337741e-22,1.9513263351546948e-26,5.741930638339557e-19,8.436820084151107e-14,5.82763074474313e-14,2.3264454728053903e-25,2.3264454728053903e-25,5.521218682484556e-14,1.865932608769693e-14,-8.098156955842193e-23,1.5442237746921067e-14,3.063608778852992e-15,-1.1057781731210207e-13,-1.1057730573258833e-13,6.206856846349387e-30,5.115778499611282e-19,3.8536387668075186e-20,-7.37185067141324e-14,1.2984848018774197e-25,-8.330081924239501e-25,1.2984848018774197e-25,-7.779979012874922e-15,1.5344110651718527e-16,-7.356510349899499e-14,-7.22316611047445e-27,-8.312747586170245e-25,-3.223713612241967e-22,-2.907929174612741e-14,1.5117781356255921e-30,-2.907929174612741e-14,-5.899382117100988e-22,-5.815858428995656e-14,-5.815858374371773e-14,-1.2993614360527507e-21,-6.874123680459632e-24,-1.012098233795672e-21,2.941373313176537e-22,-1.2993614414328556e-21,-1.6031690970498107e-36
0.026999999999999996,598,101324.99999999996,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666586598,1.0190464329852911e-81,0.0,0.7833333333048422,3.188628706507462e-11,2.2434398406880263e-12,1.6770645027827808e-11,0.06599999997839175,0.0,8.278732959232721e-22,2.81412562827476e-29,1.0533544710825394e-06,7.100212042902244e-18,0.9999903004767401,4.228919289506497e-12,3.650700639170836e-17,6.540065818356268e-09,5.354967588534686e-13,8.63961903068569e-06,1.4834987638029564e-24,2.4865284138182317e-19,9.007976082629091e-14,2.967071204960458e-15,3.826498153025228e-12,1.00816007031897e-12,0.0,0.0,0.0,-5.741218713713136e-19,0.0,0.0,-5.741219366006441e-19,0.0,0.0,5.741218713713136e-19,3.261466526545751e-26,0.0,0.0,0.0,-8.436209203338543e-14,1.1057281120534888e-13,7.781917305319295e-15,5.815137286135948e-14,-7.371520755369233e-14,0.0,0.0,1.6036836550584826e-36,-1.554013315236856e-22,-8.423988841001357e-28,-8.346610334184402e-23,4.354512196819985e-27,-1.9167626111461638e-27,8.346027159790402e-23,-8.389598828479999e-23,-7.364539091701764e-23,-5.64237288394698e-35,-1.7778477676469183e-29,-9.607293355989755e-28,6.979321302509324e-25,6.713699341496574e-28,1.557756907025966e-22,3.261466526545751e-26,5.741218713713136e-19,8.436209203338543e-14,5.82740874270161e-14,-3.4896682092080855e-25,-3.4896682092080855e-25,5.5210188742924774e-14,1.8657974250654808e-14,-8.097462491729373e-23,1.5441120126676233e-14,3.0633870525925417e-15,-1.1057281112437425e-13,-1.105722995749221e-13,6.2063245658632565e-30,5.115477860583409e-19,3.853324858263156e-20,-7.371516925874448e-14,1.2983818383958696e-25,-8.329516722951657e-25,1.2983818383958696e-25,-7.781915998758499e-15,1.534286191112384e-16,-7.356177852794936e-14,-7.218524849036387e-27,-8.312184186949486e-25,-3.2233330621370356e-22,-2.907568632391764e-14,1.5115906846842542e-30,-2.907568632391764e-14,-5.898650617353673e-22,-5.815137286135948e-14,-5.815137219784903e-14,-1.2996849617495219e-21,-6.875835034745096e-24,-1.0123502164794825e-21,2.9421056252625045e-22,-1.2996849439710442e-21,-1.6036836550584826e-36
0.036,598,101325.0,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666559905,5.187786723206815e-81,3.755971468112755e-86,0.783333333295346,4.251408707273337e-11,2.9916254621098095e-12,2.235947378984583e-11,0.06599999997118962,4.017866859040414e-96,1.1037626380729548e-21,5.0022697230986285e-29,1.0533163559225365e-06,7.099764061325583e-18,0.9999902991274736,4.228823809260318e-12,3.6517181981540973e-17,6.539829168504733e-09,5.355633857406143e-13,8.641006649284702e-06,1.5820795095288473e-24,3.3143356797304417e-19,9.007568314921993e-14,2.967071196953691e-15,3.8263252254744684e-12,1.008285505169247e-12,0.0,0.0,0.0,-5.740506821398458e-19,0.0,0.0,-5.74050773016622e-19,0.0,0.0,5.740506821398458e-19,4.543838814073028e-26,0.0,0.0,0.0,-8.435598420222632e-14,1.1056780570981398e-13,7.783853889145927e-15,5.814416269464978e-14,-7.371187048964446e-14,0.0,0.0,1.6041979266592957e-36,-8.156141863286407e-23,1.2654379868371009e-27,3.89077318238323e-22,-3.887506540929146e-27,1.3025439542332901e-27,1.6435121042217198e-23,3.8423617432471455e-22,-6.486846137665624e-23,1.786751413249877e-35,5.967284788728952e-30,9.252950603848223e-28,-2.5590915314892065e-24,-1.7333739278034445e-27,-3.190991968984889e-22,4.543838814073028e-26,5.740506821398458e-19,8.435598420222632e-14,5.827186780447478e-14,1.2795450100429647e-24,1.2795450100429647e-24,5.5208190908268486e-14,1.8656622629955057e-14,-8.096768149987107e-23,1.5440002685169675e-14,3.0631653617921154e-15,-1.1056780562884629e-13,-1.1056729410945691e-13,6.205792379170032e-30,5.115177266192948e-19,3.853011003720496e-20,-7.37118322648204e-14,1.2982788923053636e-25,-8.328951612602328e-25,1.2982788923053636e-25,-7.783852582260008e-15,1.534161338521849e-16,-7.355845401622434e-14,-7.213885101013616e-27,-8.311620878316074e-25,-3.222952598530758e-22,-2.907208100758699e-14,1.5114032770892706e-30,-2.907208100758699e-14,-5.897919238893723e-22,-5.814416269464978e-14,-5.81441620399894e-14,-1.300008373338603e-21,-6.877546033363052e-24,-1.0126021468173707e-21,2.9428377852189806e-22,-1.3000083793058878e-21,-1.6041979266592957e-36
0.045,598,101325.00000000003,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.1506666666653322,-1.038796985790213e-80,7.177300953109877e-85,0.783333333285851,5.314140601787169e-11,3.739997189800299e-12,2.7947609630756415e-11,0.06599999996398784,-2.066929811439711e-87,1.3796177745609457e-21,7.815077423936348e-29,1.053278245501096e-06,7.099316148402939e-18,0.9999902977784969,4.228728340120619e-12,3.6527356409504354e-17,6.53959254807388e-09,5.356299905465575e-13,8.642393973146788e-06,1.68067042153955e-24,4.1422889741549325e-19,9.007160603829329e-14,2.9670711889485558e-15,3.826152321910887e-12,1.008410898447941e-12,0.0,0.0,0.0,-5.739795284512949e-19,0.0,0.0,-5.73979646591104e-19,0.0,0.0,5.739795284512949e-19,5.906990458294936e-26,0.0,0.0,0.0,-8.434987735137843e-14,1.105628009092632e-13,7.785790071974508e-15,5.813695379356823e-14,-7.370853395939366e-14,0.0,0.0,1.6047119122029885e-36,-1.8378146377704633e-23,9.571957817862471e-30,-1.8598437136980245e-24,5.048709793414476e-29,3.273468859896303e-30,1.9884848954667536e-23,1.029180603137184e-25,3.423694193982642e-24,3.76158192263132e-37,2.4638361593235146e-33,-1.8908619809544655e-29,-5.17002995004385e-26,5.7931972727168054e-30,-1.5350425131428888e-24,5.906990458294936e-26,5.739795284512949e-19,8.434987735137843e-14,5.826964853638036e-14,2.5849394142282115e-26,2.5849394142282115e-26,5.520619332199827e-14,1.8655271226344533e-14,-8.096073930991212e-23,1.5438885423013307e-14,3.0629437065731517e-15,-1.1056280082830246e-13,-1.1056228933896686e-13,6.205260286557765e-30,5.114876716605892e-19,3.8526972033500616e-20,-7.370849573422081e-14,1.2981759636618227e-25,-8.32838659350124e-25,1.2981759636618227e-25,-7.785788764763504e-15,1.5340365074679346e-16,-7.355512996566647e-14,-7.209246864924185e-27,-8.311057660577952e-25,-3.222572221532698e-22,-2.906847675004753e-14,1.5112158742697327e-30,-2.906847675004753e-14,-5.897188007605635e-22,-5.813695379356823e-14,-5.813695320727312e-14,-1.3003317476661398e-21,-6.879256677698216e-24,-1.0128540249893876e-21,2.943569793569147e-22,-1.3003317476686037e-21,-1.6047119122029885e-36
0.054,598,101324.99999999999,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666506537,2.1652733825467322e-107,7.177300953097164e-85,0.7833333332763565,6.376824396748576e-11,4.488554985313089e-12,3.353505267246968e-11,0.06599999995678639,-5.891156133054028e-148,1.655438711405277e-21,1.1252316353824544e-28,1.0532401398310824e-06,7.098868304280444e-18,0.9999902964298095,4.228632882120097e-12,3.6537529676440625e-17,6.5393559571438056e-09,5.356965733085537e-13,8.643781002717033e-06,1.779271493032155e-24,4.970388243327331e-19,9.006752949486297e-14,2.967071180945177e-15,3.825979442392135e-12,1.0085362502252103e-12,0.0,0.0,0.0,-5.739083456821755e-19,0.0,0.0,-5.739084894694305e-19,0.0,0.0,5.739083456821755e-19,7.189362745822213e-26,0.0,0.0,0.0,-8.434377148282082e-14,1.1055779680536108e-13,7.787725854648754e-15,5.812974616030445e-14,-7.370519785039188e-14,0.0,0.0,1.605225611954976e-36,1.4272134460462075e-23,-6.204728288195e-30,-1.9975270784742307e-23,-1.262177448353619e-29,2.9307555201478014e-29,-1.9848862695904133e-23,-1.9260968715058508e-23,-4.9618467414187795e-24,-7.52316384526264e-37,-4.9968854260234455e-33,4.8205098807870844e-30,2.584788311376585e-26,2.070759876205156e-29,2.4861551382262932e-23,7.189362745822213e-26,5.739083456821755e-19,8.434377148282082e-14,5.826742950982267e-14,-1.2924697071141057e-26,-1.2924697071141057e-26,5.520419598479034e-14,1.8653920040256622e-14,-8.09537983496159e-23,1.543776834056921e-14,3.0627220870075873e-15,-1.1055779672440727e-13,-1.1055728526512228e-13,6.204728288195e-30,5.114576211921425e-19,3.8523834572517596e-20,-7.370515966805219e-14,1.298073052498357e-25,-8.32782166583129e-25,1.298073052498357e-25,-7.787724547112738e-15,1.5339116979905154e-16,-7.355180637738419e-14,-7.204610139643102e-27,-8.31049453391813e-25,-3.2221919312008e-22,-2.9064872942494316e-14,1.511028516265917e-30,-2.9064872942494316e-14,-5.896456892797791e-22,-5.812974616030445e-14,-5.812974556569692e-14,-1.3006550492050803e-21,-6.880966968420873e-24,-1.0131058511052977e-21,2.9443016506320575e-22,-1.3006550492000834e-21,-1.605225611954976e-36
0.06299999999999999,598,101324.99999999999,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666479855,7.118279417060427e-82,7.177300953084455e-85,0.7833333332668627,7.439460098849857e-11,5.237298810170881e-12,3.912180303678544e-11,0.06599999994958526,7.748388088536797e-201,1.9312254546185235e-21,1.5313754219055262e-28,1.0532020389096087e-06,7.098420528919381e-18,0.9999902950814118,4.228537435251668e-12,3.6547701782507283e-17,6.539119395696383e-09,5.357631340296646e-13,8.645167738017747e-06,1.877882717054883e-24,5.798633433541728e-19,9.006345351859702e-14,2.9670711729435154e-15,3.825806586904058e-12,1.008661560506814e-12,0.0,0.0,0.0,-5.7383720168714745e-19,0.0,0.0,-5.738373713237965e-19,0.0,0.0,5.7383720168714745e-19,8.481832452936319e-26,0.0,0.0,0.0,-8.433766659600798e-14,1.1055279339769837e-13,7.789661237018698e-15,5.812253979420129e-14,-7.370186226510968e-14,0.0,0.0,1.6057390260236487e-36,-6.945911576713763e-24,1.903935258304209e-29,2.4991214451597522e-23,-8.835242138475332e-29,-7.74899017133805e-30,-2.2529825549550476e-26,2.1768402845934416e-23,-9.95856744573557e-24,4.70197740328915e-36,1.852202938703662e-33,-1.2965757843764772e-29,-1.5108411905881959e-30,3.475918363630083e-30,-1.4916288592176087e-23,8.481832452936319e-26,5.7383720168714745e-19,8.433766659600798e-14,5.826521082737211e-14,0.0,0.0,5.520219889649151e-14,1.8652569071571645e-14,-8.094685861831114e-23,1.543665143773757e-14,3.062500503075527e-15,-1.1055279331675151e-13,-1.1055228188751257e-13,6.204196384030288e-30,5.114275752113764e-19,3.852069765395822e-20,-7.370182406604262e-14,1.2979701588052717e-25,-8.327256829541274e-25,1.2979701588052717e-25,-7.789659929157737e-15,1.53378691007772e-16,-7.35484832511051e-14,-7.19997492469898e-27,-8.309931498285405e-25,-3.2218117274956925e-22,-2.906126973712859e-14,1.5108411905881959e-30,-2.906126973712859e-14,-5.895725905686805e-22,-5.812253979420129e-14,-5.812253919467013e-14,-1.300978283873422e-21,-6.882676905411026e-24,-1.0133576251455904e-21,2.9450333563509944e-22,-1.3009782838752742e-21,-1.6057390260236487e-36
0.07199999999999998,598,101324.99999999994,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.1506666666645317,5.7764597149737715e-78,7.177300953071743e-85,0.7833333332573694,8.502047714729047e-11,5.9862286256394026e-12,4.4707860844746516e-11,0.06599999994238447,7.748388088523073e-201,2.2069780101758983e-21,1.9999158808518663e-28,1.0531639427190685e-06,7.097972822107642e-18,0.999990293733304,4.228441999471024e-12,3.655787272721834e-17,6.5388828636209984e-09,5.358296726810806e-13,8.646554178677848e-06,1.9765040864772827e-24,6.627024490869109e-19,9.005937810757662e-14,2.967071164943567e-15,3.825633755365341e-12,1.008786829238508e-12,0.0,0.0,0.0,-5.737660576921194e-19,0.0,0.0,-5.737662499469883e-19,0.0,0.0,5.737660576921194e-19,9.612743446661161e-26,0.0,0.0,0.0,-8.433156268803675e-14,1.1054779068392173e-13,7.79159621800768e-15,5.811533469195606e-14,-7.36985278713779e-14,0.0,0.0,1.6062521543711835e-36,-7.849517859998925e-22,-1.4356196248342795e-27,-3.086136699888481e-22,4.203050903017551e-27,-2.9099301567358354e-27,7.487653660031499e-22,-3.129758289025022e-22,-4.1351003179079855e-23,-1.0363158196849287e-34,-5.534645334230844e-29,-8.154508849307223e-28,5.945345546185866e-25,-1.1686234753750645e-27,3.489700255343683e-22,9.612743446661161e-26,5.737660576921194e-19,8.433156268803675e-14,5.826299315739063e-14,-2.972680326362443e-25,-2.972680326362443e-25,5.520020205616819e-14,1.8651218319647975e-14,-8.093992011263752e-23,1.5435534713987265e-14,3.0622789546709905e-15,-1.1054779060298181e-13,-1.1054727920378159e-13,6.203664573806072e-30,5.113975337039802e-19,3.851756127630816e-20,-7.369848892662214e-14,1.2978672825327881e-25,-8.326692084360029e-25,1.2978672825327881e-25,-7.791594909821788e-15,1.5336621436693353e-16,-7.354516058526628e-14,-7.195341220225805e-27,-8.30936855340962e-25,-3.221431610287017e-22,-2.905766735232603e-14,1.5106539020120153e-30,-2.905766735232603e-14,-5.894995050586762e-22,-5.811533469195606e-14,-5.811533406110555e-14,-1.301301506860806e-21,-6.884386487833935e-24,-1.0136093469701956e-21,2.945764910318872e-22,-1.3013014515143526e-21,-1.6062521543711835e-36
0.08099999999999999,598,101324.99999999996,2.771e-08,0.066,0.7833333333333333,0.15066666666666667,0.08425531914893618,598.0,1e-11,1e-22,IdealGasReactor,off,0.15066666666426487,1.9285798293613126e-77,7.177300953059032e-85,0.7833333332478767,9.56458725108899e-11,6.735344393300701e-12,5.029322621827911e-11,0.06599999993518396,7.748388088509349e-201,2.4826963840962187e-21,2.5308297994914185e-28,1.0531258512090625e-06,7.097525183249237e-18,0.9999902923854874,4.228346574653291e-12,3.6568042508690754e-17,6.538646360610404e-09,5.358961891618609e-13,8.647940323431665e-06,2.075135593722625e-24,7.455561360596117e-19,9.005530325644687e-14,2.9670711569453705e-15,3.825460947548753e-12,1.0089120562302633e-12,0.0,0.0,0.0,-5.736949395464854e-19,0.0,0.0,-5.736951608819227e-19,0.0,0.0,5.736949395464854e-19,1.106677186716453e-25,0.0,0.0,0.0,-8.432545975075011e-14,1.1054278865745242e-13,7.793530794440412e-15,5.810813084424278e-14,-7.369519175023813e-14,0.0,0.0,1.6067649966271688e-36,6.329716710438011e-22,2.8409768026452123e-28,-5.764510188126262e-22,-1.1233379290347208e-27,1.4075617185658021e-27,-6.880640626014082e-22,-5.715422256005522e-22,-5.010852043028557e-23,1.6325265544219929e-34,5.816869302722026e-29,1.1324889835668044e-28,-2.326460577471962e-25,-4.432658730243442e-28,6.268295712505408e-22,1.106677186716453e-25,5.736949395464854e-19,8.432545975075011e-14,5.82607735824122e-14,1.1632227364026952e-25,1.1632227364026952e-25,5.51982054612267e-14,1.8649867782678546e-14,-8.093298282331543e-23,1.5434418167825932e-14,3.0620574415005637e-15,-1.1054278857651943e-13,-1.1054227720736071e-13,6.203132856811106e-30,5.113674966305223e-19,3.851442543538432e-20,-7.369515424540875e-14,1.2977644235449967e-25,-8.326127429540072e-25,1.2977644235449967e-25,-7.793529485929823e-15,1.533537398598902e-16,-7.354183837549941e-14,-7.190709027781882e-27,-8.308805698545381e-25,-3.221051579249448e-22,-2.9054065563093515e-14,1.5104666571495308e-30,-2.9054065563093515e-14,-5.894264323799875e-22,-5.810813084424278e-14,-5.810813020470783e-14,-1.3016244934183336e-21,-6.886095712411779e-24,-1.0138610161660697e-21,2.9464963113353196e-22,-1.3016245515870266e-21,-1.6067649966271688e-36
