Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,498,101325.00000000001,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.37999999999999995,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.11999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06388864654744812,0.0,0.0,0.0,-0.5785484010174913,0.0,-0.7072281759909268,0.0009024818785393823,0.12777729309489624,0.0,0.0,0.0,0.0,0.0,0.0009024818785393823,0.5776459191389519,0.0,0.0,0.0,0.0,0.0,0.5776459191389519,0.06388864654744812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009024818785393823,0.0,0.0,0.0,0.0,0.0
0.009,498,101324.99999981052,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.3800015434537518,0.0,0.0,0.4998379888723919,7.1856812872996685e-06,8.802733286174842e-12,6.723062136002021e-24,0.12015328198376628,0.0,0.16115492105760748,1.677130721127995e-08,0.8060029009988637,3.3092252621199515e-08,5.1798050128475126e-08,2.560187496125681e-10,8.658686995100321e-11,1.5058442287837636e-05,0.0015739970925685673,0.025728824485754618,0.0055239458092258675,1.3435319212769206e-07,2.8521273970726297e-13,8.881743291476472e-17,1.1575599887541124e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016587081812944882,7.149330760714623e-05,9.052030610449644e-11,6.917910742968126e-23,0.0007062590630137097,0.0,-0.0025390060201108348,-7.661924040402856e-10,0.0032453119799940753,-4.3968619806597985e-10,-4.8730465741872887e-08,1.3109033940666275e-11,5.793926724756451e-12,6.570188263016281e-07,-1.519893497431378e-05,-0.0007697711543722984,7.804619561615764e-05,4.366730521891008e-09,4.029881602667573e-15,5.627757408331727e-18,3.2263093524239452e-09,-0.0007286597022511665,0.0016587081812944882,0.00010305685475002918,-7.148797488372217e-05,-5.578038597582354e-05,2.96617155387694e-07,1.1015314912195888e-06,3.112560098622983e-05,1.5358437257646883e-05,3.112560098622983e-05,3.301207718264824e-07,3.301207718264824e-07,-6.917910742968126e-23,6.602415391653469e-07,3.4587313293608696e-16,1.0960386757332709e-18,-4.2815396725383464e-20,3.222713315827186e-09,5.5268501195807166e-14,2.506052812262511e-10,1.9020145565913274e-09,-2.3570523795475907e-10,-3.571268057085902e-25,-3.597988207582753e-12,2.506052812262511e-10,1.9020145565913274e-09,-9.045964230364382e-11,1.9516108235606424e-15,-1.0942131515909561e-10,-6.066380085262919e-14,-5.85459052560908e-12,-1.0514463605996392e-16,2.2405895595347232e-05,7.910686660682208e-18,-5.332723424065586e-09,2.2400639237456817e-05,9.683399083172792e-09,9.131681443302432e-11,4.8172909936492995e-11,3.7472009125002933e-20,1.1077239346829565e-16
0.018,498,101325.0,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.3800014382130854,0.0,0.0,0.4998370195992697,8.847367281174416e-06,5.539047971676591e-07,4.120388225360962e-16,0.1201521409155662,0.0,0.00036772945574517247,5.499894575527931e-12,0.06606465142930189,5.332647537380545e-10,1.9671580907269764e-11,1.2537178553653423e-08,1.8559928168175158e-06,0.9322997534896998,1.7569028685061346e-05,5.8249945163098894e-05,0.0011728499318932617,9.74418199966546e-07,1.0215923271695644e-13,1.972413972254453e-10,1.635301553640874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.636240440564118e-09,1.7272480876770578e-08,5.7574936235673195e-09,4.282953620494214e-18,-1.151498723630311e-08,0.0,6.739068310429535e-16,-3.2128649194848937e-24,1.8167412281152428e-19,-4.626082976161227e-22,7.994866056447523e-20,-5.174841912131741e-21,5.102050018227075e-21,6.5886181410113825e-16,-8.593920042351272e-23,-1.4931623556983418e-17,3.649909963492293e-21,1.81364196063653e-22,1.2986211631787755e-22,-8.326174149487917e-25,-6.590484031197254e-16,1.1396706067095305e-08,8.636240440564118e-09,1.91424191955004e-08,-1.7272452696934013e-08,-1.4486173864526267e-08,1.0821212624356031e-11,1.0077635848149024e-09,3.877698628611152e-09,2.7624427657439377e-09,3.877698628611152e-09,5.7450707925997955e-09,5.7450707925997955e-09,-4.282953620494214e-18,1.149014163143386e-08,-1.7389047718543027e-17,6.3260710692283444e-21,-3.068766391873334e-17,1.1490140922054692e-08,9.618097004731012e-16,5.938994742095267e-13,6.507427056517005e-12,-1.0618712993683969e-11,-4.6944964395362e-21,1.1488142037661062e-08,5.938994742095267e-13,6.507427056517005e-12,-4.450948941587113e-09,1.9995434420330876e-12,-5.7554940801252136e-09,-1.3065446819802064e-09,-1.3065446819853084e-09,-1.8406643227368064e-18,1.1832936781747178e-10,4.180601037391209e-23,-2.817983656668418e-14,1.1828116920780473e-10,5.0712683847717706e-14,2.325759696787484e-15,2.3338162046993994e-14,1.7334133325083463e-23,1.8406634901193915e-18
0.026999999999999996,498,101324.99999999996,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.38000133297241034,0.0,0.0,0.4998360503260682,1.0509053410986978e-05,1.1078008369167908e-06,8.240770875228568e-16,0.12015099984727275,0.0,0.00036772992918701305,5.499857047395959e-12,0.06606521200701895,5.332652543106514e-10,2.1142136235431848e-11,1.2537593003335904e-08,1.8560518782754626e-06,0.9322992020252799,1.7569025043539485e-05,5.824946693808738e-05,0.0011728407543820194,9.744185096449189e-07,1.0215842030067628e-13,1.9724270025996008e-10,1.6353026917304978e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.636245930977045e-09,1.727249185767117e-08,5.7574972837488015e-09,4.282950267213974e-18,-1.1514994571732794e-08,0.0,-1.6474548982334425e-16,4.102808562074033e-24,-2.215725986146027e-22,7.323378202133976e-23,-8.768114493062093e-23,-1.736252105748805e-21,1.722396830488542e-21,-1.6479497554159872e-16,1.0796418190892617e-23,-4.794284746684775e-20,-2.5884738266279637e-23,2.2991824399209522e-23,-2.414635931031466e-23,-8.614379797348789e-25,1.6479520417343146e-16,1.1396714220837743e-08,8.636245930977045e-09,1.9142424195650363e-08,-1.727246367803341e-08,-1.4486182993809928e-08,1.0821133536005369e-11,1.0077719271015035e-09,3.877697024307419e-09,2.762444786192214e-09,3.877697024307419e-09,5.745074585741028e-09,5.745074585741028e-09,-4.282950267213974e-18,1.1490149217716298e-08,-1.7388893782814697e-17,6.326023486732124e-21,-3.068763940716056e-17,1.1490149331994104e-08,9.618103354921168e-16,5.938947038558952e-13,6.5073822444028216e-12,-1.0618546577677417e-11,-4.694456928329986e-21,1.1488149621729857e-08,5.938947038558952e-13,6.5073822444028216e-12,-4.450953069551442e-09,1.9995454690423376e-12,-5.755497738279745e-09,-1.306544214197359e-09,-1.3065442141990813e-09,-1.8406663906883378e-18,1.183285492025831e-10,4.1805715434619003e-23,-2.817963776174338e-14,1.1828035089505203e-10,5.0712332973621655e-14,2.3257622090892764e-15,2.333800947313535e-14,1.733402776125753e-23,1.840665529250358e-18
0.036,498,101325.00000000001,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.3800012277317266,0.0,0.0,0.49983508105278734,1.2170739676716802e-05,1.6616969219719962e-06,1.2361148016791754e-15,0.12014985877888595,0.0,0.0003677304026245005,5.4998195190438396e-12,0.06606577259391595,5.332657548811463e-10,2.2612695469913045e-11,1.2538007454791018e-08,1.8561109398661713e-06,0.9322986505517303,1.7569021401585874e-05,5.824898871091921e-05,0.001172831576827786,9.744188193115882e-07,1.0215760788152295e-13,1.972440033169507e-10,1.6353038297822674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.63625142112653e-09,1.7272502838007337e-08,5.75750094379319e-09,4.282946913890779e-18,-1.1515001897558973e-08,0.0,-5.076790848471122e-17,3.379320468012832e-24,-1.0763805484588728e-19,2.3385090305346626e-22,-4.014803821087375e-20,2.661867211195643e-21,-2.686062244112819e-21,-4.511275789434718e-17,4.457664319318454e-23,5.5814884551801105e-18,-2.2052183365800516e-21,4.040219914760347e-23,-3.7535750383308466e-23,-1.3556032013905677e-24,4.522312327850494e-17,1.1396722364984992e-08,8.63625142112653e-09,1.914242919507939e-08,-1.727247465856838e-08,-1.448619212265032e-08,1.0821054447043715e-11,1.007780269499827e-09,3.877695419813415e-09,2.7624468065606427e-09,3.877695419813415e-09,5.745078378707048e-09,5.745078378707048e-09,-4.282946913890779e-18,1.1490156803648172e-08,-1.738873984645819e-17,6.3259759039338756e-21,-3.068761489454068e-17,1.1490156798243945e-08,9.618109704817995e-16,5.938899334678271e-13,6.5073374319288644e-12,-1.0618380162194078e-11,-4.694417416949188e-21,1.1488157205524839e-08,5.938899334678271e-13,6.5073374319288644e-12,-4.45095719739692e-09,1.9995474959821706e-12,-5.755501396297183e-09,-1.3065437463962703e-09,-1.3065437463935842e-09,-1.8406689239289637e-18,1.1832773057938187e-10,4.1805420492696305e-23,-2.817943895503007e-14,1.1827953257398222e-10,5.071198209596186e-14,2.3257647213051417e-15,2.333785689767476e-14,1.7333922196135495e-23,1.8406675683257623e-18
0.045,498,101324.99999999997,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.38000112249103435,0.0,0.0,0.49983411177942744,1.3832426078336236e-05,2.2155930523234804e-06,1.648151965000949e-15,0.12014871771040585,0.0,0.0003677308760509707,5.499781990370586e-12,0.06606633318882157,5.332662554399573e-10,2.408325860994352e-11,1.2538421907756049e-08,1.8561700015843283e-06,0.932298099070252,1.7569017758886044e-05,5.82485104805424e-05,0.0011728223992089344,9.744191289583617e-07,1.021567954584243e-13,1.9724530639674607e-10,1.6353049677686434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.636256910699571e-09,1.7272513817091013e-08,5.757504603603522e-09,4.282943560530153e-18,-1.1515009199926678e-08,0.0,-4.697757595300908e-16,-1.4818358062082818e-23,7.620684610063997e-20,3.027915321770036e-22,2.7351554134678413e-20,5.825833054210974e-21,-5.766896435566571e-21,-4.813080887568288e-16,8.217678237303311e-23,-1.14861879691916e-17,1.4463753432293525e-21,-9.195033393193221e-23,-4.927311666848602e-23,2.23431205959084e-24,4.812294559180718e-16,1.1396730485686369e-08,8.636256910699571e-09,1.9142434193102395e-08,-1.7272485637850868e-08,-1.4486201250526904e-08,1.0820975357081246e-11,1.0077886119739697e-09,3.877693814990338e-09,2.76244882675015e-09,3.877693814990338e-09,5.745082171290053e-09,5.745082171290053e-09,-4.282943560530153e-18,1.1490164388814014e-08,-1.7388585909198003e-17,6.325928320653559e-21,-3.0687590380364017e-17,1.1490164819605297e-08,9.618116054073597e-16,5.938851630237427e-13,6.507292618858232e-12,-1.0618213746842239e-11,-4.6943779053133e-21,1.148816478885304e-08,5.938851630237427e-13,6.507292618858232e-12,-4.450961325030314e-09,1.99954952280211e-12,-5.755505054080778e-09,-1.3065432785732076e-09,-1.3065432785674407e-09,-1.8406673729653152e-18,1.183269119435891e-10,4.1805125546625346e-23,-2.817924014552057e-14,1.1827871424030863e-10,5.071163121290378e-14,2.32576723335131e-15,2.3337704319759004e-14,1.7333816629067936e-23,1.8406696072773748e-18
0.054,498,101324.99999999999,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.3800010172503336,0.0,0.0,0.4998331425059882,1.5494112615812022e-05,2.7694892279605713e-06,2.060188577484122e-15,0.12014757664183247,0.0,0.0003677313494797814,5.499744461578018e-12,0.06606689379408934,5.332667560062716e-10,2.5553825656822313e-11,1.2538836362757472e-08,1.8562290634405389e-06,0.9322975475784319,1.756901411606955e-05,5.8248032249057e-05,0.0011728132215686675,9.744194386016646e-07,1.0215598303351796e-13,1.9724660949869984e-10,1.6353061057448066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.63626240032354e-09,1.727252479632544e-08,5.757508263374126e-09,4.282940207120997e-18,-1.1515016537743781e-08,0.0,4.635931781601416e-16,-2.776860958018489e-23,1.1794865769435439e-19,2.659305910772906e-22,4.1597258644066656e-20,-2.7098436867237187e-21,2.7038466272827092e-21,4.703417098877547e-16,1.0000937559385443e-22,6.831603489870811e-18,1.9919792090544285e-21,1.9502156190001436e-23,1.0126145964011108e-23,5.2555535701208524e-24,-4.704628494698354e-16,1.1396738641841157e-08,8.63626240032354e-09,1.9142439191091154e-08,-1.7272496617284105e-08,-1.4486210378482009e-08,1.0820896266897363e-11,1.0077969545959371e-09,3.877692210116064e-09,2.762450846959099e-09,3.877692210116064e-09,5.745085963906268e-09,5.745085963906268e-09,-4.282940207120997e-18,1.1490171974046203e-08,-1.7388431971583707e-17,6.325880737251115e-21,-3.06875658656506e-17,1.149017145318787e-08,9.618122403384796e-16,5.938803925667961e-13,6.507247805664725e-12,-1.0618047332404437e-11,-4.694338393583068e-21,1.1488172372101116e-08,5.938803925667961e-13,6.507247805664725e-12,-4.450965452638498e-09,1.9995515496033184e-12,-5.755508711824517e-09,-1.3065428107356287e-09,-1.3065428107383325e-09,-1.8406663906883378e-18,1.183260933037785e-10,4.180483059944408e-23,-2.8179041335262668e-14,1.182778959026242e-10,5.0711280328117223e-14,2.3257697453955893e-15,2.3337551741095356e-14,1.7333711061354704e-23,1.840671646241908e-18
0.06299999999999999,498,101324.99999999997,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.380000912009624,0.0,0.0,0.4998321732324697,1.715579928911393e-05,3.3233854488730703e-06,2.4722246391246106e-15,0.12014643557316577,0.0,0.00036773182291151296,5.499706932675727e-12,0.0660674544098122,5.33267256580935e-10,2.7024396610615453e-11,1.253925081981807e-08,1.856288125435282e-06,0.9322969960761742,1.756901047316468e-05,5.824755401656759e-05,0.0011728040439090352,9.744197482422262e-07,1.0215517060691429e-13,1.9724791262276265e-10,1.6353072437131557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.636267890025692e-09,1.7272535775769388e-08,5.7575119231134265e-09,4.2829368536628695e-18,-1.151502386441707e-08,0.0,1.1583958022101074e-15,-5.150094757535704e-24,-2.3613471627475053e-21,3.4498479566107724e-22,-1.3102540902839958e-21,-8.112987447920095e-21,8.095616655056482e-21,1.1722941199686412e-15,-3.751255865885957e-23,1.390497410596459e-17,-5.835626945365023e-23,4.525946186565167e-23,-7.605921460920473e-23,-1.5459557985028406e-24,-1.1722916525745e-15,1.1396746786855767e-08,8.636267890025692e-09,1.91424441891069e-08,-1.7272507596926862e-08,-1.4486219506561594e-08,1.0820817176528659e-11,1.0078052973687703e-09,3.877690605203081e-09,2.762452867196321e-09,3.877690605203081e-09,5.745089756573801e-09,5.745089756573801e-09,-4.2829368536628695e-18,1.1490179559381175e-08,-1.738827803364337e-17,6.325833153743415e-21,-3.06875413504467e-17,1.1490178336570622e-08,9.61812875278191e-16,5.938756220989821e-13,6.5072029923700405e-12,-1.0617880918917827e-11,-4.69429888176622e-21,1.1488179955285885e-08,5.938756220989821e-13,6.5072029923700405e-12,-4.450969580229556e-09,1.999553576390225e-12,-5.755512369537019e-09,-1.3065423428838705e-09,-1.3065423428919661e-09,-1.8406752311811344e-18,1.1832527466029232e-10,4.180453565129174e-23,-2.817884252435021e-14,1.182770775613013e-10,5.071092944177331e-14,2.3257722574453938e-15,2.3337399161761444e-14,1.7333605493055394e-23,1.840673685225336e-18
0.07199999999999998,498,101324.99999999999,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.38000080676890596,0.0,0.0,0.49983120395887204,1.881748609820247e-05,3.877281715049331e-06,2.8842601499184172e-15,0.12014529450440589,0.0,0.0003677322963550134,5.49966940379947e-12,0.06606801503753726,5.332677571767541e-10,2.8494971472371906e-11,1.2539665279287058e-08,1.8563471875756771e-06,0.932296444561892,1.756900683059334e-05,5.824707578450739e-05,0.0011727948662590072,9.744200578909488e-07,1.0215435818006134e-13,1.9724921576846018e-10,1.635308381710256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.636273380221642e-09,1.7272546756367605e-08,5.757515582950357e-09,4.282933500148485e-18,-1.1515031064674434e-08,0.0,1.9251065172814986e-15,1.5038577014674184e-23,-5.794680418354771e-19,3.3647094641255063e-22,-2.1650294480717925e-19,5.906069573628618e-22,-6.329999637562044e-22,1.8193906171192043e-15,7.190011386701531e-23,-1.0609105128362887e-16,-6.31752163771165e-21,-2.0766635850020852e-22,7.598357677594902e-23,2.8195827925237647e-24,-1.8188023186177515e-15,1.1396754805452405e-08,8.636273380221642e-09,1.9142449188068837e-08,-1.727251857772389e-08,-1.4486228635461438e-08,1.0820738086501261e-11,1.0078136403402718e-09,3.8776890004376325e-09,2.762454887594498e-09,3.8776890004376325e-09,5.745093549569078e-09,5.745093549569078e-09,-4.282933500148485e-18,1.1490187145371397e-08,-1.7388124095754132e-17,6.325785570372043e-21,-3.068751683543705e-17,1.1490185275464526e-08,9.618135102727716e-16,5.938708516492323e-13,6.507158179291193e-12,-1.061771450690719e-11,-4.694259369970727e-21,1.1488187538663615e-08,5.938708516492323e-13,6.507158179291193e-12,-4.450973707927418e-09,1.9995556032299172e-12,-5.755516027347085e-09,-1.3065418750229393e-09,-1.3065418750223063e-09,-1.8406729047356616e-18,1.1832445601886065e-10,4.1804240704204187e-23,-2.817864371415551e-14,1.1827625922202972e-10,5.0710578556339984e-14,2.325774769612541e-15,2.3337246582895276e-14,1.7333499925035517e-23,1.840675724318454e-18
0.08099999999999999,498,101324.99999999999,2.771e-08,0.12,0.5,0.38,0.24,498.0,1e-11,1e-22,IdealGasReactor,off,0.38000070152817933,0.0,0.0,0.4998302346851952,2.047917304306199e-05,4.431178026481435e-06,3.296295109861329e-15,0.12014415343555276,0.0,0.00036773276977258694,5.4996318743732e-12,0.0660685756706656,5.332682577392769e-10,2.996555023761986e-11,1.2540079739677532e-08,1.8564062498315607e-06,0.9322958930423537,1.756900318656217e-05,5.824659754680912e-05,0.0011727856884955683,9.744203675013978e-07,1.0215354574681647e-13,1.9725051893775154e-10,1.6353095195803416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.63627886914085e-09,1.7272557734121007e-08,5.757519242336045e-09,4.28293014660895e-18,-1.151503848923104e-08,0.0,1.132362475204541e-15,8.318029492350605e-24,-3.6524979244367933e-19,-7.119010212741815e-22,-1.321503746614717e-19,6.088876489002837e-21,-6.093632777525017e-21,1.1325218176942741e-15,1.635283065875392e-22,-9.247813525500936e-20,-7.327535680831643e-21,-1.984486261077841e-22,5.373879358972873e-22,1.8081705368150467e-24,-1.132146488029464e-15,1.1396763048370472e-08,8.63627886914085e-09,1.9142454184071138e-08,-1.7272529555676107e-08,-1.4486237762223252e-08,1.0820658994583179e-11,1.0078219833069129e-09,3.877687395028109e-09,2.7624569075895925e-09,3.877687395028109e-09,5.745097341715673e-09,5.745097341715673e-09,-4.28293014660895e-18,1.1490194729663944e-08,-1.738797015632143e-17,6.325737986110735e-21,-3.068749231771218e-17,1.149019354662606e-08,9.618141451252701e-16,5.938660810946389e-13,6.507113365081223e-12,-1.0617548094144293e-11,-4.694219857738309e-21,1.1488195121142711e-08,5.938660810946389e-13,6.507113365081223e-12,-4.45097783520441e-09,1.999557629836656e-12,-5.755519684706203e-09,-1.306541407131635e-09,-1.3065414071255414e-09,-1.8406759549641704e-18,1.1832363735525682e-10,4.1803945749534416e-23,-2.8178444898849912e-14,1.1827544086056827e-10,5.071022766133723e-14,2.3257772814212254e-15,2.3337093999656846e-14,1.7333394353610032e-23,1.8406777631347072e-18
