Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,607.0909090909091,101325.00000000001,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.05399999999999999,0.0,0.0,0.88,0.0,0.0,0.0,0.066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08354102038415247,0.0,0.0,0.0,-0.28878134428220054,0.0,-0.45689680094826124,0.0010334158977558007,0.16708204076830493,0.0,0.0,0.0,0.0,0.0,0.0010334158977558007,0.28774792838444474,0.0,0.0,0.0,0.0,0.0,0.28774792838444474,0.08354102038415247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010334158977558007,0.0,0.0,0.0,0.0,0.0
0.009,607.0909090909091,101324.99999999999,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053998711800756695,0.0,0.0,0.8799074404986384,0.00014313324925479406,4.77110829079449e-05,3.5340484338930594e-13,0.06590300336808834,0.0,0.0029842525030693585,6.196864416053102e-11,0.8233040019076384,1.5918329259891426e-08,8.904693104637694e-10,2.383668872838988e-08,8.699368799497893e-06,0.17343011115771417,3.10030434643807e-05,1.5208770804941151e-05,0.00015776648996546666,7.847181057289918e-06,4.812222284652458e-13,1.8835417786076393e-08,6.105003413142664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.438274143359405e-07,1.487654824998782e-06,4.9588493982675e-07,3.673111755537307e-15,-9.917698833323563e-07,0.0,1.652632980108636e-16,-1.6621531292526754e-22,-5.865117890872617e-18,1.1923771444047958e-21,-3.5151867311053464e-20,-2.117582368135751e-22,4.599124205794834e-22,1.7099482916652108e-16,-6.001445760077969e-22,-1.411891371579649e-19,-8.580892178050946e-22,2.6138907356675675e-22,-3.6967669160226715e-22,-1.0219538568172966e-22,-1.651084718238775e-16,9.8289200987727e-07,7.438274143359405e-07,1.1639510508488002e-06,-1.487646660379246e-06,-1.3352569239955077e-06,3.6519517737611715e-10,6.586289859632047e-07,9.070661672335864e-08,1.5173364874512763e-07,9.070661672335864e-08,4.957231995797247e-07,4.957231995797247e-07,-3.673111755537307e-15,9.914464121406955e-07,-9.225198165078462e-16,3.8505917360294574e-18,-1.3744022836760967e-14,9.91446395315343e-07,1.3098014874334469e-12,8.536884092865793e-12,1.4544622854998137e-10,-9.940901575961946e-12,-1.2959172762073517e-18,9.906692689167887e-07,8.536884092865793e-12,1.4544622854998137e-10,-4.792099320611717e-07,7.771265636627668e-10,-4.951078132630875e-07,-1.667500776557826e-08,-1.667500776557872e-08,-1.6827082944166638e-15,8.883990240067804e-09,2.48763767887162e-19,-8.164619535936594e-12,8.877873455086466e-09,6.070143617849222e-12,3.942335001454837e-12,4.267243404429138e-12,3.3947954788746446e-20,1.6827081922212781e-15
0.018,607.0909090909091,101325.00000000007,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053997426294764964,0.0,0.0,0.879815074512389,0.00028596724833663807,9.532241575880834e-05,7.065007548536827e-13,0.06580620952804389,0.0,0.0029813584693712553,6.184384579901626e-11,0.8234505765059293,1.5905037274523637e-08,1.3127426334189446e-09,2.382503160863895e-08,8.70355673647002e-06,0.17328698428434033,3.094972301638605e-05,1.517169878937827e-05,0.00015741614834650455,7.839164379322966e-06,4.802417505302777e-13,1.8841495888131335e-08,6.094050245951412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.423076659114166e-07,1.4846153281611023e-06,4.948717742071491e-07,3.6700756864595834e-15,-9.897435520023019e-07,0.0,6.786281516110918e-15,-4.5808294479751115e-21,-1.7362169417764006e-17,-6.229555505158149e-21,-8.38308507897581e-18,3.4717762925585635e-19,-3.357426844679233e-19,6.6962054649312745e-15,-1.7698723124463974e-20,-9.949777340274338e-17,3.295252492483281e-21,4.4595374774265105e-21,3.7044408417071216e-21,-6.563766124318448e-21,-6.67878917330826e-15,9.808957998901384e-07,7.423076659114166e-07,1.1613325642746985e-06,-1.4846071893068905e-06,-1.3326069459987684e-06,3.639970687691698e-10,6.576134455135445e-07,9.039490263038137e-08,1.5134624203102448e-07,9.039490263038137e-08,4.947105472147901e-07,4.947105472147901e-07,-3.6700756864595834e-15,9.894211073762967e-07,-9.195458038783083e-16,3.8389584068724915e-18,-1.3709065212463843e-14,9.894210840633022e-07,1.307125853142151e-12,8.503279134351949e-12,1.4500209792935947e-10,-9.886151659029304e-12,-1.2919726931302828e-18,9.886461507623109e-07,8.503279134351949e-12,1.4500209792935947e-10,-4.782152360168554e-07,7.749399797805052e-10,-4.940968342273801e-07,-1.6656538190293767e-08,-1.6656538189958024e-08,-1.6793165627376207e-15,8.853849861088787e-09,2.479787246917035e-19,-8.138854211769609e-12,8.847752112163429e-09,6.0495456543358915e-12,3.931739079741027e-12,4.253639302610173e-12,3.384051774986704e-20,1.6793099989714964e-15
0.026999999999999996,607.0909090909091,101325.00000000003,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053996143475435195,0.0,0.0,0.8797229015677764,0.00042850272942372025,0.00014283424261154508,1.059288239002471e-12,0.06570961798369389,0.0,0.0029784678989520775,6.171935393233726e-11,0.8235969353735385,1.5891761354626153e-08,1.7333126948082817e-09,2.381326656084035e-08,8.707703196230713e-06,0.1731440683370556,3.0896500355928806e-05,1.5134734331446717e-05,0.00015706673272083014,7.831158427582752e-06,4.792637853457149e-13,1.884757636428121e-08,6.083121330619657e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.407915032683764e-07,1.48158300289053e-06,4.938609990980401e-07,3.667044097580345e-15,-9.877220018340117e-07,0.0,8.766219323017061e-16,-9.530574844807012e-22,-4.963066525444438e-17,-2.1170592426195527e-20,-2.1008534674274784e-17,-1.257843926672636e-19,1.5357435252659512e-19,8.265137329257425e-16,-2.4252145537946298e-20,-7.897992831174652e-17,-1.8692824584103654e-20,1.5531556771601924e-20,2.0369306213479586e-20,-3.931831414431264e-22,-7.766947376054186e-16,9.789042568662202e-07,7.407915032683764e-07,1.1587209535794014e-06,-1.481574889710649e-06,-1.3299630659772993e-06,3.628034196662346e-10,6.565994071233962e-07,9.008429518201716e-08,1.5095990127894416e-07,9.008429518201716e-08,4.937002835145061e-07,4.937002835145061e-07,-3.667044097580345e-15,9.874005799412886e-07,-9.165829203187009e-16,3.827365405990776e-18,-1.3674206517967738e-14,9.874005625354343e-07,1.304456530193333e-12,8.469816105314588e-12,1.4455950482816582e-10,-9.831700837329546e-12,-1.2880420203660429e-18,9.866278029295651e-07,8.469816105314588e-12,1.4455950482816582e-10,-4.772229032853031e-07,7.72760382563881e-10,-4.93088238715504e-07,-1.663809581273695e-08,-1.6638095812890525e-08,-1.6759200664982494e-15,8.823823746183557e-09,2.471964540353915e-19,-8.113179881115601e-12,8.817744967791395e-09,6.029025794615786e-12,3.9211732718865655e-12,4.2400834996104685e-12,3.3733458295307854e-20,1.675919673315108e-15
0.036,607.0909090909091,101325.00000000003,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053994863336195034,0.0,0.0,0.879630921192565,0.0005707404227776829,0.00019024680688591774,1.4117677994537047e-12,0.06561322824016438,0.0,0.00297558078880633,6.159516772535536e-11,0.8237430788424049,1.5878501482155055e-08,2.1521856976306826e-09,2.3801394423799987e-08,8.711808359421421e-06,0.17300136299052163,3.084337532447133e-05,1.5097877088568274e-05,0.0001567182403863062,7.823163188727682e-06,4.78288325668627e-13,1.8853659215889294e-08,6.072216610523773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.392789175785382e-07,1.4785578314930896e-06,4.928526086583189e-07,3.66401698197654e-15,-9.857052209953247e-07,0.0,2.12069690166536e-16,-1.1421464737714248e-23,-1.463054464287153e-17,-7.839564580739575e-22,-8.173867941003998e-20,7.30565917006834e-21,-6.316351157454919e-21,2.267151975357507e-16,-6.851220358698485e-22,-1.2149367919856747e-20,-2.5271442078939034e-21,3.851559727200035e-22,6.047698649075492e-22,7.376283179542151e-23,-2.1203240375965425e-16,9.769173694355957e-07,7.392789175785382e-07,1.1561161997344939e-06,-1.4785497438968902e-06,-1.3273252692344842e-06,3.6161421213586326e-10,6.555868696870742e-07,8.977479050980761e-08,1.5057462355914926e-07,8.977479050980761e-08,4.926924026007809e-07,4.926924026007809e-07,-3.66401698197654e-15,9.853848180795363e-07,-9.136311201524746e-16,3.8158125809146e-18,-1.3639446464390802e-14,9.85384801310829e-07,1.3017935030558559e-12,8.436494380119725e-12,1.4411844348831413e-10,-9.777547441713975e-12,-1.2841252040991916e-18,9.846142137744933e-07,8.436494380119725e-12,1.4411844348831413e-10,-4.7623292806748735e-07,7.705877483681451e-10,-4.920820209099517e-07,-1.6619680590831494e-08,-1.6619680590825177e-08,-1.6725371227860341e-15,8.793911432883454e-09,2.464169454157089e-19,-8.087596199296709e-12,8.787851559728986e-09,6.008583722501967e-12,3.910637494184837e-12,4.226575812658829e-12,3.3626775017157705e-20,1.672537196548866e-15
0.045,607.0909090909091,101325.00000000001,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053993585870489295,0.0,0.0,0.8795391329157561,0.0007126810567459925,0.0002375603513659973,1.7639399388511939e-12,0.06551703980387849,0.0,0.0029726971360063,6.147128634703789e-11,0.8238890072666796,1.5865257639508822e-08,2.569367823098112e-09,2.3789416028812007e-08,8.715872404709063e-06,0.17285886789710317,3.079034776444881e-05,1.5061126719714532e-05,0.00015637066865343738,7.815178648944129e-06,4.773153642553335e-13,1.8859744441826622e-08,6.0613360285328376e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.377699000749501e-07,1.4755397964890008e-06,4.91846596999788e-07,3.660994332252975e-15,-9.83693197663753e-07,0.0,-1.1990618915411067e-16,-1.3463694051215445e-22,1.291530065201314e-18,-1.4167151911810628e-21,-8.915021769851511e-20,2.329340604949326e-21,-2.50801161726078e-21,-1.1681711955247834e-16,1.4064897690885783e-22,4.4786206819843316e-18,2.0686139221074652e-22,-1.3069453678337837e-22,4.221267456534618e-22,1.1246130023867225e-22,1.1552025182944487e-16,9.749351262356093e-07,7.377699000749501e-07,1.1535182838250518e-06,-1.4755317343861774e-06,-1.324693541179845e-06,3.6042942834168207e-10,6.545758321297487e-07,8.946638476270193e-08,1.501904059574873e-07,8.946638476270193e-08,4.916868986361632e-07,4.916868986361632e-07,-3.660994332252975e-15,9.83373810116081e-07,-9.106903578012296e-16,3.8042997797036056e-18,-1.3604784762249364e-14,9.833737937281484e-07,1.299136756305964e-12,8.403313336410526e-12,1.4367890818224356e-10,-9.723689813668517e-12,-1.280222190602438e-18,9.826053715591263e-07,8.403313336410526e-12,1.4367890818224356e-10,-4.7524530451971007e-07,7.68422053501857e-10,-4.91078174946286e-07,-1.6601292480077917e-08,-1.660129248007541e-08,-1.6691624376450546e-15,8.764112461117557e-09,2.4564018838502566e-19,-8.0621028234366e-12,8.758071428143696e-09,5.988219123455611e-12,3.90013166334601e-12,4.213116059929369e-12,3.3520466514822253e-20,1.6691625501063548e-15
0.054,607.0909090909091,101325.00000000001,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053992311071780076,0.0,0.0,0.879447536267584,0.0008543253577713275,0.0002847751181984941,2.1158051588402186e-12,0.06542105218255036,0.0,0.0029698169375808325,6.134770896789599e-11,0.8240347209900934,1.585202980888757e-08,2.9848652305891572e-09,2.377733220379505e-08,8.719895510647015e-06,0.17271658271961632,3.073741751801111e-05,1.5024482884782025e-05,0.00015602401483886987,7.807204794630972e-06,4.763448938942621e-13,1.886583204205697e-08,6.0504795279119355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.36264441991585e-07,1.4725288803333848e-06,4.908429582737474e-07,3.6579761412358526e-15,-9.81685920214731e-07,0.0,1.2221443566082316e-15,2.407891063929071e-21,-1.1255777937687917e-17,-1.4063342883533092e-20,-8.201608270026577e-18,-1.9365290756601442e-19,2.010776807442904e-19,1.2230288078976753e-15,1.4215081863058875e-20,-2.058306101377015e-18,-1.7433324163630896e-21,1.0452978003256042e-20,-1.2892355381528306e-20,-5.074184622593893e-22,-1.2117340346548037e-15,9.72957516099846e-07,7.36264441991585e-07,1.1509271869560105e-06,-1.472520843633973e-06,-1.3220678672216897e-06,3.5924905051252373e-10,6.535662933546777e-07,8.91590740996772e-08,1.4980724556312953e-07,8.91590740996772e-08,4.906837657838759e-07,4.906837657838759e-07,-3.6579761412358526e-15,9.813675443774009e-07,-9.077605879279484e-16,3.7928268510526205e-18,-1.3570221123486693e-14,9.813675266867605e-07,1.2964862745216827e-12,8.3702723543998e-12,1.4324089320102862e-10,-9.670126303639791e-12,-1.2763329264264233e-18,9.806012646240855e-07,8.3702723543998e-12,1.4324089320102862e-10,-4.742600268366211e-07,7.66263274409039e-10,-4.900766949993458e-07,-1.6582931437126266e-08,-1.6582931437327344e-08,-1.6657962228335476e-15,8.734426372495405e-09,2.448661725302228e-19,-8.036699411791322e-12,8.728404114884884e-09,5.967931684087279e-12,3.889655696177104e-12,4.199704060191016e-12,3.341453139209399e-20,1.6657957154150853e-15
0.06299999999999999,607.0909090909091,101325.00000000001,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.0539910389335465,0.0,0.0,0.8793561307795128,0.0009956740503933798,0.00033189134889665035,2.467363960087794e-12,0.06532526488518352,0.0,0.0029669401905180436,6.122443476006535e-11,0.8241802203462142,1.58388179723057e-08,3.3986840577031494e-09,2.3765143773284062e-08,8.723877855661287e-06,0.1725745071310715,3.0684584427059806e-05,1.4987945244609526e-05,0.00015567827626559633,7.799241612396544e-06,4.753769074059011e-13,1.8871922017604855e-08,6.039647052316999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.347625345647471e-07,1.4695250654665411e-06,4.89841686670386e-07,3.654962401967364e-15,-9.796833769100261e-07,0.0,-1.6842966367027208e-15,-1.760746497148479e-21,1.2588900991021574e-17,5.561337966893036e-20,8.02055497755097e-18,4.0234064994579266e-21,-1.086253580404636e-20,-1.7619820550106345e-15,8.129615070702118e-21,-7.303176922219104e-17,1.8991356005878603e-21,1.0033700830268226e-21,-2.228756555387843e-20,-3.750839057421618e-22,1.7493304110868779e-15,9.709845277465316e-07,7.347625345647471e-07,1.1483428902542005e-06,-1.4695170540809174e-06,-1.3194482327693775e-06,3.580730609429813e-10,6.525582522442927e-07,8.885285468994019e-08,1.4942513946888277e-07,8.885285468994019e-08,4.896829982087429e-07,4.896829982087429e-07,-3.654962401967364e-15,9.793660091931262e-07,-9.04841765435323e-16,3.781393644292491e-18,-1.3535755261461206e-14,9.79365994524528e-07,1.2938420422852671e-12,8.337370816882129e-12,1.428043928546467e-10,-9.616855271027775e-12,-1.2724573583980453e-18,9.7860188138753e-07,8.337370816882129e-12,1.428043928546467e-10,-4.732770892506404e-07,7.641113876676447e-10,-4.890775752827115e-07,-1.656459741974553e-08,-1.6564597419734667e-08,-1.6624370489834147e-15,8.704852710333043e-09,2.440948874731337e-19,-8.011385623763872e-12,8.698849163494588e-09,5.947721092166592e-12,3.8792095095906015e-12,4.186339632815729e-12,3.330896825721614e-20,1.662436673899509e-15
0.07199999999999998,607.0909090909091,101325.00000000004,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053989769449284734,0.0,0.0,0.8792649159842335,0.0011367278572543492,0.00037890928434141074,2.8186168422811606e-12,0.06522967742206737,0.0,0.002964066891875442,6.110146289956585e-11,0.8243255056889399,1.58256221121777e-08,3.810830420502338e-09,2.3752851554611124e-08,8.727819616319646e-06,0.17243264078407178,3.063184833437684e-05,1.4951513461525752e-05,0.0001553334502686524,7.79128908841507e-06,4.744113976114903e-13,1.887801436721016e-08,6.028838544947549e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.332641690876081e-07,1.466528334534784e-06,4.888427763377286e-07,3.651953107057586e-15,-9.776855562304706e-07,0.0,8.08567840756018e-15,-5.1892963405660734e-21,-2.1295164007766665e-17,-1.0920882503734287e-20,-1.1583810828412998e-17,-2.304988407715765e-19,2.4265177833120556e-19,7.9769602563986e-15,-2.3841073932011523e-21,-1.183247845433267e-16,-3.3812501956203857e-21,-1.9459423910309976e-21,9.404125143871428e-21,1.2043908311368469e-22,-7.955601504413113e-15,9.69016150110624e-07,7.332641690876081e-07,1.145765374953051e-06,-1.4665203483736635e-06,-1.316834623330876e-06,3.569014420195372e-10,6.515517077083962e-07,8.854772271943657e-08,1.49044084782206e-07,8.854772271943657e-08,4.8868459011331e-07,4.8868459011331e-07,-3.651953107057586e-15,9.773691929683113e-07,-9.019338453299803e-16,3.7700000092794386e-18,-1.3501386889039853e-14,9.77369168597697e-07,1.2912040442786428e-12,8.304608109835244e-12,1.4236940148242955e-10,-9.56387508557639e-12,-1.2685954334403937e-18,9.766072101834796e-07,8.304608109835244e-12,1.4236940148242955e-10,-4.7229648595423844e-07,7.619663698189562e-10,-4.880808099679218e-07,-1.6546290383490128e-08,-1.654629038373278e-08,-1.6590852866715702e-15,8.675391020262463e-09,2.433263228884572e-19,-7.986161120492429e-12,8.669406119846449e-09,5.927587037056907e-12,3.868793020891028e-12,4.173022598085333e-12,3.32037757254658e-20,1.6590854071106533e-15
0.08099999999999999,607.0909090909091,101325.0,2.771e-08,0.066,0.88,0.05399999999999999,0.075,607.0909090909091,1e-11,1e-22,IdealGasReactor,off,0.053988502612508114,0.0,0.0,0.8791738914156619,0.0012774874991046963,0.00042582916478239727,3.169564304124694e-12,0.0651342893047735,0.0,0.0029611970386092096,6.097879256275396e-11,0.8244705773455074,1.5812442210410146e-08,4.221310413299732e-09,2.3740456363831858e-08,8.731720970003582e-06,0.17229098335796844,3.0579209081868504e-05,1.49151871984855e-05,0.00015498953418615572,7.783347209416517e-06,4.734483573808378e-13,1.8884109092493537e-08,6.018053949848857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.317693368255548e-07,1.46353867000214e-06,4.878462215062329e-07,3.648948249683134e-15,-9.756924466680834e-07,0.0,1.4989702516053958e-16,-1.0390476884616886e-22,-6.653691398422548e-18,6.135710149670135e-22,-2.329340604949326e-21,-4.9763185651190145e-21,5.538801381655073e-21,1.5658266944810757e-16,4.0849636004335037e-22,-8.246841265343801e-21,-1.4535057780655547e-21,-2.2178780174078055e-22,-7.137595989282055e-22,6.065492158182765e-23,-1.4990472486787395e-16,9.670523721369475e-07,7.317693368255548e-07,1.1431946222610559e-06,-1.463530708976576e-06,-1.3142270243614508e-06,3.557341761791508e-10,6.505466586096017e-07,8.824367438064107e-08,1.4866407860806947e-07,8.824367438064107e-08,4.876885356817723e-07,4.876885356817723e-07,-3.648948249683134e-15,9.75377084071429e-07,-8.990367829286218e-16,3.758645796555986e-18,-1.3467115721520766e-14,9.753770675580142e-07,1.2885722651352481e-12,8.27198362145127e-12,1.4193591343658315e-10,-9.511184125074809e-12,-1.2647470988466011e-18,9.746172395102898e-07,8.27198362145127e-12,1.4193591343658315e-10,-4.713182112193972e-07,7.598281976291283e-10,-4.870863933086043e-07,-1.6528010286835747e-08,-1.6528010286841286e-08,-1.6557418358705207e-15,8.646040849237559e-09,2.425604684754892e-19,-7.961025563922e-12,8.640074531135878e-09,5.907529209025959e-12,3.858406147329141e-12,4.159752776707339e-12,3.3098952415096315e-20,1.6557418965254422e-15
